ticker,trade_date,action,status,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,reference_price,entry_style,entry_zone_low,entry_zone_high,invalidation_price,quantity,exit_signal_date,exit_signal_action,report_path
1347.HK,2026-03-02,sell,skipped,,,,,action_sell_no_position,,,96.75,（基于已有持仓视角）,,,,1,,,backtest\output\0421-0008-1347HK\reports\2026-0302-1347HK\2_decision\summary.md
1347.HK,2026-03-03,sell,skipped,,,,,action_sell_no_position,,,92.95,（基于已有持仓视角）利用任何向94.0-94.5港元（50日均线附近）的反弹减仓或离场；若股价直接跌破90.0港元，应考虑止损。,94.0,94.5,90.0,1,,,backtest\output\0421-0008-1347HK\reports\2026-0303-1347HK\2_decision\summary.md
1347.HK,2026-03-04,sell,skipped,,,,,action_sell_no_position,,,87.8,（针对已有持仓）,,,80.8,1,,,backtest\output\0421-0008-1347HK\reports\2026-0304-1347HK\2_decision\summary.md
1347.HK,2026-03-05,sell,skipped,,,,,action_sell_no_position,,,86.25,（已有持仓视角）,,,,1,,,backtest\output\0421-0008-1347HK\reports\2026-0305-1347HK\2_decision\summary.md
1347.HK,2026-03-06,sell,skipped,,,,,action_sell_no_position,,,87.25,（持仓者视角）利用向95-97阻力区域（50日SMA及前期密集区）的反弹进行减仓；若价格直接跌破85.15，应考虑止损撤离。,95.0,97.0,85.15,1,,,backtest\output\0421-0008-1347HK\reports\2026-0306-1347HK\2_decision\summary.md
1347.HK,2026-03-09,hold,skipped,,,,,action_hold,,,88.0,当前不急于参与。未来转多需观察：1）价格在84.66-86.25支撑区域出现明显缩量企稳信号（如日线收盘站稳86.25上方）；2）放量突破10日EMA（约91.37）并站稳。,84.66,86.25,,1,,,backtest\output\0421-0008-1347HK\reports\2026-0309-1347HK\2_decision\summary.md
1347.HK,2026-03-10,sell,skipped,,,,,action_sell_no_position,,,87.3,已有持仓者应利用向10日EMA（约91.24美元）或96.0-97.0阻力区域的反弹机会减仓。严格止损可设置在80.40美元下方。,96.0,97.0,,1,,,backtest\output\0421-0008-1347HK\reports\2026-0310-1347HK\2_decision\summary.md
1347.HK,2026-03-11,sell,skipped,,,,,action_sell_no_position,,,90.65,（基于已有持仓视角）,,,1.0,1,,,backtest\output\0421-0008-1347HK\reports\2026-0311-1347HK\2_decision\summary.md
1347.HK,2026-03-12,sell,skipped,,,,,action_sell_no_position,,,91.75,（基于已有持仓视角）利用任何向关键阻力位（96.50-97.00美元区域）的反弹进行减仓。若股价直接走弱，应考虑在收盘价有效跌破87.50美元支撑时止损撤离。,96.5,97.0,96.5,1,,,backtest\output\0421-0008-1347HK\reports\2026-0312-1347HK\2_decision\summary.md
1347.HK,2026-03-13,sell,skipped,,,,,action_sell_no_position,,,95.0,（基于已有持仓视角）在股价反弹至99.0-101.5阻力区附近减仓；若价格直接下跌，收盘有效跌破91.0支撑时应考虑进一步止损离场。,99.0,101.5,99.0,1,,,backtest\output\0421-0008-1347HK\reports\2026-0313-1347HK\2_decision\summary.md
1347.HK,2026-03-16,hold,skipped,,,,,action_hold,,,88.0,当前不急于参与。未来若转多，需观察：1）价格带量突破92.00并回踩确认；或2）在86.00-87.00支撑区企稳且宏观风险缓和。,86.0,87.0,86.0,1,,,backtest\output\0421-0008-1347HK\reports\2026-0316-1347HK\2_decision\summary.md
1347.HK,2026-03-17,buy_on_pullback,triggered,2026-03-18,91.7,2026-03-19,92.5,sell_signal,1.0,0.8724,94.5,回调分批参与。优先关注价格回调至 **91.70-90.60美元**（10日EMA及近期支撑）或 **87.80-86.30美元**（前期平台支撑）区域出现的企稳信号时介入。,90.6,91.7,83.1,1,2026-03-18,sell,backtest\output\0421-0008-1347HK\reports\2026-0317-1347HK\2_decision\summary.md
1347.HK,2026-03-18,sell,triggered_exit,2026-03-18,91.7,2026-03-19,92.5,closed_position_fifo,1.0,,91.35,（已有持仓视角）利用向98.0-100.0港元阻力区域的反弹进行减仓；若价格直接下行，跌破87.0港元支撑时考虑进一步止损撤离。,98.0,100.0,98.0,1,,,backtest\output\0421-0008-1347HK\reports\2026-0318-1347HK\2_decision\summary.md
