ticker,trade_date,action,reference_price,reference_price_text,entry_style,entry_zone_low,entry_zone_high,invalidation_price,invalidation_texts,report_path
AXTI,2026-03-02,hold,37.9,37.90美元,当前不急于参与。未来转多需观察：价格在32.00-34.80美元支撑区域出现企稳回升信号（如日线收盘站稳34.80美元且伴随成交量放大），或收盘价强势突破41.19美元前高。,32.0,34.8,28.4,"['1. 价格收盘价有效跌破28.40美元关键支撑区，意味本轮上涨趋势中断。', '2. 下一季度财报显示营收无环比改善且费用率未下降，证伪短期反转逻辑。', '适合的场景**', '1. 高风险偏好投资者，愿意等待技术面回调充分后再评估入场时机。', '2. 现有持仓者采用持有观望策略，但需设定28.40美元为止损参考。', '不适合的场景**', '1. 短线追涨交易：当前超买状态追高风险极高。', '2. 基于长期叙事立即建仓：基本面拐点未现，现金流为负，缺乏安全边际。', '证据摘要**', '1. 技术面：均线多头排列但RSI达75.33，价格紧贴布林上轨，波动率（ATR）扩张62%，显示加速上涨后超买严重。', '2. 新闻面：Q1营收指引低于预期构成短期利空，AI高需求叙事支撑长期逻辑，两者拉锯导致方向不明。', '3. 基本面：2025Q4毛利率仅12.7%，经营现金流-1278万美元，净亏损2320万美元，尚未出现扭亏信号。']",backtest\output\0420-1422-AXTI\reports\2026-0302-AXTI\2_decision\summary.md
AXTI,2026-03-03,hold,46.32,46.32美元,当前不急于参与。未来转多需同时满足：1) 宏观地缘风险显著缓和；2) 价格回调至37.00-38.50美元或28.40-30.00美元区域并出现止跌企稳K线形态；3) 成交量在企稳后再次放大。,37.0,38.5,28.4,"['1. 价格放量跌破28.40美元支撑区域且无法快速收回。', '2. 地缘政治风险升级导致半导体板块整体破位下行。', '适合的场景**', '1. 高风险偏好交易者，愿意在技术面、宏观面、基本面三者中至少两项出现明确改善信号后分批试仓。', '2. 作为事件驱动策略的观察标的，等待财报或地缘事件明朗后的反应。', '不适合的场景**', '1. 趋势跟踪或动量策略（短期超买严重，追高风险极高）。', '2. 价值投资或成长股投资（基本面疲弱，无盈利支撑）。', '3. 短线交易（波动率极高，宏观事件扰动剧烈）。', '证据摘要**', '1. 技术面：均线多头排列，但价格偏离50日SMA达103%，RSI出现顶背离，布林带外运行，回调概率大。', '2. 新闻面：中东冲突导致油价波动、避险情绪升温，半导体板块作为风险资产被抛售，宏观风险主导短期定价。', '3. 基本面：毛利率仅12.7%，经营现金流为负，深度亏损，缺乏内生造血能力，反转依赖未来数据改善。']",backtest\output\0420-1422-AXTI\reports\2026-0303-AXTI\2_decision\summary.md
AXTI,2026-03-04,hold,41.76,41.76美元,当前不急于参与。未来若转为做多，需同时满足：1) 宏观避险情绪缓和（如油价趋势性回落、SOX指数企稳反弹）；2) 价格在36.60-37.90美元区域出现缩量企稳K线组合或放量突破46.04美元阻力。,36.6,37.9,,"['（不适用，当前状态为观望）', '适合的场景**', '1. 高风险偏好交易者等待宏观与技术面出现共振确认信号后的波段交易机会。', '2. 已持仓者利用反弹调整仓位，降低风险暴露。', '不适合的场景**', '1. 基于长期成长逻辑或价值投资的配置型买入。', '2. 在宏观风险未解除前，追涨或提前抄底。', '证据摘要**', '1. 技术面：价格自47.03美元高点回撤，出现单日反转K线，RSI自超买回落，短期需整固；长期均线仍多头排列但偏离度极高。', '2. 新闻面：半导体板块因中东冲突导致的避险情绪普跌，公司无利好对冲，短期由宏观风险主导。', '3. 基本面：2025Q4毛利率仅12.7%，净亏损2320万美元，经营现金流为负，仅靠资产出售维持现金，基本面反转尚未证实。']",backtest\output\0420-1422-AXTI\reports\2026-0304-AXTI\2_decision\summary.md
AXTI,2026-03-05,hold,39.13,39.13美元,当前不急于参与。未来若转多，需观察价格在35.00-37.50美元区间出现企稳信号（如小时图级别底分型、RSI在50附近获得支撑），并等待宏观情绪稳定。,35.0,37.5,37.01,"['（不适用于“保持观望”）', '适合的场景**', '1. 已持仓者利用反弹减仓后，剩余头寸观望等待方向明朗。', '2. 短线交易者在35.00-42.00美元区间内进行轻仓波段操作（需快进快出并严格止损）。', '3. 长期投资者等待更清晰的基本面拐点或技术面整理结束信号。', '不适合的场景**', '1. 追高买入。', '2. 重仓押注短期突破前高47.03美元。', '3. 基于“困境反转”逻辑进行左侧重仓布局。', '证据摘要**', '1. 技术面：价格自47.03美元高点放量回调，接近10日EMA（37.01美元）；MACD出现轻微顶背离，RSI自超买区回落；ATR高达4.77，波动率显著扩张。', '2. 新闻面：美伊紧张局势主导市场情绪，半导体板块受避险资金流出影响，公司自身无积极催化剂。', '3. 基本面：营收同比可能下滑约11%，经营现金流为负，毛利率仅12.7%，深陷亏损且存货高企。']",backtest\output\0420-1422-AXTI\reports\2026-0305-AXTI\2_decision\summary.md
AXTI,2026-03-06,hold,38.79,38.79美元,当前不急于参与。未来若转多，需同时满足：①价格在35-37美元支撑区间缩量企稳（如出现下影线、RSI在40-50走平）；②地缘政治风险出现明确缓和迹象（如油价稳定、冲突降级）。,35.0,37.0,34.0,"['1. 价格收盘价有效跌破34美元。', '2. 地缘政治风险升级，导致半导体板块整体破位下行。', '适合的场景**', '1. 高风险偏好、能承受极高波动的困境反转交易者，愿意等待多重条件共振后轻仓试多。', '2. 现有持仓者以35美元为防线持有观察，但需严格止损。', '不适合的场景**', '1. 趋势跟踪或动量策略：短期趋势不明确，波动率过高。', '2. 基本面投资者：公司仍处亏损，无业绩拐点证据。', '3. 短线交易：方向模糊，风险收益比不佳。', '证据摘要**', '1. 技术面：长期均线多头排列，但MACD收缩、RSI自超买回落至中性，价格在35-47美元宽幅震荡，波动率（ATR=4.98）极高。', '2. 新闻面：半导体板块因地缘政治风险（中东冲突、潜在芯片出口新规）普跌，宏观情绪压制个股表现。', '3. 基本面：营收同比下滑11%，毛利率仅12.7%，经营现金流为负，亏损持续，无短期改善催化剂。']",backtest\output\0420-1422-AXTI\reports\2026-0306-AXTI\2_decision\summary.md
AXTI,2026-03-09,hold,32.37,32.37美元,当前不急于参与。未来转多需同时满足：①价格在29.70-32.30美元区间出现放量企稳信号（如单日反转阳线）；②半导体板块指数（如SOXX）止跌回升；③地缘政治紧张局势出现明确缓和迹象。,29.7,32.3,32.26,"['（不适用，因当前建议为观望）', '适合的场景**', '1. 作为观察标的，等待宏观风险出清与技术面调整结束的共振信号。', '2. 高风险偏好交易者未来在满足上述入场条件后，可考虑分批试仓。', '不适合的场景**', '1. 基于长期故事或困境反转逻辑在当前价位左侧买入。', '2. 在宏观事件敏感期内进行短线追涨或抄底。', '3. 作为短期趋势跟踪或动量策略的标的。', '证据摘要**', '1. **技术面**：价格跌破10日EMA，MACD动量减弱，RSI回落至中性，布林带扩张显示高波动，结构转为高位震荡。长期均线仍向上，但短期需测试32.26-29.70美元支撑。', '2. **新闻面**：地缘政治风险主导，半导体板块承压；公司虽有行业顺风叙事，但估值已高，且异常期权活动未获证实。', '3. **基本面**：营收同比下滑、深度亏损、经营现金流为负，仅现金储备提供缓冲，缺乏短期改善催化剂。']",backtest\output\0420-1422-AXTI\reports\2026-0309-AXTI\2_decision\summary.md
AXTI,2026-03-10,hold,38.56,38.56美元,当前不急于参与。未来转多需观察：1）价格在32-36美元支撑带企稳并出现明确反弹信号；或2）放量突破42.44美元阻力位，同时MACD形成金叉。,32.0,36.0,32.0,"['（不适用，当前建议观望）', '适合的场景**', '1. 擅长区间波段交易、能承受极高波动的短线交易者。', '2. 长期投资者等待基本面出现明确改善信号后的右侧布局。', '不适合的场景**', '1. 寻求趋势明确、低波动追涨的投资者。', '2. 风险厌恶或无法承受单日大幅震荡的投资者。', '3. 期望短期基本面催化推动估值修复的成长股投资者。', '证据摘要**', '1. 技术面：长期均线多头排列，但短期EMA走平、MACD顶背离，价格在32-42美元宽幅震荡，RSI中性偏强。', '2. 新闻面：地缘政治反复压制板块情绪，公司长期故事未损但短期定价权让渡给宏观风险。', '3. 基本面：毛利率仅12.7%，经营现金流为负，深度亏损，仅资产负债表（高现金、低负债）提供安全边际，缺乏短期改善催化剂。']",backtest\output\0420-1422-AXTI\reports\2026-0310-AXTI\2_decision\summary.md
AXTI,2026-03-11,buy_on_pullback,44.3,44.30美元,回调至 **37.50-40.50美元** 区间分批买入。优先关注：,37.5,40.5,32.26,"['1. 收盘价有效跌破 **32.26美元**（近期回调最低点）。', '2. 价格反弹无法突破47.03美元前高，并再度放量跌破37.00美元支撑。', '适合的场景**', '1. 能承受高波动、严格止损的短线交易者。', '2. 相信技术趋势延续、并愿意左侧布局困境反转的投机性仓位。', '不适合的场景**', '1. 厌恶单日大幅波动的保守投资者。', '2. 期待基本面立即改善或依赖行业政策快速明朗的长期持有者。', '证据摘要**', '1. 技术面：长期/中期/短期均线多头排列，RSI从超买回落至66.33，价格放量收复回调低点。', '2. 新闻面：公司长期叙事积极，但短期受芯片出口管制与地缘风险压制。', '3. 基本面：现金流为负、毛利率低，但现金充裕、负债率低，具备反转博弈空间。']",backtest\output\0420-1422-AXTI\reports\2026-0311-AXTI\2_decision\summary.md
AXTI,2026-03-12,hold,47.36,47.36美元,当前不急于参与。未来若转多，需同时满足：①价格回调至41.65-40.00美元或38.00-37.00美元支撑区并出现缩量企稳信号（如看涨吞没）；②半导体板块情绪回暖（如SOXX止跌回升）。,40.0,41.65,37.0,"['1. 收盘价有效跌破50日移动平均线（当前26.45美元，动态上移）。', '2. 宏观风险加剧，导致价格放量跌破37.00美元支撑区。', '适合的场景**', '1. 作为长期趋势跟踪者，等待回调至支撑区并出现企稳信号后的分批布局机会。', '2. 作为事件驱动交易者，等待上述关键催化因素出现后右侧入场。', '不适合的场景**', '1. 短线追高交易。', '2. 在宏观不确定性未缓解前，基于纯技术突破的左侧买入。', '3. 期待基本面短期改善的成长股投资。', '证据摘要**', '1. 技术面：长期均线多头排列，但MACD/RSI顶背离，价格触及布林带上轨，ATR极高显示波动风险。', '2. 新闻面：宏观地缘风险与行业政策不确定性主导市场情绪，压制板块估值。', '3. 基本面：营收增长乏力，毛利率仅12.7%，经营现金流为负，依赖资产出售维持现金。']",backtest\output\0420-1422-AXTI\reports\2026-0312-AXTI\2_decision\summary.md
AXTI,2026-03-13,hold,46.73,46.73美元,当前不急于参与。未来若转多需同时满足：1）宏观地缘风险出现明确缓和迹象；2）价格回调至38-42美元支撑区间并出现企稳放量信号。,38.0,42.0,,"['（不适用，当前无入场计划）', '适合的场景**', '1. 擅长宏观与技术面结合交易者，等待风险释放后的反弹机会。', '2. 极高风险偏好者，愿意以小仓位博弈短期技术性反弹。', '不适合的场景**', '1. 追求稳定基本面的价值投资者。', '2. 风险厌恶或无法承受单日高波动的交易者。', '3. 希望当前立即建立趋势性仓位的投资者。', '证据摘要**', '1. 技术面：均线多头排列，但价格自50.97美元高点回落，RSI自超买区回落，布林带扩张显示波动率极高，短期需消化涨幅。', '2. 新闻面：美伊紧张局势主导市场避险情绪，压制半导体板块；公司长期叙事未被证伪但短期无定价权。', '3. 基本面：持续经营性亏损，现金流为负，高库存与费用率压制盈利；现金储备来自一次性资产出售，不可持续。']",backtest\output\0420-1422-AXTI\reports\2026-0313-AXTI\2_decision\summary.md
AXTI,2026-03-16,hold,48.86,48.86美元,当前不急于参与。未来转多需同时满足：1) 价格回调至38.00-43.50美元支撑区间并出现企稳信号；2) 宏观风险偏好回暖，板块情绪稳定；3) 公司基本面出现改善迹象（如毛利率提升）。,38.0,43.5,37.5,"['1. 价格放量跌破37.50美元（50日SMA及平台支撑），技术结构破坏。', '2. 宏观风险持续升级，导致科技板块整体趋势转弱。', '适合的场景**', '1. 擅长高波动区间交易、能严格止损的短线交易者。', '2. 作为半导体板块贝塔交易工具，在宏观情绪明确回暖后跟随板块反弹。', '不适合的场景**', '1. 寻求稳定增长或厌恶亏损的长期投资者。', '2. 风险承受能力较低、无法承受日内大幅波动的投资者。', '3. 期望公司自身基本面驱动独立行情的投资者。', '证据摘要**', '1. 技术面：价格远高于均线，但波动率（ATR=5.67）极高，RSI脱离超买区，动量未创新高，报告明确“禁止追高，只适合回调参与”。', '2. 新闻面：公司无特异性催化剂，股价受宏观与板块驱动，结论为“中性偏谨慎”，建议“事件后确认或仅观察”。', '3. 基本面：季度毛利率仅12.7%，经营现金流为负，持续亏损，现金储备提供缓冲但消耗中，结论为“基本面脆弱，适合高风险博弈”。', '4. 综合状态：多空因素拉扯，无法给出明确入场条件，更接近“震荡等待确认”。']",backtest\output\0420-1422-AXTI\reports\2026-0316-AXTI\2_decision\summary.md
AXTI,2026-03-17,hold,48.39,48.39美元,当前不急于参与。未来若转多，需满足以下条件之一：,,,38.5,"['1. 价格收盘价有效跌破38.50美元关键支撑区（50日SMA上移区域及布林中轨）。', '2. 宏观风险恶化导致科技板块整体破位下行。', '适合的场景**', '1. 作为空仓者，在方向明确前保持耐心，等待上述入场条件触发。', '2. 作为高风险博弈者，仅愿意在38.50-40.00美元强支撑区域出现明确企稳信号后小仓位试探。', '不适合的场景**', '1. 在当前高位（48.39美元附近）追涨买入。', '2. 在价格未出现企稳信号前，基于“长期趋势好”而左侧抄底。', '3. 在宏观风险事件（如地缘政治消息）未明朗前重仓押注。', '证据摘要**', '1. **技术面**：长期均线多头排列，但MACD顶背离、RSI自超买回落、高位出现“射击之星”K线，显示短期上涨动能衰减。报告明确建议“回调参与”，最值得关注的入场区间为38.50-43.66美元。', '2. **新闻面**：AXTI近期无独立催化剂，被归类为信息技术板块普涨普跌标的；宏观上地缘政治紧张压制风险偏好，结论为“中性偏空”，建议“观望或事件后确认”。', '3. **基本面**：公司处于亏损状态，毛利率低、费用率高，经营现金流为负，投资逻辑仅为“困境反转”博弈。报告建议仅适合“小仓位配置”并紧密跟踪季报。', '综合三方报告，当前状态属于多空拉扯、方向未明的“震荡等待确认”阶段。']",backtest\output\0420-1422-AXTI\reports\2026-0317-AXTI\2_decision\summary.md
AXTI,2026-03-18,hold,44.36,44.36美元,当前不急于参与。未来若转多，需观察：1) 价格在39.00-40.00美元区间出现缩量企稳后放量反弹；或2) 宏观风险消退后，价格放量突破48.80-49.00美元阻力区。,39.0,40.0,44.58,"['（不适用，当前建议观望）', '适合的场景**', '1. 高风险偏好投资者等待技术面与宏观面双重确认后的右侧机会。', '2. 现有持仓者利用波动进行成本平均（需严格仓位管理）。', '不适合的场景**', '1. 短线追涨或抄底交易。', '2. 基于长期基本面反转的重仓左侧布局。', '证据摘要**', '1. 技术面：价格44.36美元跌破10日EMA（44.58美元），RSI自超买回落至64.01，布林带扩张显示高波动，趋势结构仍偏多但短期动能减弱。', '2. 新闻面：公司无自身催化剂，股价受地缘政治、美联储政策等宏观因素牵引，方向不确定性高。', '3. 基本面：季度毛利率仅12.7%，营业利润率-24.9%，经营现金流为负，盈利拐点未现。']",backtest\output\0420-1422-AXTI\reports\2026-0318-AXTI\2_decision\summary.md
AXTI,2026-03-19,hold,48.76,48.76美元,当前不急于参与。未来若转向做多，需满足以下条件之一：,,,37.11,"['（此条在“保持观望”下仅说明未来若计划做多时的失效条件）', '1. 价格收盘价有效跌破37.11美元（前期强支撑平台）。', '2. 宏观风险持续恶化，导致整体市场风险偏好大幅下降。', '适合的场景**', '1. 擅长在宽幅震荡区间进行高抛低吸的短线交易者。', '2. 能紧密跟踪地缘政治进展与半导体板块情绪的投资者。', '不适合的场景**', '1. 寻求趋势明确、基本面驱动的中线投资者。', '2. 风险厌恶型或无法承受高波动的投资者。', '证据摘要**', '1. 技术面：长期均线多头排列，但RSI超买、ATR高位，价格在44-52美元区间震荡。', '2. 新闻面：公司Q4利润率改善为积极信号，但宏观地缘政治风险主导市场情绪，形成压制。', '3. 基本面：持续亏损，经营现金流为负，营收增长乏力，仅靠现金储备提供安全垫。']",backtest\output\0420-1422-AXTI\reports\2026-0319-AXTI\2_decision\summary.md
AXTI,2026-03-20,hold,58.09,58.09美元,当前不急于参与。未来若转为做多，需同时满足：1) 价格回调至关键支撑区（如44-48美元）并出现企稳信号；且 2) 宏观地缘政治风险出现阶段性缓和；且 3) 公司或行业出现基本面改善的进一步证据。,44.0,48.0,,['（不适用，因当前建议为观望）'],backtest\output\0420-1422-AXTI\reports\2026-0320-AXTI\2_decision\summary.md
AXTI,2026-03-23,buy_on_pullback,54.24,54.24美元,等待价格回调至48.50-50.00美元区间企稳（如出现pin bar、阳包阴等止跌信号）后分批买入。,48.5,50.0,44.3,"['1. 价格跌破44.30美元（深回调支撑平台下沿）。', '2. 50日SMA（31.08美元）趋势走平或拐头向下。', '3. 后续财报显示毛利率改善不可持续或营收继续恶化。', '适合的场景**', '1. 相信公司毛利率改善可能标志基本面拐点的投资者。', '2. 能承受高波动、愿意在趋势中等待回调机会的交易者。', '3. 将仓位控制在高风险配置范围内的组合。', '不适合的场景**', '1. 要求立即盈利、无法接受短期浮亏的投资者。', '2. 厌恶宏观事件风险、追求稳定现金流的保守型投资者。', '3. 希望追涨突破或进行日内短线交易的策略。', '证据摘要**', '1. 技术面：价格远高于所有关键均线，MACD上行，但RSI超买、ATR高企，显示趋势延续但需回调消化。', '2. 新闻面：Q4毛利率改善催化股价大涨，公司特异性逻辑较强，但宏观地缘风险构成压制。', '3. 基本面：现金流为负、持续亏损，但现金充裕、负债率低，提供困境反转的容错空间。']",backtest\output\0420-1422-AXTI\reports\2026-0323-AXTI\2_decision\summary.md
AXTI,2026-03-24,buy_on_pullback,64.44,64.44美元,回调至 48.00-54.40 美元区间（涵盖中期平台支撑与10日EMA），观察企稳信号（如缩量、下影线、RSI回落至70以下）后分批买入。,48.0,54.4,44.3,"['1. 价格放量跌破 44.30 美元（本轮加速起涨点）且无法快速收回。', '2. 宏观地缘风险显著升级（如美伊冲突加剧导致油价持续飙升、VIX大幅跳升），引发系统性风险偏好恶化。', '适合的场景**', '- 能承受高波动、擅长回调低吸的交易者。', '- 相信公司现金缓冲可提供安全边际、等待运营改善的困境反转投资者。', '- 仓位为轻仓试探性布局。', '不适合的场景**', '- 追求稳定增长或股息收入的投资者。', '- 无法接受短期大幅回撤（潜在回调幅度可能达15%-30%）的风险厌恶者。', '- 希望追涨动量或进行短线追高的交易。', '证据摘要**', '1. 趋势延续证据：长期/中期/短期均线多头排列，MACD持续上行创新高，价格结构未破坏。', '2. 需回调参与证据：RSI超买（73.6）、价格突破布林带上轨、ATR飙升显示波动剧烈、技术报告明确建议“切忌追高，等待回调”。', '3. 风险对冲证据：宏观地缘风险压制上行空间；基本面亏损且现金流为负，改善尚未确认。']",backtest\output\0420-1422-AXTI\reports\2026-0324-AXTI\2_decision\summary.md
AXTI,2026-03-25,hold,68.44,68.44美元,当前不急于参与。未来若转为做多，需观察价格能否在关键支撑区域（如58.00-61.00美元）企稳并伴随成交量放大，或出现放量突破70.69美元前高的确认信号。,58.0,61.0,,"['（不适用，因建议行动为保持观望）', '适合的场景**', '1.  高风险偏好交易者等待更明确的技术突破或基本面拐点信号后再决策。', '2.  已持仓者进行仓位监控与风险管理，而非新建仓。', '不适合的场景**', '1.  试图在当前价位追高或进行短线多头交易。', '2.  基于长期叙事而忽视短期极高估值与技术风险的买入。', '证据摘要**', '1.  **技术面**：均线多头排列但价格偏离度过大；RSI 72.10超买，布林带触及上轨，ATR高达6.745显示波动剧烈；报告明确建议“严禁追高”，只适合回调参与。', '2.  **新闻面**：SeekingAlpha发布深度看空报告，指出2800%涨幅后估值达140倍PE过高，并提示中国风险与内部人减持；宏观波动加剧构成逆风。', '3.  **基本面**：Q4毛利率仅12.7%，净亏损2320万美元，经营现金流为负1278万美元，处于“持续亏损、负现金流”困境，无短期改善证据。', '4.  **综合结论**：报告指出“股价更可能在高位宽幅震荡，而非单边上涨”，并建议“谨慎观望或逢高减仓”。']",backtest\output\0420-1422-AXTI\reports\2026-0325-AXTI\2_decision\summary.md
AXTI,2026-03-26,hold,67.35,67.35美元,当前不急于参与。未来若转为做多，需同时满足：1. 价格回调至48.76-57.07美元支撑区域企稳；2. 宏观地缘政治风险出现明确缓和迹象；3. 成交量配合放大。,48.76,57.07,,['不适用（当前状态为观望）。'],backtest\output\0420-1422-AXTI\reports\2026-0326-AXTI\2_decision\summary.md
AXTI,2026-03-27,hold,58.51,58.51美元,当前不急于参与。未来转多需观察：价格在关键支撑区企稳，且伴随成交量温和放大，重新站稳10日EMA（约57.70美元）及布林带中轨（约49.87美元）之上。,,,68.0,"['（不适用，当前建议观望）', '适合的场景**', '1. 高风险偏好交易者利用宽幅震荡进行短线波段操作（快进快出）。', '2. 已持仓者利用反弹至68-70美元区域部分减仓。', '不适合的场景**', '1. 新建仓或追加买入。', '2. 基于长期持有或价值投资逻辑建仓。', '3. 无法承受日内巨幅波动的投资者。', '证据摘要**', '1. 技术面：价格自高点70.69美元回调，MACD/RSI顶背离，ATR高达6.92，短期趋势在10日EMA附近争夺，长期均线偏离度极大。', '2. 新闻面：看空报告质疑估值与中国风险，地缘政治引发板块抛压，AI需求面临宏观逆风。', '3. 基本面：季度净亏损2320万美元，经营现金流-1278万美元，毛利率仅12.7%，依赖短期借款维持运营。']",backtest\output\0420-1422-AXTI\reports\2026-0327-AXTI\2_decision\summary.md
AXTI,2026-03-30,hold,60.63,60.63美元,当前不急于参与。未来若转多，需观察价格在54.24-57.00美元支撑区出现明确企稳信号（如日线收盘站稳56.81美元/10日EMA上方，且RSI回升至50以上），或放量突破70.69美元前高。,54.24,57.0,48.39,"['（当前无入场计划，故不设买入失效条件。若未来出现买入机会，失效条件应包括：）', '1. 价格收盘跌破48.39美元。', '2. 反弹无法突破68.44-70.69美元阻力区后再度转弱。', '适合的场景**', '1. 擅长区间波段交易、能严守纪律的快进快出者。', '2. 能紧密跟踪地缘政治头条与油价波动的宏观交易员。', '3. 等待基本面出现明确拐点后再右侧介入的投资者。', '不适合的场景**', '1. 趋势追涨或希望长期持有的投资者。', '2. 风险承受能力低、无法接受高波动的交易者。', '3. 寻求稳定盈利和现金流的价值投资者。', '证据摘要**', '1. **技术面**：价格自70.69美元高点回落，测试10日EMA（56.81美元）支撑；MACD顶背离，RSI自超买区回落至54.5；ATR翻倍显示波动剧烈；结论为“看多但不追多，更适合回调参与”。', '2. **新闻面**：地缘政治风险主导，板块普跌；看空研报质疑140倍PE；缺乏新的基本面催化剂；结论为“短期中性偏空，难有独立行情”。', '3. **基本面**：2025Q4营收同比可能下滑，毛利率仅12.7%，经营现金流为负，依赖资产出售维持现金；结论为“经营困境，投资逻辑仅为困境反转博弈”。', '综合三方报告，当前状态属于多空拉扯、方向未明，无法给出明确可执行的买入计划。']",backtest\output\0420-1422-AXTI\reports\2026-0330-AXTI\2_decision\summary.md
AXTI,2026-03-31,hold,52.73,52.73美元,当前不急于参与。未来若转多，需观察价格在关键支撑区间（如50.00-52.00美元或44.30-48.86美元）企稳后，放量突破并站稳64.44美元（前高）上方。,50.0,52.0,44.3,"['1. 收盘价有效跌破44.30美元（加速起涨点区域），中期上涨逻辑受损。', '2. 价格反弹无法重回64.44美元上方，且MACD持续下行。', '适合的场景**', '1. 擅长区间震荡交易、能承受极高波动的短线交易者。', '2. 基于现金价值与困境反转逻辑进行左侧布局的深度价值投资者（需极高耐心）。', '不适合的场景**', '1. 趋势跟踪或动量交易者。', '2. 厌恶亏损、无法承受单日波动可能超过15%的投资者。', '3. 期望短期追涨获利的交易者。', '证据摘要**', '1. 技术面：价格跌破10日EMA（56.84美元），MACD高位死叉向下，但长期均线（50日SMA 35.64美元、200日SMA 14.23美元）仍向上；关键支撑在50.00-52.00美元。', '2. 新闻面：看空估值报告与地缘政治风险压制情绪，缺乏公司正面催化剂。', '3. 基本面：经营亏损（毛利率12.7%），但现金充裕（1.20亿美元），资产负债率低（22.8%），提供安全边际。', '4. 综合状态：多空拉扯，方向未明，需等待支撑测试结果与宏观情绪缓和。']",backtest\output\0420-1422-AXTI\reports\2026-0331-AXTI\2_decision\summary.md
AXTI,2026-04-01,hold,56.98,56.98美元,当前不急于参与。未来若转多，需观察价格在50.00-53.00美元区间内出现缩量企稳或放量反弹迹象，并站稳55美元上方。,50.0,53.0,50.0,"['（不适用，当前状态为观望）', '适合的场景**', '1. 擅长高波动区间交易、能严格止损的短线交易者，可在50-65美元区间进行高抛低吸。', '2. 长线困境反转投资者，愿意承受较高风险并等待季度业绩边际改善信号。', '不适合的场景**', '1. 寻求稳定增长或股息收入的投资者。', '2. 风险厌恶型或无法接受持续亏损的投资者。', '3. 期望短期追涨获利的趋势交易者。', '证据摘要**', '1. 技术面：价格自历史高点71.49美元回落，MACD高位死叉，RSI降至中性，显示动量衰竭；关键支撑50.21-52.73美元尚未经确认。', '2. 新闻面：知名分析师看空报告与140倍PE估值质疑引发情绪逆转；中东地缘风险压制半导体板块整体偏好。', '3. 基本面：2025Q4毛利率仅12.7%，净亏损2320万美元，经营现金流为-1278万美元，缺乏短期盈利改善催化剂。']",backtest\output\0420-1422-AXTI\reports\2026-0401-AXTI\2_decision\summary.md
