ticker,trade_date,action,trend_judgment,report_action,report_trend_judgment,decision_source,scenario_type,primary_driver,trend_integrity,risk_state,reference_price,reference_price_text,entry_style,entry_zone_low,entry_zone_high,invalidation_price,invalidation_texts,report_path,direction_bias,catalyst_state,extension_state,entry_posture
MU,2026-03-02,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,Beta情绪技术驱动型,多因素混合主导,完整,中,412.37,412.37美元,回调至400-405美元支撑区域（轻仓试多），若进一步回调至373-380美元强支撑区（布林带下轨与前期低点），可加大仓位。等待价格企稳且MACD或RSI出现止跌回升信号后入场。,400.0,405.0,400.0,['价格周线收盘有效跌破50日SMA（当前约365美元，动态上升），则趋势结构破坏；价格放量跌破400美元且次日无法收回，则短期偏多信号失效。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round29\reports\MU\0424-2213-MU\reports\2026-0302-MU\2_decision\summary.md,看多,消化中,延展,等待回调
MU,2026-03-03,hold,震荡等待确认,保持观望,震荡等待确认,rule_based,公司催化趋势型,多因素混合主导,完整,高,412.67,412.67美元,鉴于当前方向不够清晰，不提供买入计划。未来转为偏多的条件是：价格在397-401或368-373支撑区收出明确企稳K线（如放量阳线），同时地缘政治风险出现明确缓和迹象（如停火协议取得进展），届时可考虑小仓试多。,397.0,401.0,363.0,['日线收盘价有效跌破363美元（前期重要底部），意味着中期上升趋势可能被破坏，应转为防守。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round29\reports\MU\0424-2213-MU\reports\2026-0303-MU\2_decision\summary.md,中性,消化中,延展,等待确认
MU,2026-03-04,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,多因素混合主导,完整,中,379.68,379.68 美元,等待价格回调至370-355美元关键支撑区间（当前布林带下轨与2月低点区域），并出现日线级别企稳信号（如锤头线、下影线或RSI底背离）后，分批低吸买入。初始仓位建议轻仓，后续若确认支撑有效再加仓。,355.0,370.0,350.0,['1）收盘价有效跌破350美元（50日SMA下方），意味着中期趋势转弱，该买入逻辑失效；2）价格反弹至410-415美元阻力区后再次快速回落并跌破370美元，则视为反弹失败，多头结构受损；3）出现明确的行业周期拐点信号（如存储芯片价格环比下跌、AI订单延迟或库存调整），致使“产能售罄”叙事动摇。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round29\reports\MU\0424-2213-MU\reports\2026-0304-MU\2_decision\summary.md,看多,支撑中,延展,等待回调
MU,2026-03-05,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,多因素混合主导,完整,中,400.77,400.77 美元,等待价格回调至373-379美元支撑区间，并出现企稳信号（如长下影线、缩量或RSI底背离）后分批参与；若价格先放量收复并站稳410-412美元（10日EMA与近期阻力），可视为确认信号后轻仓跟随。,373.0,379.0,373.0,['收盘价有效跌破373美元（如连续两日收于其下或单日放量长阴跌破），则中期上升趋势可能被破坏，需止损或转向观望。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round29\reports\MU\0424-2213-MU\reports\2026-0305-MU\2_decision\summary.md,看多,支撑中,延展,等待回调
MU,2026-03-06,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,多因素混合主导,完整,中,397.05,397.05美元,回调至370-385美元区间，观察出现缩量企稳、K线收出长下影或阳线吞噬等确认信号后分批参与；或等待价格放量重新站稳410美元（突破10日EMA与布林带中轨阻力）后右侧介入。,370.0,385.0,363.9,['1) 日线收盘价有效跌破363.9美元（2月恐慌低点）；2) 收盘价连续2日跌破50日均线（当前约375.71美元）且无快速收复；3) 宏观出现系统性风险事件（如中东全面战争、油价突破100美元）导致整体市场趋势转向。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round29\reports\MU\0424-2213-MU\reports\2026-0306-MU\2_decision\summary.md,看多,消化中,延展,等待回调
MU,2026-03-09,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,多因素混合主导,完整,中,370.3,370.30美元,等待价格回调至375-370美元支撑区域，出现缩量十字星、下影线或看涨吞没等企稳K线信号后分批介入；第一笔在370美元附近，第二笔在365-360美元区间（若出现）。,370.0,375.0,360.0,['周线收盘价有效跌破360美元（前期平台与深层支撑），则中期上升趋势可能破坏，应止损退出；若财报后放量跌破370美元且无法收回，亦视为失效信号。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round29\reports\MU\0424-2213-MU\reports\2026-0309-MU\2_decision\summary.md,看多,支撑中,延展,等待回调
MU,2026-03-10,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,公司催化主导,完整,中,389.32,389.32美元,回调至370-380美元区间，待价格缩量企稳或出现日线级别看涨反转形态后，分批参与多仓。,370.0,380.0,357.0,['1）日线收盘价有效跌破357美元（近期闪崩低点）；2）财报公布后若营收/毛利率指引显著低于DRAM涨价预期，引发趋势破坏信号；3）连续两个交易日收盘价低于50日SMA（约380美元）且MACD在零轴下方继续下行。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round29\reports\MU\0424-2213-MU\reports\2026-0310-MU\2_decision\summary.md,看多,支撑中,正常,等待回调
MU,2026-03-11,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,多因素混合主导,完整,中,403.11,403.11美元,回调至380-390美元区间（50日SMA与布林带下轨重合区）分批买入，首次建仓约30%仓位，若价格继续回落至367美元附近可加仓至50%。,380.0,390.0,367.0,['收盘价有效跌破367美元（近期闪跌低点），意味着中期上升结构破坏，应立即止损退出；若MACD柱状线转为负值并持续下行，也应视为趋势转弱信号。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round29\reports\MU\0424-2213-MU\reports\2026-0311-MU\2_decision\summary.md,看多,支撑中,延展,等待回调
MU,2026-03-12,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,多因素混合主导,完整,中,418.69,418.69美元,回调至400-390美元区间分批介入，或385美元（50日SMA）附近企稳后参与；也可等待放量突破并站稳430美元后追涨。,390.0,400.0,370.3,['收盘价有效跌破370.30美元（近期强支撑）；50日SMA（约385美元）拐头向下；MACD柱状线跌破零轴；中东冲突升级导致原油持续站上100美元并引发全球市场系统性下跌。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round29\reports\MU\0424-2213-MU\reports\2026-0312-MU\2_decision\summary.md,看多,消化中,延展,等待回调
MU,2026-03-13,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,多因素混合主导,完整,中,405.35,405.35美元,回调至387-397美元区间（靠近50日SMA 387.87及前期低点）企稳后分批买入；或放量突破并站稳420美元阻力后追涨参与。,387.0,397.0,377.0,['收盘价有效跌破377美元（布林带下轨及近期低点支撑），确认中期调整加剧；或3月18日财报指引显著低于预期导致趋势结构破坏。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round29\reports\MU\0424-2213-MU\reports\2026-0313-MU\2_decision\summary.md,看多,支撑中,正常,等待回调
