ticker,trade_date,action,reference_price,reference_price_text,entry_style,entry_zone_low,entry_zone_high,invalidation_price,invalidation_texts,report_path
MU,2026-03-02,hold,412.37,412.37美元,当前不急于参与。若未来转多，需价格在400-405美元支撑区企稳并伴随MACD动量回升，或放量突破430-436美元阻力区。若未来转空，需价格有效跌破400美元并确认中期结构走弱。,400.0,405.0,,['不适用。本信号在出现上述转多或转空条件时失效。'],backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round19\reports\MU\0423-0127-MU\reports\2026-0302-MU\2_decision\summary.md
MU,2026-03-03,sell,412.67,412.67美元,已有持仓者考虑在反弹至阻力区（如425-430美元）部分减仓，或设置止损于关键支撑下方（如397美元或368美元下方）。,425.0,430.0,430.0,['1. 日线收盘价强势收复并站稳430-436美元阻力区上方。2. 地缘政治出现明确缓和信号，且股价放量回升至短期均线（如10日EMA）之上，表明风险主导逻辑被打破。'],backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round19\reports\MU\0423-0127-MU\reports\2026-0303-MU\2_decision\summary.md
MU,2026-03-04,hold,379.68,379.68美元,当前不急于建立新仓位。若未来价格放量突破并站稳410-415美元阻力区，且MACD出现拐头迹象，可考虑转向偏多。若价格有效跌破350美元（50日均线下方），则趋势转弱信号增强。,410.0,415.0,350.0,['本观望立场失效于出现上述关键催化或风险因素，导致价格选择明确方向。具体而言，收盘价有效突破415美元或有效跌破350美元，将意味着震荡格局被打破。'],backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round19\reports\MU\0423-0127-MU\reports\2026-0304-MU\2_decision\summary.md
MU,2026-03-05,hold,400.77,400.77美元,当前不急于建立新仓位。若未来价格放量突破并站稳410-412美元阻力区，可考虑趋势转强；若价格回调至373-379美元关键支撑区并出现企稳信号（如缩量、长下影线、RSI底背离），可评估做多机会。,410.0,412.0,373.0,['对于潜在的转多观察，失效条件是收盘价有效跌破373美元（如连续两日收于其下或单日放量长阴跌破）。对于潜在的转空观察，失效条件是收盘价强势站上412美元并带动短期均线重新拐头向上。'],backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round19\reports\MU\0423-0127-MU\reports\2026-0305-MU\2_decision\summary.md
MU,2026-03-06,buy_on_pullback,397.05,397.05美元,等待价格回调至370-385美元区间（汇聚50日均线、布林带下轨及前期平台支撑）出现企稳信号后分批参与。,370.0,385.0,363.9,['日线收盘价有效跌破363.90美元（2月低点），将破坏近期上升结构，趋势判断失效。'],backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round19\reports\MU\0423-0127-MU\reports\2026-0306-MU\2_decision\summary.md
MU,2026-03-09,buy_on_pullback,370.3,370.30美元,等待价格回调至375-370美元支撑区域（包含50日SMA及布林带下轨）出现企稳信号（如缩量、小周期看涨形态）后分批买入。,370.0,375.0,360.0,['价格周线收盘价有效跌破360美元（前期重要平台支撑），则中期上升趋势可能被破坏，多头逻辑失效。'],backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round19\reports\MU\0423-0127-MU\reports\2026-0309-MU\2_decision\summary.md
MU,2026-03-10,hold,389.32,389.32美元,当前不建立新仓位。若未来价格放量强势突破420-425阻力区且财报指引超预期，可考虑转多。若价格在370-375支撑带下方企稳并出现看涨反转形态，也可作为潜在转多信号。,420.0,425.0,357.0,['此观望状态失效于：1) 价格日线收盘有效突破425美元，趋势转强；或 2) 价格日线收盘有效跌破357美元（近期闪崩低点），趋势结构破坏转弱。'],backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round19\reports\MU\0423-0127-MU\reports\2026-0310-MU\2_decision\summary.md
MU,2026-03-11,buy_on_pullback,403.11,403.11美元,耐心等待价格回调至380-390美元区间时分批建仓。,380.0,390.0,367.0,['收盘价有效跌破367美元（近期闪跌低点附近），意味着中期上升结构破坏。'],backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round19\reports\MU\0423-0127-MU\reports\2026-0311-MU\2_decision\summary.md
MU,2026-03-12,buy_on_pullback,418.69,418.69美元,等待价格回调至385.20-400.00美元支撑区间（重点关注50日均线附近）企稳后分批参与。,385.2,400.0,370.3,['收盘价有效跌破370.30美元（近期强支撑），或50日移动平均线拐头向下。'],backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round19\reports\MU\0423-0127-MU\reports\2026-0312-MU\2_decision\summary.md
MU,2026-03-13,hold,405.35,405.35美元,当前不急于开立新仓。若未来价格放量突破420美元阻力并伴随宏观风险缓和，可考虑转向偏多。若价格回调至387-390美元（50日均线）关键支撑区并企稳，且宏观环境未进一步恶化，也可评估做多机会。,387.0,390.0,377.0,['此观望状态失效于：1. 价格收盘有效突破420美元阻力区，且成交量放大，可能意味着升势重启。2. 价格收盘有效跌破377美元（布林带下轨及近期低点），可能意味着调整加深、结构破坏，转向防守。'],backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round19\reports\MU\0423-0127-MU\reports\2026-0313-MU\2_decision\summary.md
