ticker,trade_date,action,trend_judgment,report_action,report_trend_judgment,decision_source,scenario_type,primary_driver,trend_integrity,risk_state,reference_price,reference_price_text,entry_style,entry_zone_low,entry_zone_high,invalidation_price,invalidation_texts,report_path,direction_bias,catalyst_state,extension_state,entry_posture
AAOI,2026-01-20,sell,风险主导,建议卖出,风险主导,rule_based,催化后高波动整理型,多因素混合主导,边际走弱,高,37.04,37.04 美元,对于已持仓用户，建议在当前37美元附近减仓50%头寸，并将剩余仓位止损设置在34美元（短期支撑区下沿）；不建议新开多头头寸。若未来1-2周价格反弹至39-40美元且未能有效突破42美元，可继续减仓至20%以下。,1.0,2.0,,['若价格在成交量配合下有效突破42.00美元并站稳，则方向转为中性偏多，可重新评估参与机会。若出现超预期财报（AI收入环比增40%以上且毛利率持稳），则风险主导状态可解除。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\AAOI\0425-1919-AAOI\reports\2026-0120-AAOI\2_decision\summary.md,看空,消化中,延展,暂不参与
AAOI,2026-01-21,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,Beta情绪技术驱动型,多因素混合主导,完整,中,39.26,39.26美元,等待价格回调至36.50-37.50美元区间（接近10日EMA，约36.69美元），确认企稳后分批参与，止损设于34.80美元下方。,36.5,37.5,34.8,['价格跌破34.80美元（1月初多次探底低点及中期关键支撑），则短期上升结构破坏，应止损出局；或价格无法突破40.00美元阻力并回落至36美元以下，也视为参与失效。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\AAOI\0425-1919-AAOI\reports\2026-0121-AAOI\2_decision\summary.md,看多,消化中,延展,等待回调
AAOI,2026-01-22,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,多因素混合主导,完整,中,38.38,38.38美元,等待回调至34.00-36.00美元区间（布林带下轨与前期低点支撑区域），出现企稳信号（如长下影线或放量反转K线）后分批参与。首次建仓不超过20%仓位。,34.0,36.0,30.63,['收盘价有效跌破50日均线（30.63美元），则中期上升趋势破坏，应离场观望；若价格跌破1月8日低点33.01美元且无法快速收回，则趋势走弱，需暂停所有多头计划。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\AAOI\0425-1919-AAOI\reports\2026-0122-AAOI\2_decision\summary.md,看多,支撑中,延展,等待回调
AAOI,2026-01-23,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,多因素混合主导,完整,中,38.15,38.15美元,等待价格回调至34.50-35.50美元区间，出现企稳信号（如日线阳线、RSI止跌回升、成交量萎缩）后分批参与。或等待10日EMA重新走平上翘、MACD出现底背离/金叉信号时入场。,34.5,35.5,33.0,['1) 日线收盘价跌破33.00美元（1月8日低点）且次日未收回，视为中期趋势转弱信号；2) 收盘价跌破50日SMA（约30.84美元），则趋势完整性破坏，应止损离场；3) 若后续财报显示收入环比下滑超过15%，或毛利率回落至30%以下，基本面逻辑面临证伪。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\AAOI\0425-1919-AAOI\reports\2026-0123-AAOI\2_decision\summary.md,看多,消化中,延展,等待回调
AAOI,2026-01-26,hold,震荡等待确认,保持观望,震荡等待确认,rule_based,Beta情绪技术驱动型,多因素混合主导,完整,中,35.72,35.72美元,等待价格放量突破并站稳37.0美元（10日EMA与布林带中轨共振）后考虑追多，或等待价格回调至31.0-33.0美元区间并企稳（可配合MACD底背离或RSI回升至50上方）后考虑轻仓试多。,31.0,33.0,30.8,['若收盘价跌破30.8美元（50日SMA），中期多头结构恶化，转为观望或偏空；若放量跌破25.2美元（200日SMA），长期趋势破坏，不再支持任何多头判断。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\AAOI\0425-1919-AAOI\reports\2026-0126-AAOI\2_decision\summary.md,中性,消化中,延展,等待确认
AAOI,2026-01-27,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,催化后高波动整理型,多因素混合主导,完整,中,34.89,34.89美元,回调至31.00-32.50美元区间（对应50日SMA 31.33美元与布林带下轨32.34美元重合区），配合日线出现长下影线、阳包阴或放量止跌信号时分批低吸。,31.0,32.5,29.5,['1）价格有效跌破50日SMA（31.33美元）且连续两日收盘于该线下方；2）价格进一步跌破29.50美元（1月中旬低点区域）；3）Q4 2025财报显示单季收入增速跌破30%或经营现金流恶化超出市场预期。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\AAOI\0425-1919-AAOI\reports\2026-0127-AAOI\2_decision\summary.md,看多,消化中,正常,等待回调
AAOI,2026-01-28,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,多因素混合主导,完整,中,37.39,37.39 美元,回调至 34.50-35.50 美元区间企稳后分批参与，单次仓位不超过总资金的 15%；或放量站上 39.50 美元后可轻仓追涨。,34.5,35.5,31.8,['收盘价跌破 31.80 美元（50 日 SMA），且 10 日 EMA 死叉 50 日 SMA，中期上升结构破坏。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\AAOI\0425-1919-AAOI\reports\2026-0128-AAOI\2_decision\summary.md,看多,支撑中,正常,等待回调
AAOI,2026-01-29,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,多因素混合主导,完整,中,45.23,45.23美元,等待价格回调至38-42美元区间（10日EMA至布林带上轨之间），企稳后分批建仓，第一批仓位设在40美元附近，第二批设于38美元。,38.0,42.0,32.18,['收盘价跌破32.18美元（50日SMA），则多头结构破坏；或价格放量跌破38.41美元（10日EMA）且无法快速收回。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\AAOI\0425-1919-AAOI\reports\2026-0129-AAOI\2_decision\summary.md,看多,消化中,延展,等待回调
AAOI,2026-01-30,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,公司催化主导,完整,中,39.57,39.57 美元,等待价格回调至37.00-38.50美元区间（布林带中轨附近及1月26-29日价格密集区）企稳后分批参与，优先在37.50美元附近建立底仓。,37.0,38.5,34.0,['1) 价格跌破34.00美元（1月26日低点与上移的50日SMA保护位）；2) 反弹至42美元以上无法放量突破43.74美元（布林带上轨），且出现MACD顶背离信号；3) 连续3个交易日收盘价低于37.00美元。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\AAOI\0425-1919-AAOI\reports\2026-0130-AAOI\2_decision\summary.md,看多,消化中,延展,等待回调
AAOI,2026-02-02,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,催化后高波动整理型,多因素混合主导,完整,中,43.61,43.61美元,等待价格回调至33.00-34.00美元区间（50日SMA附近）分批建立核心仓位，此区间具备中期均线与前期震荡区双重支撑。若价格能在该区间缩量企稳（日成交量低于400万股），可作为偏多入场信号。,33.0,34.0,31.5,['日线收盘价跌破31.50美元（1月27日低点下方），则中期多头结构受到破坏，应视为信号失效并离场。或价格在33.00-34.00美元区间放量下跌收出实体阴线，则暂不参与。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\AAOI\0425-1919-AAOI\reports\2026-0202-AAOI\2_decision\summary.md,看多,支撑中,延展,等待回调
