ticker,trade_date,action,status,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,reference_price,entry_style,entry_zone_low,entry_zone_high,invalidation_price,quantity,exit_signal_date,exit_signal_action,report_path
AXTI,2026-03-02,buy_on_pullback,triggered,2026-03-06,34.8,2026-04-07,42.7,sell_signal,32.0,22.7011,37.9,回调至32.00-34.80美元支撑区域（优先关注34.80美元10日EMA附近），出现缩量企稳或小周期底背离信号后分批轻仓介入。,32.0,34.8,28.5,1,2026-04-06,sell,backtest\output\0421-0119-AXTI\reports\2026-0302-AXTI\2_decision\summary.md
AXTI,2026-03-03,buy_on_pullback,triggered,2026-03-04,37.9,2026-03-26,65.18,sell_signal,22.0,71.9789,46.32,回调至37.90-35.08美元支撑区间内，出现缩量企稳、看涨K线形态或重新站上10日EMA（届时约37-38美元）信号后，分批买入。,35.08,37.9,29.68,1,2026-03-25,sell,backtest\output\0421-0119-AXTI\reports\2026-0303-AXTI\2_decision\summary.md
AXTI,2026-03-04,buy_on_pullback,triggered,2026-03-06,36.5,2026-03-06,35.0,stop_loss,0.0,-4.1096,41.76,回调至35.08-36.58美元支撑区域（兼顾前期平台及近期低点），出现缩量企稳或30分钟/小时图看涨结构后分批轻仓介入。,35.08,36.58,35.0,1,,,backtest\output\0421-0119-AXTI\reports\2026-0304-AXTI\2_decision\summary.md
AXTI,2026-03-05,hold,skipped,,,,,action_hold,,,39.13,当前不急于参与。若未来价格回调至34.20-36.50美元区域并出现缩量企稳、日内分时拒绝新低、或RSI在50附近走平回升等信号，可考虑分批轻仓介入。,34.2,36.5,29.7,1,,,backtest\output\0421-0119-AXTI\reports\2026-0305-AXTI\2_decision\summary.md
AXTI,2026-03-06,buy_on_pullback,expired,,,,,pre_entry_invalidation,,,38.79,回调至 **34.20-36.70美元** 区间（涵盖2月低点密集区及10日EMA），出现以下任一企稳信号后分批买入：,34.2,36.7,33.8,1,,,backtest\output\0421-0119-AXTI\reports\2026-0306-AXTI\2_decision\summary.md
AXTI,2026-03-09,hold,skipped,,,,,action_hold,,,32.37,当前不急于参与。若未来转为趋势延续，需观察：价格在29.68-32.26美元支撑区企稳并出现反转信号，或放量突破38.79-40美元阻力区。,29.68,32.26,29.68,1,,,backtest\output\0421-0119-AXTI\reports\2026-0309-AXTI\2_decision\summary.md
AXTI,2026-03-10,hold,skipped,,,,,action_hold,,,38.56,当前不急于参与。若未来转多，需满足以下任一条件：,,,32.26,1,,,backtest\output\0421-0119-AXTI\reports\2026-0310-AXTI\2_decision\summary.md
AXTI,2026-03-11,buy_on_pullback,triggered,2026-04-06,40.0,2026-04-07,45.46,window_end,1.0,13.65,44.3,等待价格回调至 **38.00-40.00美元** 区间企稳后分批买入。企稳信号可参考：1小时图收盘站稳39.00美元上方，或分时图出现缩量止跌形态。,38.0,40.0,37.0,1,,,backtest\output\0421-0119-AXTI\reports\2026-0311-AXTI\2_decision\summary.md
AXTI,2026-03-12,buy_on_pullback,triggered,2026-04-06,41.0,2026-04-07,45.46,window_end,1.0,10.878,47.36,回调至37.0-41.0美元区间（重点关注40.0-41.0美元10日EMA附近）出现企稳信号（如小时图缩量止跌、阳线反包）后分批买入。,37.0,41.0,37.0,1,,,backtest\output\0421-0119-AXTI\reports\2026-0312-AXTI\2_decision\summary.md
AXTI,2026-03-13,buy_on_pullback,expired,,,,,entry_not_triggered,,,46.73,等待价格回调至 **39.13‑38.56美元** 支撑平台企稳后分批买入，或回调至 **35.08美元** 附近出现止跌信号后参与。,,,35.08,1,,,backtest\output\0421-0119-AXTI\reports\2026-0313-AXTI\2_decision\summary.md
AXTI,2026-03-16,buy_on_pullback,triggered,2026-03-17,44.3,2026-04-07,45.46,window_end,21.0,2.6185,48.86,回调至44.30-38.50美元支撑区间内企稳后分批买入。,38.5,44.3,38.5,1,,,backtest\output\0421-0119-AXTI\reports\2026-0316-AXTI\2_decision\summary.md
AXTI,2026-03-17,hold,skipped,,,,,action_hold,,,48.39,当前不急于参与。若未来价格能**在44.87-45.00美元区域显著缩量企稳并收复10日EMA（约43.66美元）**，可考虑轻仓试探；或等待**宏观风险缓和后，价格放量突破50.97美元**的确认信号。,44.87,45.0,44.87,1,,,backtest\output\0421-0119-AXTI\reports\2026-0317-AXTI\2_decision\summary.md
