trade_date,action,label,metric_name,metric_value_pct,note,report_path
2026-03-02,hold,bad_case,ret_3d_pct,20.076,观望错过了明显行情。,backtest\output\0421-1126-AAOI\reports\2026-0302-AAOI\2_decision\summary.md
2026-03-03,buy_on_pullback,good_case,realized_return_pct,30.6095,信号已成交且最终盈利。,backtest\output\0421-1126-AAOI\reports\2026-0303-AAOI\2_decision\summary.md
2026-03-04,buy_on_pullback,good_case,ret_3d_pct,16.0269,买入信号后价格上涨。,backtest\output\0421-1126-AAOI\reports\2026-0304-AAOI\2_decision\summary.md
2026-03-05,hold,bad_case,ret_3d_pct,20.8404,观望错过了明显行情。,backtest\output\0421-1126-AAOI\reports\2026-0305-AAOI\2_decision\summary.md
2026-03-06,buy_on_pullback,good_case,ret_3d_pct,25.5784,买入信号后价格上涨。,backtest\output\0421-1126-AAOI\reports\2026-0306-AAOI\2_decision\summary.md
2026-03-09,sell,bad_case,ret_3d_pct,11.1006,卖出信号后价格上涨。,backtest\output\0421-1126-AAOI\reports\2026-0309-AAOI\2_decision\summary.md
2026-03-10,buy_on_pullback,bad_case,realized_return_pct,-11.5789,信号已成交但最终亏损。,backtest\output\0421-1126-AAOI\reports\2026-0310-AAOI\2_decision\summary.md
2026-03-11,buy_on_pullback,bad_case,ret_3d_pct,-21.9271,买入信号后价格走弱。,backtest\output\0421-1126-AAOI\reports\2026-0311-AAOI\2_decision\summary.md
2026-03-12,buy_on_pullback,bad_case,ret_3d_pct,-32.029,买入信号后价格走弱。,backtest\output\0421-1126-AAOI\reports\2026-0312-AAOI\2_decision\summary.md
2026-03-13,hold,bad_case,ret_3d_pct,-12.7696,观望错过了明显行情。,backtest\output\0421-1126-AAOI\reports\2026-0313-AAOI\2_decision\summary.md
2026-03-16,buy_on_pullback,bad_case,realized_return_pct,-9.0909,信号已成交但最终亏损。,backtest\output\0421-1126-AAOI\reports\2026-0316-AAOI\2_decision\summary.md
2026-03-17,hold,bad_case,ret_3d_pct,-6.9416,观望错过了明显行情。,backtest\output\0421-1126-AAOI\reports\2026-0317-AAOI\2_decision\summary.md
2026-03-18,hold,bad_case,ret_3d_pct,10.9232,观望错过了明显行情。,backtest\output\0421-1126-AAOI\reports\2026-0318-AAOI\2_decision\summary.md
2026-03-19,buy_on_pullback,bad_case,realized_return_pct,-1.5406,信号已成交但最终亏损。,backtest\output\0421-1126-AAOI\reports\2026-0319-AAOI\2_decision\summary.md
2026-03-20,hold,bad_case,ret_3d_pct,12.2547,观望错过了明显行情。,backtest\output\0421-1126-AAOI\reports\2026-0320-AAOI\2_decision\summary.md
2026-03-23,hold,bad_case,ret_3d_pct,11.2863,观望错过了明显行情。,backtest\output\0421-1126-AAOI\reports\2026-0323-AAOI\2_decision\summary.md
2026-03-24,buy_on_pullback,good_case,ret_3d_pct,2.5585,买入信号后价格上涨。,backtest\output\0421-1126-AAOI\reports\2026-0324-AAOI\2_decision\summary.md
2026-03-25,buy_on_pullback,bad_case,ret_3d_pct,-25.2063,买入信号后价格走弱。,backtest\output\0421-1126-AAOI\reports\2026-0325-AAOI\2_decision\summary.md
2026-03-26,buy_on_pullback,bad_case,realized_return_pct,-8.498,信号已成交但最终亏损。,backtest\output\0421-1126-AAOI\reports\2026-0326-AAOI\2_decision\summary.md
2026-03-27,buy_on_pullback,bad_case,ret_3d_pct,-11.3632,买入信号后价格走弱。,backtest\output\0421-1126-AAOI\reports\2026-0327-AAOI\2_decision\summary.md
2026-03-30,hold,bad_case,ret_3d_pct,5.8039,观望错过了明显行情。,backtest\output\0421-1126-AAOI\reports\2026-0330-AAOI\2_decision\summary.md
2026-03-31,hold,bad_case,ret_3d_pct,26.1298,观望错过了明显行情。,backtest\output\0421-1126-AAOI\reports\2026-0331-AAOI\2_decision\summary.md
2026-04-01,hold,bad_case,ret_3d_pct,39.0708,观望错过了明显行情。,backtest\output\0421-1126-AAOI\reports\2026-0401-AAOI\2_decision\summary.md
2026-04-02,hold,bad_case,ret_3d_pct,36.2362,观望错过了明显行情。,backtest\output\0421-1126-AAOI\reports\2026-0402-AAOI\2_decision\summary.md
2026-04-06,buy_on_pullback,good_case,ret_3d_pct,13.2134,买入信号后价格上涨。,backtest\output\0421-1126-AAOI\reports\2026-0406-AAOI\2_decision\summary.md
2026-04-07,buy_on_pullback,unclear,,,回测窗口内缺少足够的后续 K 线。,backtest\output\0421-1126-AAOI\reports\2026-0407-AAOI\2_decision\summary.md
