trade_date,action,label,metric_name,metric_value_pct,note,report_path
2026-03-02,hold,bad_case,avg_ret_3d_pct,17.2148,观望错过了明显行情。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round16\reports\AAOI\0423-0034-AAOI\reports\2026-0302-AAOI\2_decision\summary.md
2026-03-03,hold,unclear,avg_ret_3d_pct,-3.6094,后续波动中等，暂不适合直接判定观望对错。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round16\reports\AAOI\0423-0034-AAOI\reports\2026-0303-AAOI\2_decision\summary.md
2026-03-04,hold,bad_case,avg_ret_3d_pct,7.454,观望错过了明显行情。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round16\reports\AAOI\0423-0034-AAOI\reports\2026-0304-AAOI\2_decision\summary.md
2026-03-05,hold,bad_case,avg_ret_3d_pct,9.2134,观望错过了明显行情。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round16\reports\AAOI\0423-0034-AAOI\reports\2026-0305-AAOI\2_decision\summary.md
2026-03-06,buy_on_pullback,good_case,avg_ret_3d_pct,18.0278,买入信号后短期价格明显上涨。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round16\reports\AAOI\0423-0034-AAOI\reports\2026-0306-AAOI\2_decision\summary.md
2026-03-09,hold,bad_case,avg_ret_3d_pct,23.3487,观望错过了明显行情。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round16\reports\AAOI\0423-0034-AAOI\reports\2026-0309-AAOI\2_decision\summary.md
2026-03-10,buy_on_pullback,unclear,avg_ret_3d_pct,-0.5575,买入信号后波动幅度较小，暂不足以下结论。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round16\reports\AAOI\0423-0034-AAOI\reports\2026-0310-AAOI\2_decision\summary.md
2026-03-11,buy_on_pullback,bad_case,avg_ret_3d_pct,-17.8161,买入信号后短期价格明显走弱。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round16\reports\AAOI\0423-0034-AAOI\reports\2026-0311-AAOI\2_decision\summary.md
2026-03-12,buy_on_pullback,bad_case,avg_ret_3d_pct,-27.2472,买入信号后短期价格明显走弱。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round16\reports\AAOI\0423-0034-AAOI\reports\2026-0312-AAOI\2_decision\summary.md
2026-03-13,buy_on_pullback,bad_case,avg_ret_3d_pct,-14.2951,买入信号后短期价格明显走弱。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round16\reports\AAOI\0423-0034-AAOI\reports\2026-0313-AAOI\2_decision\summary.md
2026-03-16,buy_on_pullback,bad_case,avg_ret_3d_pct,-3.2882,买入信号后短期价格明显走弱。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round16\reports\AAOI\0423-0034-AAOI\reports\2026-0316-AAOI\2_decision\summary.md
2026-03-17,hold,good_case,avg_ret_3d_pct,-0.0425,观望与后续横盘走势匹配。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round16\reports\AAOI\0423-0034-AAOI\reports\2026-0317-AAOI\2_decision\summary.md
