ticker,trade_date,action,reference_price,reference_price_text,entry_style,entry_zone_low,entry_zone_high,invalidation_price,invalidation_texts,report_path
AAOI,2026-03-02,buy_on_pullback,84.23,84.23美元,等待价格回调至以下两个区间之一，出现企稳信号后分批参与：,,,53.0,"['1. 价格跌破并日线收盘于50日SMA（动态值，当前约42.82美元）下方。', '2. 价格在回调至上述支撑区间后无法企稳，反而放量跌破53美元。', '适合的场景**', '- 高风险偏好的趋势交易者。', '- 相信公司基本面拐点及AI数据中心需求叙事，并能接受高波动。', '- 能严格执行分批建仓和止损纪律。', '不适合的场景**', '- 低风险承受能力、厌恶高波动和亏损的投资者。', '- 追求稳定盈利和现金流的价值投资者。', '- 希望短期追涨或进行日内交易的投机者。', '证据摘要**', '1. **趋势结构未坏**：长期、中期、短期均线呈多头排列，跳空巨量上涨确认趋势强度。', '2. **回调需求明确**：RSI 84.75、价格远高于布林带上轨，技术指标一致显示极端超买，报告明确建议“等待回调参与”。', '3. **可执行计划清晰**：报告给出了具体的回调参与区间（53-65美元）和失效条件（跌破50日均线），符合“择机买入”的映射要求。', '4. **风险可控**：宏观风险虽存，但未改变公司自身的增长叙事；基本面高增长拐点已现，为回调后的参与提供了核心逻辑支撑。']",backtest\output\0421-1158-AAOI\reports\2026-0302-AAOI\2_decision\summary.md
AAOI,2026-03-03,buy_on_pullback,102.51,102.51美元,回调至 **70.88-84.23美元** 区间（10日EMA至前期突破平台）企稳后分批买入。,70.88,84.23,44.18,"['1. 价格放量跌破 **44.18美元**（50日SMA）且当日无法收回。', '2. 回调过程中出现连续三日收盘低于 **70美元**，且无企稳迹象。', '适合的场景**', '- 高风险偏好投资者，能承受高波动并执行严格止损。', '- 相信公司收入高增长可持续，且愿意等待回调后介入的交易策略。', '不适合的场景**', '- 低风险偏好、无法接受短期大幅回撤的投资者。', '- 追求即时动量或追涨策略的交易者。', '证据摘要**', '1. **趋势结构**：价格高于所有关键均线（10日EMA 70.88美元、50日SMA 44.18美元、200日SMA 30.10美元），均线呈多头排列。', '2. **企稳证据待观察**：当前价格远离均线，需等待回调后测试支撑。报告明确建议“等待深度回调至56-70美元区间参与”，并指出“价格有向布林带中轴回归倾向”。', '3. **基本面支撑**：收入同比+83%，Q1指引强劲，800G产能规划提供远期催化。', '4. **风险边界清晰**：技术面给出明确支撑区间（56-70美元）与失效位（44美元），可据此制定计划。']",backtest\output\0421-1158-AAOI\reports\2026-0303-AAOI\2_decision\summary.md
AAOI,2026-03-04,buy_on_pullback,95.34,95.34美元,等待回调至以下两个区间之一企稳后分批买入：,,,45.59,"['1. 价格放量跌破2月27日跳空缺口下沿**65.57美元**且当日无法收回。', '2. 50日均线（当前45.59美元）被跌破且周线收盘无法修复。', '适合的场景**', '1. 高风险偏好成长型投资者，能承受高波动。', '2. 相信公司产能扩张故事且愿意等待财报验证的交易者。', '3. 采用分批建仓、严格止损的纪律性策略。', '不适合的场景**', '1. 追求稳定现金流、低波动的价值投资者。', '2. 无法接受短期可能回调10%-20%的保守型持仓者。', '3. 希望追涨动量或单边做多的短线交易者。', '证据摘要**', '1. **趋势结构**：长期、中期、短期均线仍呈多头排列，2月27日跳空缺口未回补，上升基础未破坏。', '2. **基本面动能**：Q4营收同比+82.7%，毛利率提升至30%，分析师大幅上调目标价，800G产能扩张计划明确。', '3. **回调需求**：RSI顶背离、价格大幅偏离均线、放量冲高回落，显示短期技术性回调压力，但报告明确建议“等待回调参与”而非转向看空。', '4. **风险边界清晰**：技术报告给出具体支撑区间（84.2、76.1、56.3-58.1）与失效条件（跌破65.57），可执行性强。']",backtest\output\0421-1158-AAOI\reports\2026-0304-AAOI\2_decision\summary.md
AAOI,2026-03-05,sell,99.71,99.71美元,（针对已有持仓）,,,92.0,"['1. 若价格在未来3-5个交易日内放量突破并站稳110美元，可能意味着超买状态继续延续，需重新评估趋势强度。', '2. 若价格在92-110美元区间缩量整理超过1周且RSI回落至70以下，显示抛压消化，则风险程度下降。', '适合的场景**', '1. 已有浮盈持仓者锁定利润、控制回撤。', '2. 风险厌恶型投资者规避高波动资产。', '3. 等待更深回调后再布局的投资者。', '不适合的场景**', '1. 试图追高买入或博取短期继续暴涨的交易。', '2. 基于长期趋势无视短期极端偏离的买入持有策略。', '证据摘要**', '1. 技术面：RSI 78.79，价格偏离50日均线112%，高位巨量滞涨（3月2日成交量2711万手收长上影），布林带极度扩张，显示回调压力极大。', '2. 新闻面：核心催化剂（Q4财报）已充分定价，分析师目标价大幅上调后股价已接近目标区间，下一关键事件（Q1财报）尚远，短期缺乏新催化。', '3. 基本面：营收增长82.7%、毛利率提升至30%，但经营现金流-1.74亿美元，净利润仍亏损，高增长已反映在股价中，短期估值支撑弱化。']",backtest\output\0421-1158-AAOI\reports\2026-0305-AAOI\2_decision\summary.md
AAOI,2026-03-06,buy_on_pullback,101.14,101.14美元,等待价格回调至以下两个支撑区域企稳后分批买入：,,,83.0,"['1. 日线收盘价有效跌破 **83.00美元**（跌破10日EMA及突破缺口起点）。', '2. 价格放量跌破92美元后反弹无力，无法快速收回该区间上沿。', '适合的场景**', '- 相信AI光模块长期趋势、能承受高波动的成长型投资者。', '- 愿意放弃追高、耐心等待回调的右侧交易者。', '- 小仓位配置，博弈业绩增长持续性的交易机会。', '不适合的场景**', '- 厌恶波动、要求立即盈利的价值型投资者。', '- 无法严格执行止损的投资者。', '- 试图在当前位置追涨的短线交易者。', '证据摘要**', '1. 技术面：均线多头排列，MACD高位运行，突破伴随天量，结构仍健康。', '2. 基本面：营收爆发式增长+产能扩张计划，核心上涨逻辑清晰。', '3. 新闻面：财报与分析师上调目标价构成强催化，宏观风险仅为波动源而非趋势破坏因子。', '4. 风险边界明确：支撑位92-93.8美元及83-85美元，失效位83美元以下。']",backtest\output\0421-1158-AAOI\reports\2026-0306-AAOI\2_decision\summary.md
AAOI,2026-03-09,sell,95.58,95.58美元,（基于已有持仓视角）,,,80.0,"['1. 股价放量突破前高114.63美元并站稳，表明回调压力被消化、上涨趋势重启。', '2. 在80-85美元支撑区域缩量企稳后，重新收复95.58美元并伴随动量指标修复。', '适合的场景**', '1. 已有大幅浮盈的持仓者，需要利润保护。', '2. 风险厌恶型投资者，回避高波动、未盈利标的。', '3. 认为技术性回调压力将短期压倒基本面利好的交易者。', '不适合的场景**', '1. 无持仓且试图抄底的激进交易者（当前缺乏企稳证据）。', '2. 长期配置型投资者（盈利与现金流拐点尚未确认）。', '3. 仅基于新闻面利好而忽略技术面风险的追涨策略。', '证据摘要**', '1. 技术面：RSI 77.74（严重超买），3月6日冲高回落收长阴，量价背离，ATR达10.23（波动率极端）。', '2. 新闻面：1.6T订单落地，但股价已大幅反应，新闻建议“避免追高”。', '3. 基本面：营收增长82.8%，但经营现金流-1.74亿美元，净亏损3823万美元，增长质量不佳。', '4. 综合结论：短期风险收益比恶化，持仓者应优先减仓或止损。']",backtest\output\0421-1158-AAOI\reports\2026-0309-AAOI\2_decision\summary.md
AAOI,2026-03-10,buy_on_pullback,110.62,110.62美元,等待回调至**84.00-95.00美元**区间（重点关注84美元突破起涨点、10日EMA动态支撑及成交密集区上沿），出现缩量止跌或分时企稳信号后，分批建立底仓。,84.0,95.0,84.0,"['日线收盘价有效跌破**84.00美元**（2月27日巨量突破日收盘价），并伴随MACD高位死叉，则视为短期上涨趋势破坏，应止损离场。', '适合的场景**', '- 高风险偏好的成长型/趋势交易者。', '- 能承受高波动、愿意等待回调后布局的投资者。', '- 相信AI基础设施投资扩散叙事，并认可公司订单带来基本面拐点的观点。', '不适合的场景**', '- 低风险承受能力、厌恶高波动的保守型投资者。', '- 要求立即盈利、稳定现金流或股息的价值投资者。', '- 试图短线追涨或频繁交易的风格。', '证据摘要**', '1. **趋势结构**：所有周期均线多头排列，价格远高于200日/50日均线，长期上升趋势明确。', '2. **基本面催化**：获得首个主要超大规模客户1.6T订单（价值超2亿美元），营收同比增82.7%，行业需求拐点确认。', '3. **技术状态**：RSI>80、ATR翻倍，显示短期超买且波动剧烈；价格在95-110美元区间巨量换手，表明多空分歧大，需回调消化。', '4. **交易计划清晰**：报告明确给出“回调至84-95美元区间企稳后参与”的具体方案及失效条件，符合“趋势延续但需谨慎参与”的特征。']",backtest\output\0421-1158-AAOI\reports\2026-0310-AAOI\2_decision\summary.md
AAOI,2026-03-11,buy_on_pullback,120.49,120.49美元,分批买入，关注两个支撑区域：,,,95.0,"['1. 价格放量跌破95.00美元支撑区，且3个交易日内无法收回。', '2. 10日EMA（当前100.15美元）拐头向下并失守。', '3. 订单出现负面进展（如延迟发货、客户取消）。', '适合的场景**', '- 高风险偏好投资者，能承受高波动。', '- 相信订单叙事且愿意等待回调的波段交易者。', '- 已有持仓者部分获利了结后，等待回调加仓。', '不适合的场景**', '- 低风险承受能力、厌恶高波动。', '- 追求短期追涨或日内交易。', '- 要求立即盈利、现金流稳定的价值投资者。', '证据摘要**', '1. **趋势延续证据**：均线多头排列；订单驱动基本面突破；技术报告明确给出“回调参与”方案（95-100美元支撑区）。', '2. **回调必要性证据**：RSI＞80，价格偏离50日均线128%，ATR翻倍，显示短期风险极高。', '3. **企稳信号待观察**：需等待价格测试支撑后出现缩量、止跌K线或RSI修复至60附近。', '4. **非风险主导**：未出现趋势破坏（如放量跌破95美元）、正文核心仍建议“回调买入”而非优先减仓。']",backtest\output\0421-1158-AAOI\reports\2026-0311-AAOI\2_decision\summary.md
AAOI,2026-03-12,buy_on_pullback,127.01,127.01美元,分批回调买入：,,,95.0,"['1. 价格收盘价有效跌破95美元（强支撑区下沿）。', '2. 10日EMA（当前101.25美元）被放量跌破且拐头向下。', '3. MACD在高位形成死叉后持续下行。', '适合的场景**', '- 相信公司基本面已出现转折、愿意承受较高波动以捕捉趋势延续机会的投资者。', '- 能够严格执行分批建仓、止损纪律，不追高的交易者。', '不适合的场景**', '- 无法接受单日波动可能超过10%、要求立即盈利的短线交易者。', '- 期望在当前位置直接追涨并持有数日的策略。', '- 风险厌恶、要求现金流为正的价值投资者。', '证据摘要**', '1. **技术面**：所有均线多头排列，趋势强劲；但RSI从超买区回落、MACD走平、价格偏离均线过大，显示回调需求。报告明确建议“回调参与”，给出110-112美元与95-99美元两档支撑。', '2. **新闻面**：1.6T订单是根本性利好，验证技术突破与商业化能力；ATM增发为潜在压制因素但未改变核心逻辑。', '3. **基本面**：营收同比增82.7%，毛利率提升，成长逻辑清晰；但经营现金流仍为负，盈利未兑现。', '4. **综合判断**：上涨结构未破坏，但短期风险收益比不佳；可形成明确的回调买入计划，故属“趋势延续”而非“震荡等待确认”。']",backtest\output\0421-1158-AAOI\reports\2026-0312-AAOI\2_decision\summary.md
AAOI,2026-03-13,hold,106.19,106.19美元,当前不急于参与。若未来价格回调至80-95美元区间并出现企稳信号（如小时图缩量整理、RSI拐头向上、收复5日线），可考虑分批买入；或放量突破近期阻力120.50美元后追涨。,80.0,95.0,80.0,"['1. 价格有效跌破80美元支撑区（日收盘价低于79美元），并无法快速收回。', '2. 50日均线（当前55.51美元）被放量跌破，中期趋势破坏。', '适合的场景**', '- 能承受高波动、愿意等待明确技术信号再行动的短线交易者。', '- 已有持仓者暂持有，但需设置止损于80美元下方。', '不适合的场景**', '- 期望当前价位直接追涨或立即抄底的投资者。', '- 无法接受价格可能继续回调至80美元区域的保守型投资者。', '证据摘要**', '1. 技术面：价格自128.96美元高点回落，短期均线（10日EMA）支撑面临考验；RSI脱离超买区但未现企稳；波动率（ATR）极高，显示市场处于不稳定状态。', '2. 新闻面：1.6T订单利好已部分兑现，但扩大的ATM融资计划构成短期压制，多空叙事并存。', '3. 基本面：收入与毛利率改善提供长期支撑，但经营现金流仍为负，盈利可持续性未验证。', '4. 综合状态：既无法给出明确的回调买入条件（价格未至支撑区且无企稳信号），也未出现趋势破坏或需立即止损的风险主导信号，故判为震荡等待确认。']",backtest\output\0421-1158-AAOI\reports\2026-0313-AAOI\2_decision\summary.md
