ticker,trade_date,action,trend_judgment,scenario_type,primary_driver,trend_integrity,risk_state,reference_price,reference_price_text,entry_style,entry_zone_low,entry_zone_high,invalidation_price,invalidation_texts,report_path
2513.HK,2026-03-02,sell,风险主导,Beta情绪技术驱动型,Beta与技术结构主导,已破坏,风险主导,575.0,575.0港元,已有持仓者，考虑在反弹至阻力区（如670-700港元）时部分获利了结；剩余仓位可设置动态止盈于10日EMA（约524.5港元）附近，若有效跌破应进一步减仓。,670.0,700.0,,['收盘价强势突破并站稳历史前高725港元，且宏观地缘政治风险出现决定性缓和信号（如达成停火），同时成交量显著放大。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round24\reports\2513.HK\0423-1216-2513HK\reports\2026-0302-2513HK\2_decision\summary.md
2513.HK,2026-03-03,hold,震荡等待确认,催化后高波动整理型,催化消化主导,边际走弱,风险与机会拉锯,550.0,550.0港元,当前不急于建立新仓位。若未来转多，需满足以下条件之一：1) 宏观风险缓和，且价格在480-520港元支撑带企稳后反弹；2) 价格放量突破并站稳630-650港元区间。若未来转空，触发条件为价格收盘价有效跌破470-480港元支撑。,480.0,520.0,,['本“观望”判断的失效条件为：1) 价格放量突破630-650港元区间，趋势延续逻辑占优；2) 价格收盘价有效跌破470-480港元支撑，风险主导逻辑占优。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round24\reports\2513.HK\0423-1216-2513HK\reports\2026-0303-2513HK\2_decision\summary.md
2513.HK,2026-03-04,hold,震荡等待确认,催化后高波动整理型,催化消化主导,边际走弱,风险与机会拉锯,528.0,528.0港元,当前不急于参与。若未来价格回调至402-430港元强支撑区域并出现企稳反弹信号，可考虑分批布局。或等待价格放量突破并站稳560-580港元阻力区，且短期均线重新形成多头排列后，再行跟进。,402.0,430.0,,['1) 价格放量跌破402港元支撑区域且无法快速收回，视为技术结构破坏；2) 地缘冲突显著恶化，导致市场出现系统性恐慌抛售。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round24\reports\2513.HK\0423-1216-2513HK\reports\2026-0304-2513HK\2_decision\summary.md
2513.HK,2026-03-05,sell,风险主导,Beta情绪技术驱动型,Beta与技术结构主导,已破坏,风险主导,510.0,510.0港元,对于已有持仓，建议利用任何向578-592港元阻力区域的反弹进行减仓，或设置紧密止损于495港元下方。,578.0,592.0,,['价格放量强势回升并站稳10日EMA（当前约522港元）上方，且宏观地缘风险出现明确缓和信号。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round24\reports\2513.HK\0423-1216-2513HK\reports\2026-0305-2513HK\2_decision\summary.md
2513.HK,2026-03-06,hold,震荡等待确认,催化后高波动整理型,催化消化主导,边际走弱,风险与机会拉锯,520.0,520.0港元,当前不急于参与。若未来价格在500-510港元支撑区出现明确的缩量止跌与阳线反弹确认，可考虑轻仓试多。或等待价格放量突破560港元并站稳后，再寻求右侧参与机会。,500.0,510.0,,['对于潜在的做多机会，主要失效条件为日线收盘价跌破500港元支撑位。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round24\reports\2513.HK\0423-1216-2513HK\reports\2026-0306-2513HK\2_decision\summary.md
2513.HK,2026-03-09,hold,震荡等待确认,Beta情绪技术驱动型,Beta与技术结构主导,边际走弱,风险与机会拉锯,532.0,532.0港元,当前不急于建立新仓位。若未来转向偏多，需同时满足：1. 宏观风险缓和（如油价显著回落）；2. 股价在500-520港元支撑带出现缩量企稳信号；或放量突破628-666港元阻力区。,500.0,520.0,480.0,['1. 收盘价有效跌破480-500港元支撑区。2. 地缘政治危机显著恶化，引发市场系统性崩跌。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round24\reports\2513.HK\0423-1216-2513HK\reports\2026-0309-2513HK\2_decision\summary.md
2513.HK,2026-03-10,buy_on_pullback,趋势延续,Beta情绪技术驱动型,Beta与技术结构主导,完整,风险与机会拉锯,575.0,575.0美元,等待价格回调至500-520美元支撑区间企稳后参与，或放量突破625美元后右侧跟进。,500.0,520.0,480.0,['价格放量跌破480美元关键支撑位并无法快速收回。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round24\reports\2513.HK\0423-1216-2513HK\reports\2026-0310-2513HK\2_decision\summary.md
2513.HK,2026-03-11,sell,风险主导,Beta情绪技术驱动型,Beta与技术结构主导,边际走弱,风险主导,649.0,649.0港元,对于已有持仓，建议利用任何向10日EMA（约564港元）或以上的反弹进行减仓。若价格直接下行，跌破510-520港元关键支撑区域时应果断止损/止盈。,510.0,520.0,,['若美伊冲突迅速出现外交解决迹象，且股价放量强势突破725港元历史前高，则下行风险主导的判断可能失效。但此情景在未来1-2周内概率较低。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round24\reports\2513.HK\0423-1216-2513HK\reports\2026-0311-2513HK\2_decision\summary.md
2513.HK,2026-03-12,hold,震荡等待确认,Beta情绪技术驱动型,Beta与技术结构主导,边际走弱,风险与机会拉锯,609.5,609.5美元,当前不急于参与。若未来价格放量突破708.0美元并站稳，可考虑趋势跟随；或等待价格回调至510.0-520.0美元支撑区域并出现企稳反弹信号后，再评估做多机会。,510.0,520.0,,['1. 对于突破做多思路：价格突破后迅速跌回700.0美元下方。2. 对于回调做多思路：价格跌穿510.0美元支撑后无反抽。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round24\reports\2513.HK\0423-1216-2513HK\reports\2026-0312-2513HK\2_decision\summary.md
2513.HK,2026-03-13,sell,风险主导,Beta情绪技术驱动型,Beta与技术结构主导,边际走弱,风险主导,555.5,555.5港元,已有持仓者考虑反弹减仓或设置止损。若价格反弹至短期阻力区（610-628港元）遇阻，可视为减仓机会。,610.0,628.0,1.0,['若未来1-2周内地缘政治风险快速缓和（如冲突降级、停火谈判），且股价放量强势收复并站稳10日EMA（约557港元）之上，则下行风险主导的判断可能失效。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round24\reports\2513.HK\0423-1216-2513HK\reports\2026-0313-2513HK\2_decision\summary.md
2513.HK,2026-03-16,buy_on_pullback,趋势延续,Beta情绪技术驱动型,Beta与技术结构主导,完整,风险与机会拉锯,530.0,530.0美元,等待回调至510-530美元区间企稳后分批参与，或更稳健地等待价格接近500美元整数关口出现企稳信号（如单针探底后阳线收复）时参与。,510.0,530.0,500.0,['价格周线收盘有效跌破500美元整数关口，并无法快速收回。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round24\reports\2513.HK\0423-1216-2513HK\reports\2026-0316-2513HK\2_decision\summary.md
2513.HK,2026-03-17,hold,震荡等待确认,Beta情绪技术驱动型,Beta与技术结构主导,边际走弱,风险与机会拉锯,605.0,605.0港元,当前不急于开仓。若未来价格放量突破725港元并站稳，可考虑右侧跟随。若价格回调至560-575港元支撑区间并出现企稳信号，可轻仓试探。,560.0,575.0,,['1. 对于潜在多头策略：价格收盘价有效跌破560港元支撑。2. 对于潜在空头策略：价格收盘价强势突破并站稳725港元上方。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round24\reports\2513.HK\0423-1216-2513HK\reports\2026-0317-2513HK\2_decision\summary.md
2513.HK,2026-03-18,buy_on_pullback,趋势延续,Beta情绪技术驱动型,Beta与技术结构主导,完整,风险与机会拉锯,621.5,621.5美元,等待价格回调至550-560美元关键支撑区间企稳后分批参与，或于605-610美元短期趋势支撑附近轻仓试多。,550.0,560.0,550.0,['收盘价有效跌破550美元关键支撑位，且反弹无力重回其上。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round24\reports\2513.HK\0423-1216-2513HK\reports\2026-0318-2513HK\2_decision\summary.md
2513.HK,2026-03-19,buy_on_pullback,趋势延续,Beta情绪技术驱动型,Beta与技术结构主导,完整,风险与机会拉锯,742.5,742.5美元,等待价格回调至关键支撑区域分批参与。重点关注两个区间：1）620-600美元区域（测试10日EMA及近期低点）；2）560-555美元区域（中期强支撑）。出现企稳信号后介入。,600.0,620.0,555.5,['收盘价有效跌破555.5美元的中期强支撑平台，则上涨结构可能破坏，需止损。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round24\reports\2513.HK\0423-1216-2513HK\reports\2026-0319-2513HK\2_decision\summary.md
2513.HK,2026-03-20,buy_on_pullback,趋势延续,Beta情绪技术驱动型,Beta与技术结构主导,完整,风险与机会拉锯,659.0,659.0美元,等待价格回调至关键支撑区间企稳后分批参与。首选区间：618-625美元（10日EMA附近动态支撑）。次选区间：560-575美元（前期成交密集平台强支撑）。,618.0,625.0,560.0,['1. 价格放量跌破560-575美元强支撑区域，并导致50日SMA趋势走平或拐头向下。2. 美伊冲突急剧升级，引发市场系统性恐慌，VIX指数持续飙升。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round24\reports\2513.HK\0423-1216-2513HK\reports\2026-0320-2513HK\2_decision\summary.md
