ticker,trade_date,action,reference_price,reference_price_text,entry_style,entry_zone_low,entry_zone_high,invalidation_price,invalidation_texts,report_path
1347.HK,2026-03-02,hold,96.75,96.75 美元,当前不急于参与。未来若转向“趋势延续”，潜在的入场方式需观察：价格在**94.1-95.1美元**或**89.5-90.7美元**支撑区间出现明确的缩量企稳、下影线或阳线反包等止跌信号后，方可考虑分批布局。,94.1,95.1,89.5,"['（当前状态无入场计划，故不适用具体失效条件。状态切换条件如下：）', '- **切换至“趋势延续”的条件**：价格在关键支撑区明确止跌，并放量收复50日均线（约93.65美元）及10日EMA（约98.3美元）。', '- **切换至“风险主导”的条件**：价格收盘价有效跌破89.5美元支撑，且宏观局势进一步恶化。', '适合的场景**', '1.  风险厌恶型交易者，在宏观不确定性消除前不愿入场。', '2.  已空仓的投资者，等待更清晰的风险收益比信号。', '3.  短线交易者，需要等待明确的支撑阻力突破信号后再行动。', '不适合的场景**', '1.  试图基于“长期价值”或“现金充足”在宏观风暴中左侧抄底。', '2.  期望在未来1-2周内获得明确的方向性收益。', '证据摘要**', '1.  **技术证据**：价格跌破所有短期均线，MACD下穿零轴，量价结构显示反弹乏力，短期趋势明确转弱。但长期200日均线仍稳固向上，价格未跌破关键支撑区（89.5-95.1），调整性质待确认。', '2.  **新闻/宏观证据**：美伊军事冲突升级构成重大外部冲击，主导市场情绪，其发展方向在1-2周内难以预测，极大增加了交易的不确定性。公司层面无新催化剂。', '3.  **基本面证据**：公司现金流强劲、现金储备雄厚，提供极高的长期安全边际，但短期盈利能力恶化，无法成为对抗宏观风险的即时驱动力。', '4.  **状态判断逻辑**：上述证据相互冲突，既无法构建“趋势延续”所需的明确回调参与方案（因下跌动能仍在，企稳信号未现），也未达到“风险主导”必须立即卖出的程度（因长期支撑未破且基本面底牌坚实）。因此，当前状态为“震荡等待确认”。']",backtest\output\0421-0119-1347HK\reports\2026-0302-1347HK\2_decision\summary.md
1347.HK,2026-03-03,sell,92.95,92.95港元,（基于已有持仓视角）,,,1.0,"['（若已卖出/减仓，重新转多的条件）', '1. 股价放量收复并站稳94.06港元（50日SMA）上方，且MACD出现底背离或金叉信号。', '2. 地缘冲突出现明确缓和官方声明，同时股价在91.65港元上方形成明确看涨反转形态（如早晨之星）。', '适合的场景**', '1. 已有持仓、需要控制下行风险的投资者。', '2. 认同短期风险主导，愿意牺牲潜在反弹以规避更大损失的防御型策略。', '不适合的场景**', '1. 无持仓且试图左侧抄底的投资者（报告明确不建议当前价位抄底）。', '2. 投资周期长达1-3年、能完全忽略短期波动的长期配置型资金。', '证据摘要**', '1. **技术趋势恶化**：股价跌破50日及10日均线，MACD零轴下方加速走弱，RSI进入弱势区，呈现“放量跌、缩量涨”结构。', '2. **宏观风险主导**：美伊军事冲突升级引发全球避险情绪，直接压制半导体等风险资产。', '3. **基本面无法对冲短期风险**：公司处于盈利阵痛期，虽现金流充裕，但无法抵消技术破位与宏观情绪冲击。', '4. **报告一致倾向防御**：技术报告建议持仓者止损、潜在买入者观望；新闻报告建议短期避险为主；基本面报告虽建议长期逢低布局，但明确短期盈利未现拐点。']",backtest\output\0421-0119-1347HK\reports\2026-0303-1347HK\2_decision\summary.md
1347.HK,2026-03-04,sell,87.8,87.8 港元,（针对已有持仓者）利用股价向94.5-95.0港元区域（10日EMA/50日SMA阻力）的反弹进行减仓或止损。,94.5,95.0,,"['1. 价格放量突破并站稳98.0港元（短期阻力上沿），暗示下跌动能逆转。', '2. 日线级别出现强势底分型并伴随MACD底背离金叉，且收盘重回94.5港元上方。', '适合的场景**', '1. 持仓者执行风险控制、降低仓位。', '2. 短线交易者逢高做空（需严格止损）。', '3. 风险厌恶型投资者规避不确定性。', '不适合的场景**', '1. 试图左侧抄底或逆势加仓。', '2. 基于长期现金价值而忽略短期趋势破坏的短线交易。', '3. 期待政策预期立即扭转技术弱势。', '证据摘要**', '1. **技术趋势破坏**：价格连续跌破10日EMA（94.56）和50日SMA（94.46），MACD零轴下加速下行（-1.95），结构呈更低的高点和低点。', '2. **宏观风险主导**：美伊冲突升级推升避险情绪，压制科技股风险偏好。', '3. **基本面无支撑**：2025财年主业经营亏损（-1.73亿元），毛利率仅11.8%，依赖非经常性收益，缺乏短期盈利改善动力。', '4. **资金行为弱势**：放量下跌后反弹缩量，显示买盘乏力。']",backtest\output\0421-0119-1347HK\reports\2026-0304-1347HK\2_decision\summary.md
1347.HK,2026-03-05,sell,86.25,86.25港元,（基于已有持仓视角）利用向94-95港元（50日SMA阻力区）的反弹进行减仓；若价格直接跌破85港元支撑，应考虑止损撤离。,94.0,95.0,1.0,"['1. 价格放量收复并站稳50日SMA（约95港元）上方，且MACD出现金叉。', '2. 地缘风险出现明确缓和信号，同时股价重新构筑“低点抬高”结构。', '适合的场景**', '1. 持仓者需要降低风险敞口、执行止损纪律。', '2. 投资者认同中短期技术面主导，且以防御为首要目标。', '不适合的场景**', '1. 长期价值投资者愿意承受波动、忽视1-2周价格波动进行左侧布局。', '2. 试图在下跌趋势中抄底博弈反弹的短线交易。', '证据摘要**', '1. **技术恶化**：价格跌破所有短期均线，MACD负值扩大，RSI处于弱势区间，布林带下轨被跌破。', '2. **结构破坏**：日线形成明确的下行趋势（高点下移、低点下移），且下跌伴随活跃成交量。', '3. **宏观压制**：美伊冲突升级推升全球避险情绪，港股作为离岸市场敏感承压。', '4. **信息真空**：无公司层面利好对冲宏观与技术面风险，股价缺乏自身叙事支撑。', '5. **基本面无短期催化**：公司处于盈利低谷（毛利率仅11.8%），资本开支巨大，盈利拐点未现。']",backtest\output\0421-0119-1347HK\reports\2026-0305-1347HK\2_decision\summary.md
1347.HK,2026-03-06,sell,87.25,87.25 美元,（针对已有持仓）在价格反弹至95.25-96.75阻力区域时减仓；或设定止损于85.15下方，收盘跌破即离场。,95.25,96.75,95.25,"['1. 价格放量突破并连续两日收盘站上10日EMA（当前92.28）。', '2. MACD柱状线明显收敛并拐头向上，同时RSI重回50以上。', '适合的场景**', '1. 已持有仓位、需要控制回撤的投资者。', '2. 认为短期技术面主导、风险优先的交易者。', '不适合的场景**', '1. 无持仓且试图抄底的短线交易者。', '2. 仅基于长期趋势看多而忽略短期破位的投资者。', '证据摘要**', '1. **技术趋势破坏**：价格已跌破50日SMA（95.25）并持续运行于10日EMA（92.28）下方，均线呈空头排列。', '2. **动量恶化**：MACD已下穿零轴至-2.76且负值扩大，RSI处于38.91弱势区间。', '3. **结构转弱**：自105.5高点回调超16%，放量跌破前期密集区，近期缩量阴跌显示买盘乏力。', '4. **基本面无支撑**：公司处于亏损周期，缺乏近期正面催化；宏观暖风无法针对性抵消个股技术面卖压。', '5. **风险收益比差**：短期支撑85.15若跌破下行空间较大，而向上阻力密集（95.25-96.75），反弹空间受限。']",backtest\output\0421-0119-1347HK\reports\2026-0306-1347HK\2_decision\summary.md
1347.HK,2026-03-09,sell,88.0,88.0美元,（基于已有持仓视角）利用任何向短期均线（如91.37美元附近）的反弹进行减仓。若仓位较重或成本高于95.65美元，应考虑优先降低风险敞口。,,,95.65,"['1.  价格放量强势收复并站稳50日SMA（约95.65美元）之上，表明中期下跌趋势被逆转。', '2.  地缘局势出现明确、快速的降温信号，且油价显著回落，带动市场风险偏好全面修复。', '适合的场景**', '- 持仓者进行风险控制，降低仓位。', '- 短线交易者顺势寻找反弹遇阻的做空机会（需严控仓位与止损）。', '不适合的场景**', '- 无持仓者试图在当前价位抄底或左侧布局。', '- 期待短期出现V型反转的波段交易。', '证据摘要**', '1.  **技术趋势破坏**：价格跌破10日EMA（91.37美元）与50日SMA（95.65美元），均线呈空头排列，MACD负值加速扩大。', '2.  **结构弱势**：下跌放量、反弹缩量，呈现下跌中继特征。关键支撑84.66-85.15美元正面临考验。', '3.  **宏观主导**：地缘冲突与油价暴涨构成强烈的外部风险冲击，公司无正面信息对冲。', '4.  **基本面无法对冲短期风险**：尽管公司财务稳健、现金充裕，但处于盈利周期底部，短期无法提供上涨催化，难以抵御技术破位与宏观抛压。']",backtest\output\0421-0119-1347HK\reports\2026-0309-1347HK\2_decision\summary.md
1347.HK,2026-03-10,hold,87.3,87.30 美元,当前不急于参与。若未来转为趋势延续，需等待：,,,80.4,"['（当前无持仓，不适用具体失效条件；若未来入场，失效条件为：收盘价跌破80.4美元。）', '适合的场景**', '1. 长线投资者等待更明确的行业触底信号后再分批布局。', '2. 短线交易者仅轻仓捕捉84.0-85.0支撑区域的反弹机会，并严格止损。', '不适合的场景**', '1. 期望短期追涨获取趋势性收益。', '2. 无法接受价格可能继续下探80.4支撑的波动。', '证据摘要**', '1. 技术面：价格低于所有短期均线，MACD负值扩大，但接近布林带下轨支撑；反弹量能不足，结构呈“放量下跌、缩量反弹”。', '2. 新闻面：公司新闻真空，宏观面多空交织（国内政策平稳 vs 地缘风险），缺乏直接催化剂。', '3. 基本面：现金流强劲、现金储备充裕，但主营业务经营亏损，行业周期下行压力仍存。', '4. 状态判断依据：既无法给出明确的回调买入方案（因下跌动能未衰竭、企稳信号未现），也未达到必须减仓的风险主导条件（长期趋势未破、现金安全垫厚）。未来1-2周需观察价格在84.0-85.0区域的表现以确认方向。']",backtest\output\0421-0119-1347HK\reports\2026-0310-1347HK\2_decision\summary.md
1347.HK,2026-03-11,hold,90.65,90.65 港元,当前不急于参与。若未来转为“趋势延续”，需满足：价格在86.25-87.80港元区间出现缩量止跌或放量反弹，且日线收盘重新站上10日EMA并维持。,86.25,87.8,1.0,"['（此状态无买入失效条件，但状态切换条件如下）', '- 若价格放量突破96.45-97.60港元阻力区，则可能切换至“趋势延续”。', '- 若价格收盘有效跌破86.25港元支撑，则可能切换至“风险主导”。', '适合的场景**', '1. 投资者能接受未来1-2周方向不明，愿意等待更明确的信号。', '2. 策略上以规避宏观不确定性为首要目标。', '3. 作为现有持仓者，暂不急于加仓或减仓，等待价格在关键位做出方向选择。', '不适合的场景**', '1. 寻求短期趋势跟随或突破交易的投资者。', '2. 期望立即基于“长期趋势未坏”或“现金充裕”进行左侧抄底。', '3. 无法容忍价格在86-97港元区间持续震荡。', '证据摘要**', '1. **技术面**：价格低于10日EMA（91.33港元）及50日SMA（96.46港元），短期结构空头；但86.25-87.80港元支撑区多次测试未破，RSI自超卖区反弹至45.43，下跌动能略有减缓。', '2. **宏观面**：美伊冲突升级主导市场情绪，引发避险交易，压制科技股风险偏好。', '3. **基本面**：公司现金充裕（343.98亿港元）、经营现金流强劲（456.87亿港元），但短期盈利亏损，处于产能扩张阵痛期。', '4. **综合判断**：技术面未给出企稳证据，宏观风险抑制买入动力，基本面亦无即时催化，故无法形成可执行的买入或卖出计划。']",backtest\output\0421-0119-1347HK\reports\2026-0311-1347HK\2_decision\summary.md
1347.HK,2026-03-12,hold,91.75,91.75 美元,当前不急于参与。若未来转为“趋势延续”，潜在入场条件需观察：,,,87.8,"['（当前状态无入场计划，失效条件针对未来可能的买入计划）', '若未来出现买入机会，失效条件为：价格放量跌破87.8美元支撑或80.4美元前低。', '适合的场景**', '1. 投资者能接受未来1-2周方向不明确，等待更清晰信号。', '2. 策略上优先规避宏观事件不确定性，不急于左侧布局。', '不适合的场景**', '1. 寻求短期趋势明确、立即执行的交易机会。', '2. 认为地缘风险已完全定价，急于抄底。', '证据摘要**', '1. 技术面：价格自支撑区反弹，RSI修复至中性，但受制于50日SMA（96.93）且MACD仍处零轴下方，中期结构未扭转。', '2. 新闻面：美伊以冲突升级主导市场情绪，公司层面无新信息对冲宏观风险。', '3. 基本面：公司现金流充裕（经营现金流45.69亿元）、现金储备雄厚（343.98亿元），但处于行业周期底部，盈利承压（毛利率11.8%），缺乏短期盈利催化剂。', '4. 综合状态：缺乏明确的趋势延续或风险主导证据，需等待价格对关键阻力/支撑的确认。']",backtest\output\0421-0119-1347HK\reports\2026-0312-1347HK\2_decision\summary.md
1347.HK,2026-03-13,hold,95.0,95.0 港元,当前不急于参与。若未来转为“趋势延续”，需满足以下条件之一：,,,87.0,"['（当前状态无入场计划，此为未来若转多后的风控参考）', '1. 股价日收盘价跌破87.0港元支撑位。', '2. 突破99.0-100.0港元后未能站稳，再次跌回该区域下方。', '适合的场景**', '1. 能紧密跟踪地缘政治进展与技术面关键价位反应的短线交易者。', '2. 已有持仓、能承受较高波动、并将87.0港元设为止损参考的投资者。', '3. 等待更明确的基本面或技术面拐点信号再行动的中长线投资者。', '不适合的场景**', '1. 寻求短期明确趋势方向并立即执行的趋势交易者。', '2. 无法承受宏观事件引发突然大幅波动的风险厌恶型投资者。', '3. 希望仅凭单一维度（如长期趋势未坏）就进行左侧抄底的投资者。', '证据摘要**', '1. **技术面**：价格介于关键支撑（87.0-88.0港元）与阻力（99.0-100.0港元）之间，中期趋势已破（跌破50日均线），但长期趋势完好（远高于200日均线）。MACD处于零下负值，RSI弱势震荡，显示动量未转多。', '2. **宏观面**：美伊军事冲突升级导致全球风险偏好骤降，油价飙升，港股面临系统性压力，且公司无特定利好对冲。', '3. **基本面**：公司处于扩张阵痛期，盈利承压但现金流强劲，缺乏未来1-2周内的明确改善催化剂。', '4. **综合**：三者均未提供足够证据支持“趋势延续”或“风险主导”，方向确认需等待技术关键位突破或宏观风险缓和。']",backtest\output\0421-0119-1347HK\reports\2026-0313-1347HK\2_decision\summary.md
