sequence,ticker,trade_date,team_id,llm_model,selected_analysts,trace_dir,source_report_dir,report_dir,decision_path,llm_calls,tool_calls,tokens_in,tokens_out,executive_summary
1,AAOI,2026-03-02,lite,deepseek-chat,"market,news,fundamentals",,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round13\reports\AAOI\0422-2358-AAOI\reports\2026-0302-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0302-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0302-AAOI\2_decision\summary.md,,0,,,"分析日期：2026-03-02
截面日期：2026-03-02
截面价格：84.23美元
样本分型：公司催化趋势型
主导驱动：公司催化主导
趋势完整性：完整
风险状态：风险与机会拉锯
趋势判断：趋势延续
建议行动：择机买入
1-2周核心判断：未来1-2周，股价在经历极端跳空上涨后，面临极高的技术性回调风险，短期可能向关键支撑区（如10日EMA约65美元或前期平台53-56美元）进行修正。然而，驱动本轮上涨的公司基本面催化（Q4业绩超预期、Q1强劲指引、800G产能规划）已根本性扭转预期，长期上涨趋势明确建立。因此，未来1-2周的核心矛盾是“强劲趋势中的健康回调”而非趋势反转，方向仍偏多，但参与方式必须是等待回调，严禁追高。
执行摘要：公司催化驱动股价出现巨量跳空，确立长期牛市趋势，但短期技术指标极度超买，波动率飙升。未来1-2周更可能先进行技术性回调以消化涨幅，为未持仓者提供更好的风险回报比参与机会。核心策略是等待回调至关键支撑区企稳后分批买入，而非在当前价位追涨。
关键催化因素：1. Q4财报业绩超预期及Q1强劲营收指引，验证基本面拐点；2. 多家投行大幅上调目标价，提供情绪与估值支撑；3. 800G光模块产能扩张计划，明确中期增长叙事。
关键风险：1. 短期技术性回调风险极高（RSI>84，价格远偏离均线）；2. 宏观地缘政治风险（美伊局势）压制科技股整体风险偏好；3. 公司仍处于持续亏损和经营现金流为负的状态，增长可持续性需后续财报验证。
入场方式：等待价格回调至关键支撑区域企稳后分批参与。重点关注两个区域：1. 回调至10日EMA（约65.50美元）附近并出现缩量企稳信号；2. 更深回调至跳空缺口上沿及前期平台区域（53.00-56.27美元）并出现止跌迹象。
失效条件：1. 价格跌破并持续运行于50日SMA（当前约42.82美元，动态上移）下方；2. 回补缺口后无力反弹，且成交量放大下跌，表明上涨动能衰竭。
适合的场景：适合高风险偏好的趋势交易者，能够接受高波动并执行严格止损，愿意等待回调机会布局，博弈公司增长叙事在中期继续演绎。
不适合的场景：不适合低风险承受能力、追求稳定盈利或股息收入的投资者；不适合无法忍受短期大幅回撤或希望立即追涨的交易者。
证据摘要：1. 技术面：长期、中期、短期均线呈多头排列，趋势完整，但RSI>84、价格突破布林带上轨，显示极端超买，存在强烈技术性回拉需求。2. 新闻面：公司层面催化剂强劲且具根本性，主导了近期价格行为；宏观地缘风险构成逆风但未改变公司特异性驱动逻辑。3. 基本面：营收出现爆发式增长拐点（同比+82.7%），毛利率改善，但公司仍未盈利且经营现金流为负，属于高增长高投入阶段。综合判断，上涨逻辑未破坏，但短期需通过回调消化超买。"
2,AAOI,2026-03-03,lite,deepseek-chat,"market,news,fundamentals",,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round13\reports\AAOI\0422-2358-AAOI\reports\2026-0303-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0303-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0303-AAOI\2_decision\summary.md,,0,,,"分析日期：2026-03-03
截面日期：2026-03-02
截面价格：102.51美元
样本分型：公司催化趋势型
主导驱动：公司催化主导
趋势完整性：完整
风险状态：风险与机会拉锯
趋势判断：趋势延续
建议行动：择机买入
1-2周核心判断：未来1-2周，由强劲财报和指引驱动的上涨趋势逻辑依然完整，但短期因极端超买和宏观扰动存在剧烈震荡和深度回调的高概率。核心方向仍偏多，但参与方式必须是等待回调，而非追高。
执行摘要：趋势强劲但短期过热，避免追涨。未来1-2周更可能先进行技术性回调消化获利盘，为后续的上涨夯实基础。策略上应耐心等待关键支撑区域出现的企稳信号。
关键催化因素：1. Q4财报及超预期的Q1营收指引；2. 明确的800G光模块产能扩张计划；3. 多家分析师大幅上调目标价。
关键风险：1. 技术面RSI严重超买，波动率暴增，存在强烈回调压力；2. 基本面经营现金流为负，依赖融资，盈利路径不明；3. 宏观地缘政治风险压制科技股风险偏好。
入场方式：等待价格回调至56.27-70.88美元区间（前期平台与10日EMA区域）企稳后分批参与。
失效条件：价格放量跌破44.18美元（50日SMA）并无法快速收回。
适合的场景：高风险偏好投资者，能接受高波动并执行严格止损，博弈趋势中继整理后的延续。
不适合的场景：追求稳定现金流的价值投资者；无法承受短期大幅回撤；希望立即建仓并持有。
证据摘要：技术面均线呈完美多头排列，趋势强劲，但RSI超买、波动率扩张显示短期过热。基本面收入同比大增83%，核心催化刚落地且未证伪，但现金流状况严峻。新闻面显示公司催化是主导力量，宏观风险增加波动但未改变核心叙事。报告核心建议是“避免追高，等待回调参与”，符合“趋势延续但需择机”的判断。"
3,AAOI,2026-03-04,lite,deepseek-chat,"market,news,fundamentals",,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round13\reports\AAOI\0422-2358-AAOI\reports\2026-0304-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0304-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0304-AAOI\2_decision\summary.md,,0,,,"分析日期：2026-03-04
截面日期：2026-03-03
截面价格：95.34美元
样本分型：催化后高波动整理型
主导驱动：催化消化主导
趋势完整性：边际走弱
风险状态：风险与机会拉锯
趋势判断：震荡等待确认
建议行动：保持观望
1-2周核心判断：未来1-2周，股价在经历财报催化驱动的极端上涨后，进入高波动消化阶段。技术面呈现严重超买、顶背离及高位放量回调迹象，短期回调压力巨大。尽管长期趋势和基本面增长叙事未坏，但公司特异性催化已初步定价，且宏观风险构成扰动。多空因素拉锯，方向性不足，最合理的状态是等待价格向关键支撑区域回调企稳或出现新的催化确认。
执行摘要：技术面显示趋势强劲但短期严重超买并出现顶背离，价格已自高点回落。基本面因强劲财报完成价值重估，但股价已大幅反应。未来1-2周更可能在高位进行震荡整理以消化涨幅，而非延续单边上涨。当前价位不适合新建多头头寸，建议观望等待更好风险收益比的位置。
关键催化因素：1. 2025年Q4财报营收同比大增82.7%且毛利率提升，Q1指引乐观；2. 多家分析师大幅上调目标价；3. 明确的800G光模块产能扩张计划（至2026年底超50万只/月）。
关键风险：1. 技术面严重超买、顶背离及高位放量回调的短期修正风险；2. 经营现金流为负、存货与应收账款高企的基本面质量风险；3. 美伊地缘政治紧张局势引发的宏观系统性风险及成长股风险偏好压制。
入场方式：当前不急于参与。若未来价格能健康回调至关键支撑区域（如76.1美元附近或56.3-58.1美元区域）并出现企稳信号（如成交量萎缩、RSI脱离超买区后拐头），可考虑分批介入。或等待放量突破近期阻力102.5-110.0美元区域确认升势重启。
失效条件：1. 价格放量跌破2月27日跳空缺口下沿65.57美元并无法快速收回；2. 50日均线（当前45.59美元）被有效跌破且无法修复。这两种情况可能意味着本轮主升浪趋势破坏。
适合的场景：适合能承受高波动、擅长波段交易、愿意等待深度回调后低风险入场机会的投资者；或已持仓者进行仓位管理（如部分止盈、上移止损）的场景。
不适合的场景：不适合风险厌恶型、追求稳定现金流或短期追涨交易的投资者；也不适合在当前位置新建重仓多头头寸。
证据摘要：1. 技术面：所有均线多头排列但价格严重偏离，RSI顶背离且处于超买区，高位放量回调，ATR飙升显示高波动。2. 基本面：Q4营收爆发式增长证实拐点，但经营现金流为负，费用高企，增长质量存疑。3. 新闻面：财报催化已初步定价，分析师目标价上调情绪已反映，宏观地缘风险构成潜在压制。综合判断，短期多空拉锯，方向需等待进一步确认。"
4,AAOI,2026-03-05,lite,deepseek-chat,"market,news,fundamentals",,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round13\reports\AAOI\0422-2358-AAOI\reports\2026-0305-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0305-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0305-AAOI\2_decision\summary.md,,0,,,"分析日期：2026-03-05
截面日期：2026-03-04
截面价格：99.71美元
样本分型：公司催化趋势型
主导驱动：公司催化主导
趋势完整性：完整
风险状态：风险与机会拉锯
趋势判断：趋势延续
建议行动：择机买入
1-2周核心判断：未来1-2周，尽管短期回调风险极高，但驱动本轮上涨的核心公司催化（超预期财报、强劲指引、明确产能扩张）并未被证伪，技术趋势结构（均线多头排列、突破形态）依然完整。价格更可能在高位进行震荡整固以消化极端超买，而非趋势反转。核心建议是避免追高，等待回调至关键支撑区域企稳后参与。
执行摘要：公司特异性催化（财报与指引）驱动了趋势确立，技术结构完整但短期严重超买。未来1-2周以高位震荡消化涨幅为主，方向仍偏多，但需等待更好的风险收益比位置。
关键催化因素：1. Q4营收超预期及强劲Q1指引证实业务拐点；2. 明确的800G光模块产能扩张路线图（至2026年底超50万只/月）；3. 分析师大幅上调目标价强化共识。
关键风险：1. 技术指标极端超买（RSI>78），短期回调压力巨大；2. 高波动率（ATR近9美元）放大持仓风险；3. 高位巨量震荡显示获利了结压力；4. 公司仍处于战略亏损期，经营现金流为负。
入场方式：等待价格回调至80.67美元（10日EMA）至92.22美元（近期平台下沿）区间，出现企稳信号（如缩量、下影线、指标修复）后分批参与。
失效条件：日线收盘价有效跌破65.57美元（突破启动点），则意味着本轮上涨趋势可能被破坏，多头逻辑失效。
适合的场景：能够承受高波动、接受“以亏损换增长”逻辑的成长型投资者；擅长利用关键支撑进行波段交易的交易者。
不适合的场景：低风险承受能力、追求稳定盈利的保守型投资者；无法严格执行止损纪律的交易者。
证据摘要：1. 公司催化：财报与指引超预期，产能规划明确，是趋势启动的核心驱动力。2. 技术结构：均线呈多头排列，放量突破历史高点，趋势结构完整。3. 风险信号：RSI持续超买，价格偏离均线幅度大，高位放量滞涨，短期风险与机会拉锯。4. 报告核心建议：禁止追高，但明确给出了回踩关键支撑后的参与区间和条件，整体叙事仍是“趋势延续，等待更好位置参与”。"
5,AAOI,2026-03-06,lite,deepseek-chat,"market,news,fundamentals",,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round13\reports\AAOI\0422-2358-AAOI\reports\2026-0306-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0306-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0306-AAOI\2_decision\summary.md,,0,,,"分析日期：2026-03-06
截面日期：2026-03-05
截面价格：101.14美元
样本分型：公司催化趋势型
主导驱动：公司催化主导
趋势完整性：完整
风险状态：风险与机会拉锯
趋势判断：趋势延续
建议行动：择机买入
1-2周核心判断：未来1-2周方向仍偏多。公司特异性催化（强劲财报与指引）已根本性扭转基本面预期，技术面上升结构完整，关键支撑明确。尽管宏观风险与短期高波动导致股价进入高位震荡，但核心上涨逻辑未破坏，震荡更倾向于趋势中的整固与消化，而非反转。策略上应等待回调至关键支撑区域再寻求参与机会。
执行摘要：技术面呈现强劲多头格局，但短期涨幅过大、波动率高，叠加宏观地缘风险，导致股价在90-102美元高位震荡。核心催化（财报与产能规划）已落地且未被证伪，趋势完整性保持。建议利用宏观担忧带来的波动，在关键支撑位附近分批低吸，而非追高。
关键催化因素：1. Q4财报营收超预期及强劲的Q1指引，触发价值重估。2. 明确的800G光模块产能扩张路线图，绑定AI数据中心投资主题。3. 分析师大幅上调目标价至125美元，强化市场共识。
关键风险：1. 宏观层面美伊地缘政治紧张局势升级，压制整体风险偏好，可能引发无差别抛售。2. 股价短期涨幅极端，波动率（ATR）急剧扩张，存在技术性回调压力。3. 公司基本面仍处于“烧钱换增长”阶段，经营现金流为负，盈利路径依赖后续执行。
入场方式：等待价格回调至关键支撑区域分批参与。优先关注92.00-93.80美元（近期震荡区间下沿）的企稳机会；其次关注83.00-85.00美元（10日EMA与突破缺口）区域的更深回调机会。
失效条件：日线收盘价有效跌破83.00美元（跌破10日EMA及巨量阳线起点），则短期强势结构破坏，上涨趋势可能中断，需重新评估。
适合的场景：相信公司基本面拐点与AI数据中心主题，能承受高波动、愿意等待回调布局的积极型交易者。
不适合的场景：追求稳定盈利与现金流的价值投资者；无法忍受短期大幅回撤或无法严格执行止损的风险厌恶者。
证据摘要：1. 催化层面：Q4财报及指引构成根本性利好，产能扩张计划提供中期可见度。2. 技术层面：所有关键均线呈多头排列，价格守在近期震荡区间下沿（92美元）及短期动态支撑（10日EMA）之上，MACD动量强劲。3. 风险层面：宏观逆风与极端涨幅导致高波动，但未破坏公司主导的上涨叙事，报告核心建议为“回调参与”而非“离场观望”。"
6,AAOI,2026-03-09,lite,deepseek-chat,"market,news,fundamentals",,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round13\reports\AAOI\0422-2358-AAOI\reports\2026-0309-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0309-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0309-AAOI\2_decision\summary.md,,0,,,"分析日期：2026-03-09
截面日期：2026-03-06
截面价格：95.58美元
样本分型：公司催化趋势型
主导驱动：公司催化主导
趋势完整性：边际走弱
风险状态：风险与机会拉锯
趋势判断：震荡等待确认
建议行动：保持观望
1-2周核心判断：未来1-2周，股价更可能进入高位剧烈震荡，以消化极端超买的技术指标和巨大的短期涨幅。尽管公司特异性催化（1.6T大额订单）从根本上改变了增长叙事，但价格在短期内对此反应已过度，技术面出现量价背离、冲高回落等衰竭信号，且波动率极高。多空因素（强劲基本面 vs. 极高技术性回调风险）在短期内相互抵消，方向性不足。
执行摘要：基于重大订单催化落地后股价已出现极端上涨，技术指标严重超买且出现滞涨信号，未来1-2周最合理的策略是等待市场消化涨幅和波动率收敛，不急于在当前位置新建仓位。
关键催化因素：获得首个主要超大规模客户1.6T光模块批量订单（金额超2亿美元），证实其AI数据中心领域商业化能力；2026年底月产能目标超50万单位，提供明确增长路径；分析师上调目标价至140美元。
关键风险：技术面严重超买（RSI>77），波动率（ATR）急剧扩张，出现高位放量滞涨和长阴线；经营现金流为巨额负值，盈利路径尚不清晰；估值已大幅提升，短期获利了结压力大。
入场方式：当前不建立新仓位。若未来价格能回调至80-85美元支撑区域并伴随波动率下降和企稳信号，可考虑首次试探性介入。或等待价格放量突破114.63美元前高确认趋势重启。
失效条件：若股价放量跌破80美元关键支撑区并无法快速收回，则意味着短期调整加深，看涨逻辑需重新评估。若股价无视超买继续强势突破前高，则观望策略失效，需重新评估趋势强度。
适合的场景：适合高风险偏好交易者等待深度回调后的布局机会；适合已持仓者进行利润保护和仓位管理。
不适合的场景：不适合风险厌恶型投资者；不适合在当前位置追高建仓；不适合寻求稳定现金流和盈利的投资者。
证据摘要：新闻面确认公司获得根本性订单催化，主导近期走势。技术面显示价格短期暴涨后严重偏离均线，动量指标极度超买，且出现冲高回落和量价背离的衰竭信号，波动率升至高位。基本面营收增长强劲但盈利和现金流仍为负，增长质量有待验证。多空因素在短期形成拉锯。"
7,AAOI,2026-03-10,lite,deepseek-chat,"market,news,fundamentals",,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round13\reports\AAOI\0422-2358-AAOI\reports\2026-0310-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0310-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0310-AAOI\2_decision\summary.md,,0,,,"分析日期：2026-03-10
截面日期：2026-03-09
截面价格：110.62美元
样本分型：公司催化趋势型
主导驱动：公司催化主导
趋势完整性：完整
风险状态：风险与机会拉锯
趋势判断：趋势延续
建议行动：择机买入
1-2周核心判断：未来1-2周方向仍偏多。公司获得重大1.6T订单的核心催化已落地，彻底改变了增长预期和基本面叙事，驱动股价进入强势趋势。尽管短期技术指标极端超买、波动巨大，存在获利回吐和宏观情绪引发的回调压力，但上涨逻辑未破坏，关键支撑明确。报告核心建议是“严禁追高，等待回调至支撑区参与”，这属于趋势中的健康整固和再参与准备，而非方向反转或证据不足。
执行摘要：公司特异性重大订单催化驱动股价进入极端强势上升趋势，技术结构完整但短期超买与波动风险极高。未来1-2周更可能呈现高位震荡消化涨幅，为后续上涨蓄力。核心策略是避免追高，耐心等待深度回调至关键支撑区间再行布局。
关键催化因素：1. 获得主要超大规模客户首个体积1.6T光模块订单（价值超2亿美元），验证技术领先性并切入AI基础设施核心供应链。2. 分析师随即上调目标价至140美元，强化市场信心。3. 公司公布激进产能规划，支持长期增长叙事。
关键风险：1. 短期技术性风险：RSI极端超买、价格远离均线、ATR高企，存在剧烈回调压力。2. 执行风险：订单交付与产能爬坡存在不确定性。3. 宏观情绪冲击：地缘政治紧张局势可能引发科技股无差别抛售。
入场方式：等待价格回调至84.00-95.00美元支撑区间（重点关注84.23美元突破位及10日EMA动态支撑），出现缩量企稳信号时分批买入。
失效条件：日线收盘价有效跌破84.00美元关键支撑位（2月27日突破收盘价），且伴随MACD高位死叉，则上涨趋势可能阶段性破坏，需止损。
适合的场景：高风险偏好成长型投资者；能承受高波动，并相信公司催化带来的基本面拐点与趋势延续；接受“回调买入”而非“追高”策略。
不适合的场景：低风险承受能力、追求稳定盈利或分红的投资者；无法接受短期可能大幅回撤；希望精确抄底或进行短线追涨交易。
证据摘要：1. 基本面：获得改变游戏规则的重大订单，营收同比暴增82.7%，增长叙事强劲。2. 技术面：所有周期均线多头排列，巨量突破确认趋势，价格守在关键支撑（10日EMA、84-95区间）之上。3. 情绪与风险：短期超买和波动率极高构成拉锯，但报告核心建议是“回调后参与”，而非转向防守或离场。"
8,AAOI,2026-03-11,lite,deepseek-chat,"market,news,fundamentals",,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round13\reports\AAOI\0422-2358-AAOI\reports\2026-0311-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0311-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0311-AAOI\2_decision\summary.md,,0,,,"分析日期：2026-03-11
截面日期：2026-03-10
截面价格：120.49美元
样本分型：公司催化趋势型
主导驱动：公司催化主导
趋势完整性：完整
风险状态：风险与机会拉锯
趋势判断：趋势延续
建议行动：择机买入
1-2周核心判断：未来1-2周，股价在经历极端上涨后，大概率进入高波动整理以消化超买状态，但核心上涨逻辑（重大订单落地、基本面预期根本性改善）未被破坏。方向仍偏多，但参与方式绝非追高，而是等待回调至关键支撑区域后的再参与机会。
执行摘要：技术面显示极端超买与强劲趋势并存，短期回调风险高，但趋势结构完整。基本面因获得超过2亿美元的1.6T光模块批量订单而发生质变，主导了近期定价。综合判断，未来1-2周更可能呈现“强势整理”，为后续上涨蓄力，而非趋势反转。操作上应避免追高，耐心等待回调买入机会。
关键催化因素：1. 获得首个主要超大规模客户1.6T光模块批量订单（价值超2亿美元），证实技术领先与商业化能力。2. Rosenblatt据此将目标价上调至140美元。3. AI基础设施“高速公路”建设成为市场焦点叙事，公司处于受益核心。
关键风险：1. 技术面RSI持续80以上极端超买，价格严重偏离均线，短期回调压力极大。2. 基本面仍处于“增收不增利”阶段，经营现金流为负，高度依赖融资。3. 订单执行与产能爬坡存在不确定性。4. 宏观地缘政治波动可能加剧市场整体波动。
入场方式：等待价格回调至95.00-105.00美元支撑区域（汇集前期密集成交区、10日EMA及关键心理关口），出现缩量企稳或指标（如RSI回落至60附近）修复信号后分批轻仓介入。
失效条件：价格放量跌破95.00美元关键支撑区，且随后3个交易日内无法收回，同时10日EMA拐头向下。
适合的场景：高风险偏好的趋势交易者，能够接受高波动并严格执行止损；相信公司基本面叙事已发生根本性转变，并愿意等待更好风险收益比位置的投资者。
不适合的场景：厌恶高波动、追求稳定现金流的价值投资者；无法忍受短期大幅回撤的短线交易者；试图在当前价位追涨的投机者。
证据摘要：1. 基本面：核心催化剂（重大订单）刚落地，直接改变未来营收增长预期，主导驱动明确。2. 技术面：所有均线呈多头排列，趋势结构完整，但短期指标极端超买，需整理消化。3. 市场叙事：已从单纯情绪驱动转向“公司催化验证”阶段，但短期涨幅过大导致风险与机会拉锯。"
9,AAOI,2026-03-12,lite,deepseek-chat,"market,news,fundamentals",,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round13\reports\AAOI\0422-2358-AAOI\reports\2026-0312-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0312-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0312-AAOI\2_decision\summary.md,,0,,,"分析日期：2026-03-12
截面日期：2026-03-11
截面价格：127.01美元
样本分型：公司催化趋势型
主导驱动：公司催化主导
趋势完整性：完整
风险状态：风险未主导
趋势判断：趋势延续
建议行动：择机买入
1-2周核心判断：未来1-2周方向仍偏多，核心上涨逻辑（1.6T订单驱动的增长叙事）未破坏。当前价格处于利好兑现后的高位消化阶段，技术面存在强烈回调需求，但整体趋势结构完整。最可能的路径是高位震荡或回调至关键支撑，为更好的多头参与位置创造条件，而非趋势反转。
执行摘要：公司获得重大1.6T订单，基本面发生根本性转折。技术面所有趋势强劲向上，但短期严重超买，波动率极高。未来1-2周更可能进行趋势内的健康回调或高位整理，为在更优风险回报比位置介入提供机会。核心策略是等待回调参与，而非追高或转向防守。
关键催化因素：1. 获得首笔主要客户1.6T光模块批量订单（价值超2亿美元），验证技术实力并锁定中期收入。2. 营收同比爆发式增长（82.7%）与毛利率提升，证实增长叙事。3. AI基础设施投资向光通信传导的行业趋势。
关键风险：1. 短期技术性回调风险：价格严重偏离均线，MACD走平，RSI自超买区回落，存在强烈技术性回调至110-112美元或更低支撑的需求。2. ATM增发计划：上调至5亿美元容量带来潜在股权稀释担忧，可能抑制短期上涨空间。3. 宏观波动：美伊局势等地缘政治因素可能引发市场整体风险偏好波动。
入场方式：等待价格回调至关键支撑区域分批布局。第一档：110-112美元区间（近期突破位）企稳后轻仓参与。第二档：95-99美元区间（强支撑与缺口区域）企稳后重点布局。
失效条件：价格收盘于95美元（强支撑区下沿）以下，且10日EMA（当前101.25美元）被有效跌破并拐头向下，这可能意味着本轮趋势性上涨结束。
适合的场景：相信公司增长叙事、能承受高波动、并愿意耐心等待回调机会的波段交易者；现有持仓者进行部分获利了结后等待回调加仓。
不适合的场景：无法承受剧烈价格波动和潜在大幅回撤的投资者；追求立即上涨、厌恶等待的短线交易者；因短期超买而试图逆势做空的交易。
证据摘要：1. 基本面：核心催化（1.6T批量订单）已落地，显著改变增长预期和定价逻辑，主导驱动明确。2. 技术面：所有周期均线多头排列，趋势完整，量价齐升结构清晰，关键支撑（110-112美元，10日EMA）明确。3. 风险状态：短期超买和波动是趋势内的风险，报告核心建议是“回调参与”而非“转向防守”，风险未主导未来1-2周方向。"
10,AAOI,2026-03-13,lite,deepseek-chat,"market,news,fundamentals",,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round13\reports\AAOI\0422-2358-AAOI\reports\2026-0313-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0313-AAOI,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round23\reports\AAOI\0423-1151-AAOI\reports\2026-0313-AAOI\2_decision\summary.md,,0,,,"分析日期：2026-03-13
截面日期：2026-03-12
截面价格：106.19美元
样本分型：公司催化趋势型
主导驱动：多因素混合主导
趋势完整性：边际走弱
风险状态：风险与机会拉锯
趋势判断：趋势延续
建议行动：择机买入
1-2周核心判断：未来1-2周，股价在消化短期暴涨和ATM融资利空后，更可能进入高位震荡整理，但核心上涨逻辑（1.6T订单驱动的增长拐点）未破坏。方向仍偏多，但参与方式必须是等待回调至关键支撑区域，而非追高。
执行摘要：技术面长中期趋势强劲但短期超买回调，基本面因重大订单改善但伴随融资稀释风险。多空因素拉锯导致高波动，但核心叙事未转向。策略为防守反击，等待更好价格参与趋势。
关键催化因素：获得首个超大规模客户超2亿美元1.6T光模块订单，验证技术领先性与增长能见度；行业AI资本开支向光网络传导的贝塔。
关键风险：短期涨幅过大引发的技术性回调需求；公司宣布扩大至5亿美元的ATM股权融资计划带来的稀释压力与情绪压制；经营现金流持续为负，盈利尚未兑现。
入场方式：耐心等待价格回调至80.00-95.00美元关键支撑区间（涵盖50日均线上方、前期缺口及密集成交区），出现企稳信号（如缩量、小K线）后分批参与。
失效条件：价格收盘价有效跌破50日移动平均线（当前约55.51美元，动态上行）并无法快速收回，表明中期上升趋势可能破坏。
适合的场景：能承受高波动、愿意为基本面拐点下注的成长型交易者；采用分批建仓、严格止损的纪律性投资者。
不适合的场景：厌恶高波动和亏损公司的价值投资者；希望短期追涨获取快收益的交易者；无法接受价格可能先深度回调再上涨的投资者。
证据摘要：1）基本面：1.6T大订单构成增长范式转变，收入与毛利率双升。2）技术面：长中期均线多头排列，趋势完整，但短期自极端超买区回落，需整固。3）风险：ATM融资与负现金流构成短期压制与长期不确定性。4）报告核心建议：避免追高，明确建议回调至80-95美元区域参与。"
