ticker,trade_date,action,reference_price,reference_price_text,entry_style,entry_zone_low,entry_zone_high,invalidation_price,invalidation_texts,report_path
AAOI,2026-03-02,sell,84.23,84.23美元,（基于持仓视角）,,,53.0,"['1. 价格放量突破并站稳84.31美元前高，且RSI回落至70以下健康区间。', '2. 宏观风险快速消退，市场风险偏好显著回升，同时AAOI在65美元附近缩量企稳。', '适合的场景**', '- 持仓者进行获利了结或风险控制。', '- 短线交易者捕捉回调波段（但需严格止损）。', '- 能承受高波动的激进投资者等待更深回调后的中期布局机会。', '不适合的场景**', '- 未持仓者在此价位新建多头仓位。', '- 追求稳定盈利、低风险偏好的投资者。', '- 期望短期继续追涨获利的交易。', '证据摘要**', '1. 技术报告明确警示“极端超买”“严禁追涨”，建议持仓者“获利了结”，潜在买点需等待回调至53-65美元区间。', '2. 新闻报告指出股价已对利好剧烈反应，处于“公司强、宏观弱”的博弈节点，建议“等待回调”。', '3. 基本面报告显示公司经营现金流为负、持续亏损，投资建议为“持有（仅限激进成长投资者）/卖出（对其他投资者）”。', '4. 三份报告共同指向短期风险已占优，操作上应以防守和锁定利润为先。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round05\reports\AAOI\0421-2236-AAOI\reports\2026-0302-AAOI\2_decision\summary.md
AAOI,2026-03-03,hold,102.51,102.51美元,当前不急于参与。未来转多需满足：价格回调至56-70美元区间并出现企稳信号（例如，在该区间内缩量整理、RSI回落至50-60后重新拐头向上、或日线收复10日均线）。,56.0,70.0,44.0,"['1. 价格放量跌破44美元（50日均线）并无法快速收回。', '2. 下一季度财报收入增长失速或现金流恶化加剧。', '适合的场景**', '1. 高风险偏好交易者，擅长等待关键支撑区域企稳后博弈反弹。', '2. 能承受高波动、并严格执行止损的短线交易者。', '不适合的场景**', '1. 厌恶极高波动性和追高风险的投资者。', '2. 寻求稳定现金流或低估值的价值投资者。', '3. 期望在当前价位附近立即建仓的投资者。', '证据摘要**', '1. **技术面**：均线多头排列但RSI达77，严重超买；价格大幅突破布林带上轨，波动率（ATR）翻倍；报告明确建议“绝对禁止追高”，理想参与区间在56-70美元，而现价102.51美元远离该区间。', '2. **新闻面**：核心催化剂（Q4财报及指引）已兑现，下一关键验证点（Q1财报）在1-2个月后；宏观地缘风险增加波动，但未破坏公司基本面叙事。', '3. **基本面**：收入同比增83%显示高增长，但经营现金流为-1.74亿美元，呈现“增收不增利”且严重依赖融资，基本面支撑具有高不确定性。', '4. **综合状态**：当前价格区域无法提供可执行、风险可控的买入方案；也未出现趋势破坏或需立即减仓的紧迫风险。因此处于多空拉扯、等待价格回落至关键区域并确认企稳的“震荡等待确认”状态。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round05\reports\AAOI\0421-2236-AAOI\reports\2026-0303-AAOI\2_decision\summary.md
AAOI,2026-03-04,buy_on_pullback,95.34,95.34美元,分批买入，优先关注两个回调企稳区间：,,,65.57,"['1. 价格放量跌破**65.57美元**（2月27日跳空缺口下沿）且当日无法收回。', '2. 价格收盘价持续低于**50日SMA（约45.6美元）**。', '任一条件触发，视为上涨结构破坏，应止损离场。', '适合的场景**', '- 风险偏好较高的成长型/趋势交易者。', '- 能接受高波动、采用分批建仓与严格止损的投资者。', '- 相信公司营收高增长叙事且能容忍短期盈利与现金流不佳的投资者。', '不适合的场景**', '- 低风险偏好、追求稳定现金流与股息的价值投资者。', '- 无法承受日内大幅波动或不愿等待回调的短线追涨交易者。', '- 要求立即看到盈利改善与正向经营现金流的保守型投资者。', '证据摘要**', '1. **技术面**：长期（200日/50日均线）多头排列向上；短期超买（RSI顶背离）但价格已回落测试支撑；明确给出支撑区间（84.2、76.1）与失效价位（65.57）。', '2. **新闻面**：财报与指引远超预期，分析师大幅上调目标价；800G产能扩张叙事清晰；公司基本面催化暂压倒宏观风险。', '3. **基本面**：营收同比+82.7%，毛利率提升，增长动能强劲；但经营现金流为负、费用高企构成风险。', '4. **综合判断**：上涨结构未坏，回调属健康整固；已形成“等待回调至支撑区企稳后参与”的完整计划，符合“趋势延续”定义。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round05\reports\AAOI\0421-2236-AAOI\reports\2026-0304-AAOI\2_decision\summary.md
AAOI,2026-03-05,sell,99.71,99.71美元,（基于已有持仓视角）,,,100.0,"['（空头失效条件）', '若价格放量突破并日线收盘站稳110美元，且回调不再跌破100美元，则短期下跌风险可能暂缓。', '适合的场景**', '1. 已有浮盈持仓者进行获利了结或严格止损。', '2. 风险厌恶型投资者规避高波动回调。', '3. 等待更深回调至80美元以下再重新评估的观望者。', '不适合的场景**', '1. 试图抄底或追高买入的新开仓者。', '2. 无止损纪律的短线交易者。', '证据摘要**', '1. 技术面：价格高位巨量滞涨，RSI持续78以上极端超买，ATR飙升显示波动风险极高；关键支撑92美元若跌破可能加速回调。', '2. 新闻面：财报利好已充分反应，分析师目标价上调后缺乏新催化；下一关键财报在4月下旬，当前处于验证真空期。', '3. 基本面：营收增长强劲但经营现金流为负，高估值下任何增长放缓信号将引发剧烈抛售。', '4. 综合语义：三份报告核心建议均转向“获利了结”、“避免追高”、“防守优先”，符合风险主导状态。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round05\reports\AAOI\0421-2236-AAOI\reports\2026-0305-AAOI\2_decision\summary.md
AAOI,2026-03-06,buy_on_pullback,101.14,101.14美元,分批回调买入：,,,83.0,"['1.  日线收盘价有效跌破83.00美元（跌破10日EMA及巨量阳线起点）。', '2.  跌破后反弹无力，无法快速收回85美元上方。', '适合的场景**', '1.  高风险偏好投资者，能承受高波动。', '2.  相信AI光模块行业趋势及公司产能叙事。', '3.  愿意耐心等待回调、分批建仓并严格执行止损。', '不适合的场景**', '1.  追求稳定盈利、低波动的价值投资者。', '2.  无法接受短期大幅回撤（潜在回调幅度可能达10%-20%）。', '3.  希望追涨或一次性全仓买入的交易者。', '证据摘要**', '1.  **技术趋势延续**：所有关键均线多头排列，价格远高于长中期均线；MACD动量强劲；巨量突破后高位震荡，未破坏上涨结构。', '2.  **基本面催化明确**：Q4营收同比增82.7%，指引超预期；800G产能扩张计划绑定AI数据中心主题，提供中期逻辑。', '3.  **回调参与方案清晰**：报告明确给出92-93.8美元及83-85美元两个支撑区间作为买入区域，并设定83美元为止损失效条件，具备可执行性。', '4.  **风险可控**：宏观风险存在但未改变公司主导逻辑；当前价格未跌破关键支撑，不属于风险主导状态。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round05\reports\AAOI\0421-2236-AAOI\reports\2026-0306-AAOI\2_decision\summary.md
AAOI,2026-03-09,hold,95.58,95.58美元,当前不急于参与。若未来价格能回调至80-85美元支撑区域并出现缩量企稳信号，或放量突破114.63美元前高，可重新评估趋势延续机会。,80.0,85.0,80.0,"['1. 股价放量跌破80美元支撑区并无法快速收回。', '2. 后续跌破50日SMA（约49.52美元），意味中期趋势破坏。', '适合的场景**', '高风险偏好交易者，擅长利用高波动区间进行波段操作；能紧密跟踪价格结构与后续财报验证的投资者。', '不适合的场景**', '追求稳定现金流的价值投资者；风险厌恶型或无法承受单日大幅回撤的投资者。', '证据摘要**', '1. **技术面**：价格远高于均线，但RSI>77、MACD高位，且出现冲高回落长阴线，显示短期动能衰竭；支撑位在88.34美元（10日EMA）及80-85美元区域。', '2. **新闻面**：订单利好已兑现，股价短期剧烈反应，进入“预期验证期”；暂无新催化，宏观风险存在但未主导个股走势。', '3. **基本面**：营收同比+82.8%显示高增长，但经营现金流为负，盈利未兑现，增长质量待验证。', '4. **状态判断依据**：当前既无法形成“回调至明确区间企稳参与”的完整计划（价格未到支撑区且企稳信号缺失），也未达到“趋势破坏需优先减仓”的风险主导状态（长期结构未坏，持仓建议仍为“持有”）。未来1-2周需观察价格在88-80美元区域的争夺结果。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round05\reports\AAOI\0421-2236-AAOI\reports\2026-0309-AAOI\2_decision\summary.md
AAOI,2026-03-10,buy_on_pullback,110.62,110.62美元,回调分批买入**：,,,84.0,"['1. **价格失效**：日线收盘价有效跌破**84.00美元**关键支撑位（突破起涨点）。', '2. **结构失效**：价格跌破84美元后，MACD出现高位死叉且无法快速收回。', '3. **基本面失效**：公司公告订单执行出现重大延迟或取消，或下季度营收增长显著失速。', '适合的场景**', '- 高风险偏好、能承受高波动的成长型/趋势交易者。', '- 相信AI基础设施投资扩散叙事，愿意以部分仓位博弈基本面拐点的投资者。', '- 有严格仓位管理和止损纪律的交易者。', '不适合的场景**', '- 低风险承受能力、厌恶高波动和短期大幅回撤的投资者。', '- 追求稳定盈利、分红或正向现金流的价值投资者。', '- 无法持续跟踪价格与新闻动态的被动投资者。', '证据摘要**', '1. **趋势结构完整**：长期、中期、短期均线呈多头排列，价格远高于200日/50日均线，巨量突破确认趋势强度。', '2. **基本面驱动明确**：1.6T订单是改变游戏规则的催化剂，驱动营收高增长预期和估值重估。', '3. **短期超买需消化**：RSI持续高于80，价格沿布林带上轨运行，ATR翻倍，显示短期过热，需回调或震荡以修复指标。', '4. **交易计划清晰**：报告明确给出“回调至84-95美元区间参与”的具体方案及失效条件，符合“趋势延续”下“择机买入”的定义。', '5. **风险可控**：计划已设定明确支撑参与区与跌破84美元的失效止损位，避免在趋势破坏后仍持有。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round05\reports\AAOI\0421-2236-AAOI\reports\2026-0310-AAOI\2_decision\summary.md
AAOI,2026-03-11,buy_on_pullback,120.49,120.49美元,分批回调买入：,,,95.0,"['1. 价格放量跌破95.00美元支撑区，且3个交易日内无法收回。', '2. 10日EMA拐头向下并死叉20日均线。', '3. 订单出现重大负面进展（如客户取消、交付延迟）。', '适合的场景**', '- 能承受高波动、采用分批建仓的成长型投资者。', '- 相信订单叙事且愿意等待回调的波段交易者。', '不适合的场景**', '- 风险厌恶型或追求稳定现金流的投资者。', '- 希望追涨或全仓一次性买入的短线交易者。', '证据摘要**', '1. **趋势延续证据**：均线多头排列；订单落地打开长期空间；技术报告明确给出回调参与区间（95-100美元）与失效条件（跌破95美元）。', '2. **择机而非追高证据**：RSI>80、价格偏离均线>120%，技术报告严禁追高，只建议回调参与；新闻报告建议“事件后确认”策略。', '3. **风险可控**：已定义明确支撑区间与失效价格，计划可执行。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round05\reports\AAOI\0421-2236-AAOI\reports\2026-0311-AAOI\2_decision\summary.md
AAOI,2026-03-12,buy_on_pullback,127.01,127.01美元,分批回调买入：,,,95.0,"['1.  价格收盘于 **95.00美元**（强支撑区下沿）以下。', '2.  10日指数移动平均线（当前101.25美元）被有效跌破且拐头向下。', '3.  1.6T订单执行出现重大延迟或取消的官方消息（当前未出现）。', '适合的场景**', '- 相信公司基本面已出现转折、愿意承担较高波动以换取趋势延续收益的投资者。', '- 能够严格执行分批建仓和止损纪律的交易者。', '- 认可“强势股健康回调是机会”这一模式的参与者。', '不适合的场景**', '- 无法忍受单日可能超过10%剧烈波动的低风险偏好者。', '- 期望立即买入并持续上涨、不愿等待回调的短线交易者。', '- 仅基于价值投资、要求立即实现盈利和正现金流的投资者。', '证据摘要**', '1.  **趋势结构未坏**：价格远高于所有关键均线（10日EMA 101.25美元，50日SMA 54.29美元），上升趋势明确。', '2.  **核心逻辑强化**：新闻面证实获得改变竞争格局的1.6T批量订单，基本面营收同比大增82.7%，提供了上涨核心驱动。', '3.  **可执行计划已给出**：技术报告明确给出了“回调参与”策略及两档具体支撑区间（110-112美元，95-99美元），并设定了明确的失效条件（收盘低于95美元）。', '4.  **短期状态属健康整固**：RSI从超买区回落至65，有利于行情健康发展；价格虽高位震荡，但未出现趋势破坏信号。报告核心结论是“趋势未改，等待回调参与”，而非“趋势破坏”或“方向不明”。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round05\reports\AAOI\0421-2236-AAOI\reports\2026-0312-AAOI\2_decision\summary.md
AAOI,2026-03-13,hold,106.19,106.19美元,当前不急于参与。若未来价格回调至80-95美元区间并出现企稳信号（如缩量、日线收稳、RSI在50附近拐头向上），可考虑分批买入。若放量突破120.50-127.00美元阻力区，则趋势可能重新加速。,80.0,95.0,55.51,"['1. 价格有效跌破50日SMA（当前55.51美元，持续上行）并无法快速收回，意味中期趋势破坏。', '2. 价格在95美元下方持续放量下跌，表明调整深度超预期。', '适合的场景**', '- 能承受高波动、愿意等待更清晰信号的中短线交易者。', '- 已有持仓者暂持有，但需密切关注支撑位表现。', '不适合的场景**', '- 追求趋势明确后追涨的动量交易者。', '- 无法接受价格可能进一步回调至80美元区域的保守投资者。', '证据摘要**', '1. **技术面**：长期均线多头排列，但价格自128.96美元高点回落，短期均线（10日EMA）被逼近，MACD高位拐头，波动率（ATR）极端扩张，显示上涨动能减弱，进入高波动整理。', '2. **新闻面**：1.6T订单提供长期利好，但ATM增发计划扩大至5亿美元带来短期稀释压力，多空因素交织。', '3. **基本面**：收入同比增82.7%、毛利率提升至30%，显示业务拐点，但经营现金流为-1.74亿美元，依赖外部融资，增长质量待验证。', '4. **状态判断依据**：当前价格虽接近短期支撑，但未出现明确企稳证据；技术面回调深度与时间不足，新闻面利空尚未消化；既无法给出“回调到位”的买入计划，也未达到趋势破坏的卖出条件，故属“震荡等待确认”。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round05\reports\AAOI\0421-2236-AAOI\reports\2026-0313-AAOI\2_decision\summary.md
