ticker,trade_date,action,reference_price,reference_price_text,entry_style,entry_zone_low,entry_zone_high,invalidation_price,invalidation_texts,report_path
AXTI,2026-03-02,buy_on_pullback,37.9,37.90美元,回调至32.00-34.80美元支撑区域（优先关注34.80美元10日EMA附近），出现缩量企稳或小周期底背离信号后分批轻仓介入。,32.0,34.8,28.5,"['1. 价格放量跌破28.50美元（关键平台及50日SMA上方），视为短期上升结构破坏。', '2. 反弹无法站稳34.80美元（10日EMA）并再次掉头向下。', '适合的场景**', '- 高风险偏好、能承受高波动的交易者。', '- 相信AI长期叙事且愿意等待回调布局的投资者。', '- 采用分批建仓、严格止损的纪律性策略。', '不适合的场景**', '- 低风险偏好、追求稳定现金流的长期投资者。', '- 无法承受20%以上回调波动的仓位。', '- 期望追高快速获利的短线交易。', '证据摘要**', '1. 技术趋势完好：价格高于所有关键均线（10日EMA 34.79美元、50日SMA 22.19美元、200日SMA 9.10美元），均线呈多头排列。', '2. 回调需求明确：RSI 75.33严重超买，ATR高达4.18，显示波动剧烈；价格已从高点回落，进入高位震荡。', '3. 支撑清晰可执行：32.00-34.80美元为技术共振支撑区（10日EMA、前期缺口及平台）。', '4. 叙事与风险并存：AI长期需求叙事提供乐观预期，但宏观地缘风险与疲软基本面构成压制。', '5. 交易计划明确：已定义回调买入区间、企稳信号及失效条件，符合“趋势延续”下的可执行方案。']",backtest\output\0421-0119-AXTI\reports\2026-0302-AXTI\2_decision\summary.md
AXTI,2026-03-03,buy_on_pullback,46.32,46.32美元,回调至37.90-35.08美元支撑区间内，出现缩量企稳、看涨K线形态或重新站上10日EMA（届时约37-38美元）信号后，分批买入。,35.08,37.9,29.68,"['1. 价格放量跌破29.68美元（近期关键突破平台），表明中期上升结构破坏。', '2. 回调至支撑区后反弹无力，无法重新站上10日EMA并再次掉头向下。', '适合的场景**', '1. 相信长期上升趋势尚未结束，愿意放弃追高、耐心等待回调的投资者。', '2. 能够接受短期波动、严格执行分批建仓和止损纪律的交易者。', '3. 博弈地缘政治风险缓和后板块情绪修复的阶段性机会。', '不适合的场景**', '1. 追求短期追涨杀跌或无法承受高波动率的交易者。', '2. 要求基本面盈利稳健或现金流持续为正的价值投资者。', '3. 希望立即入场、不愿等待回调的投资者。', '证据摘要**', '1. 技术趋势完好：价格高于所有关键均线（200日/50日/10日），均线呈多头排列，布林带突破显示强势。', '2. 健康回调信号：RSI已从76.25超买区回落至66.95，缓解过热压力。', '3. 明确支撑区域：技术分析指出37.90-35.08美元为近期整理平台与结构支撑，提供清晰回调参与区间。', '4. 风险因素存在但未破坏趋势：地缘政治风险压制情绪，但未改变技术上升结构；基本面盈利疲软，但现金充裕提供缓冲。', '5. 可执行计划：能给出具体回调买入区间、企稳信号及失效条件，符合“趋势延续”下的“择机买入”特征。']",backtest\output\0421-0119-AXTI\reports\2026-0303-AXTI\2_decision\summary.md
AXTI,2026-03-04,buy_on_pullback,41.76,41.76美元,回调至35.08-36.58美元支撑区域（兼顾前期平台及近期低点），出现缩量企稳或30分钟/小时图看涨结构后分批轻仓介入。,35.08,36.58,35.0,"['1. 价格收盘价跌破35.00美元且次日无法收复。', '2. 反弹无法站稳10日EMA（当前约36.62美元，动态下移）并再次转弱。', '适合的场景**', '1. 相信长期趋势未坏，愿意承受高波动以捕捉回调机会的短线交易者。', '2. 能严格执行止损和仓位管理。', '不适合的场景**', '1. 无法接受日内大幅波动或风险厌恶型投资者。', '2. 期望追涨或立即启动连续上涨的行情。', '3. 要求基本面强劲或短期有明确公司催化剂的投资者。', '证据摘要**', '1. **趋势结构**：长期、中期、短期均线多头排列，价格远高于200日/50日均线，上升根基未破坏。', '2. **回调健康性**：RSI从超买区回落至62.62，为后续上涨腾出空间；回调首次测试36.58美元低点未继续失守。', '3. **交易计划明确**：报告明确给出“35-37美元区域”为关键支撑与入场区间，并设定跌破35美元为失效条件，具备可执行性。', '4. **风险已部分反映**：地缘政治风险已被市场讨论并引发股价回调，但技术结构未破坏，长期AI叙事仍存。', '5. **基本面局限**：公司处于亏损状态，但充足现金提供缓冲，且当前决策主要基于技术结构与板块情绪博弈。']",backtest\output\0421-0119-AXTI\reports\2026-0304-AXTI\2_decision\summary.md
AXTI,2026-03-05,hold,39.13,39.13美元,当前不急于参与。若未来价格回调至34.20-36.50美元区域并出现缩量企稳、日内分时拒绝新低、或RSI在50附近走平回升等信号，可考虑分批轻仓介入。,34.2,36.5,29.7,"['1. 价格周线收盘跌破29.70美元（突破性缺口及关键平台），意味中期趋势可能逆转。', '2. 地缘局势显著恶化（如冲突范围扩大、能源价格飙升），导致板块系统性下跌。', '适合的场景**', '1. 擅长高波动区间交易、能严守止损的短线交易者，在36.50-41.50美元区间进行高抛低吸。', '2. 长期看好半导体材料赛道、愿意承受极高波动以博弈困境反转的投资者。', '不适合的场景**', '1. 厌恶亏损股、现金流为负公司的投资者。', '2. 追求稳定增长或低风险收益的投资者。', '3. 无法实时跟踪地缘政治事件与技术信号变化的交易者。', '证据摘要**', '1. **技术面**：长期均线多头排列，但价格自47美元高点放量回调，MACD顶背离雏形，RSI自超买区回落，ATR处于极端高位，显示短期动量衰减且波动巨大。', '2. **新闻面**：美伊紧张局势主导市场避险情绪，半导体板块普跌，缺乏公司特异性利好催化。', '3. **基本面**：公司毛利率骤降至12.7%，经营现金流为负，依赖融资输血，盈利拐点未现。', '4. **多空平衡**：长期趋势未坏，但短期缺乏明确的企稳证据与入场时机；宏观风险压制情绪，但尚未导致技术结构彻底破坏。']",backtest\output\0421-0119-AXTI\reports\2026-0305-AXTI\2_decision\summary.md
AXTI,2026-03-06,buy_on_pullback,38.79,38.79美元,回调至 **34.20-36.70美元** 区间（涵盖2月低点密集区及10日EMA），出现以下任一企稳信号后分批买入：,34.2,36.7,33.8,"['1. 日线收盘价 **跌破33.80美元**（即跌破34.20-35.41美元支撑区下沿）。', '2. 价格反弹无力，持续受制于 **41.76-42.44美元** 阻力区并再度转弱。', '适合的场景**', '- 高风险偏好、能承受高波动（ATR约5美元）的交易者。', '- 相信长期趋势未坏，且愿意等待回调布局的波段投资者。', '- 仓位为试探性布局（非重仓）。', '不适合的场景**', '- 厌恶亏损、无法接受基本面疲弱的保守型投资者。', '- 要求立即上涨、不愿等待回调的短线追涨交易。', '- 将该公司作为长期核心配置的价值投资者。', '证据摘要**', '1. **趋势结构**：价格高于50日SMA（24.10美元）61%，长期均线多头排列。', '2. **回调健康性**：RSI从75.33超买区回落至52.53，释放过热压力；价格正测试10日EMA（36.17美元）及前期密集交易区支撑。', '3. **可执行计划**：支撑区间明确（34.20-36.70美元），企稳信号与失效条件可量化。', '4. **风险项**：宏观风险与基本面疲弱存在，但未破坏整体上涨结构；技术面已给出回调参与路径，而非只能观望。']",backtest\output\0421-0119-AXTI\reports\2026-0306-AXTI\2_decision\summary.md
AXTI,2026-03-09,hold,32.37,32.37美元,当前不急于参与。若未来转为趋势延续，需观察：价格在29.68-32.26美元支撑区企稳并出现反转信号，或放量突破38.79-40美元阻力区。,29.68,32.26,29.68,"['（当前无持仓，不适用具体失效条件；状态切换条件如下）', '- 若价格在支撑区企稳后突破38.79美元，则状态可能切换至“趋势延续”。', '- 若价格收盘有效跌破29.68美元，则状态可能切换至“风险主导”。', '适合的场景**', '1. 高风险偏好交易者，愿意在方向明确后右侧跟进。', '2. 能紧密跟踪地缘政治新闻及价格在关键支撑/阻力位的反应。', '不适合的场景**', '1. 寻求立即方向性押注或追涨杀跌。', '2. 期望基本面短期出现反转催化。', '3. 无法接受高波动环境下的观望期。', '证据摘要**', '1. 技术面：价格自47.03美元高点回落，跌破10日EMA（36.60美元），MACD顶背离死叉，但中期均线（50日SMA 24.58美元）仍向上，长期趋势未破坏。', '2. 新闻面：地缘政治风险（美伊紧张）压制半导体板块风险偏好，个体叙事暂被掩盖。', '3. 基本面：公司处于亏损状态（毛利率12.7%，经营现金流为负），无短期改善催化剂，依赖现金储备维持运营。', '4. 多空平衡：向下有支撑（29.68-32.26美元），向上有阻力（38-40美元），短期无法给出明确参与方案。']",backtest\output\0421-0119-AXTI\reports\2026-0309-AXTI\2_decision\summary.md
AXTI,2026-03-10,hold,38.56,38.56美元,当前不急于参与。若未来转多，需满足以下任一条件：,,,32.26,"['（当前状态无入场计划，故不适用具体失效条件。状态切换条件如下）', '- 若价格放量跌破32.26美元，则状态可能转为“风险主导”。', '- 若价格在支撑区明确企稳或突破阻力，并伴随宏观风险缓和，则状态可能转为“趋势延续”。', '适合的场景**', '1. 擅长区间震荡交易、能严格止损的短线交易者。', '2. 等待宏观风险消退与技术面信号共振的波段投资者。', '不适合的场景**', '1. 追求趋势明确后右侧追涨的投资者。', '2. 无法承受高波动（ATR达5.37美元）和隔夜宏观事件风险的交易者。', '证据摘要**', '1. **技术面**：长期均线多头排列，但短期10日EMA走平，价格接近短期多空分界；RSI自超买回落至64，MACD动量减弱；布林带极度扩张，价格位于中轨附近；关键支撑36.50-37.00美元，阻力41.76-42.44美元。', '2. **新闻面**：地缘政治风险主导市场情绪，压制半导体板块；公司被列为活跃股并有异常期权活动，显示高关注度与高波动预期。', '3. **基本面**：营收同比下滑，持续经营亏损，经营现金流为负；但现金储备达1.2亿美元，资产负债率低，提供估值底。', '4. **综合**：缺乏明确的企稳证据或突破信号，宏观风险未解除，无法形成可执行的买入或卖出计划。']",backtest\output\0421-0119-AXTI\reports\2026-0310-AXTI\2_decision\summary.md
AXTI,2026-03-11,buy_on_pullback,44.3,44.30美元,等待价格回调至 **38.00-40.00美元** 区间企稳后分批买入。企稳信号可参考：1小时图收盘站稳39.00美元上方，或分时图出现缩量止跌形态。,38.0,40.0,37.0,"['1. 价格日收盘跌破 **37.00美元**（关键支撑带下沿）。', '2. 10日EMA下穿50日SMA，形成短期死叉。', '适合的场景**', '1. 能承受高波动、愿意分批建仓的趋势交易者。', '2. 相信长期趋势未坏，且愿意利用宏观情绪导致的回调进行布局。', '不适合的场景**', '1. 低波动偏好或无法盯盘的投资者。', '2. 期望短期追涨获取快速收益的交易者。', '3. 要求基本面有明确改善信号才入场的价值投资者。', '证据摘要**', '1. **趋势结构完好**：价格高于所有主要均线（200日/50日/10日），均线呈多头排列。', '2. **支撑测试有效**：3月5-6日回调在37-38美元获支撑后反弹，显示买盘承接。', '3. **动量健康回调**：RSI从超买区回落至66，为后续上涨腾出空间。', '4. **宏观风险虽存但未破坏结构**：地缘风险压制情绪，但价格未跌破关键支撑，趋势根基未动摇。', '5. **基本面提供安全边际**：公司资产负债率低、现金充足，虽亏损但无短期偿债危机，下行保护尚可。']",backtest\output\0421-0119-AXTI\reports\2026-0311-AXTI\2_decision\summary.md
AXTI,2026-03-12,buy_on_pullback,47.36,47.36美元,回调至37.0-41.0美元区间（重点关注40.0-41.0美元10日EMA附近）出现企稳信号（如小时图缩量止跌、阳线反包）后分批买入。,37.0,41.0,37.0,"['1. 价格放量跌破37.0美元支撑并日线收盘于其下。', '2. 50日SMA（26.45美元）趋势走平或拐头向下。', '适合的场景**', '1. 能承受高波动、擅长区间交易的风险偏好者。', '2. 相信公司现金储备可提供困境反转时间窗口的事件驱动型交易。', '3. 已有持仓者部分获利了结后，等待回调加仓的波段操作。', '不适合的场景**', '1. 追求稳定成长或低风险价值的投资者。', '2. 无法密切跟踪价格波动与财报事件的短线交易者。', '3. 期望追涨突破或单边趋势的激进策略。', '证据摘要**', '1. **技术趋势延续**：长中短期均线多头排列，价格远离长期均线（+343%），上升结构未破坏。', '2. **短期需回调消化**：RSI顶背离、价格贴近布林带上轨、ATR高企显示超买与高波动，报告明确建议“不追高，等回调”。', '3. **可执行计划清晰**：报告给出明确支撑区间（37.0-41.0美元）与企稳信号要求，失效条件（跌破37.0美元）具体。', '4. **基本面提供缓冲**：1.2亿美元现金储备与22.8%资产负债率提供困境反转时间，但当前盈利与现金流为负，属高风险博弈。', '5. **宏观风险存在但未主导**：行业政策与地缘风险压制情绪，但技术结构未转向“风险主导”，核心交易逻辑仍为趋势内的回调参与。']",backtest\output\0421-0119-AXTI\reports\2026-0312-AXTI\2_decision\summary.md
AXTI,2026-03-13,buy_on_pullback,46.73,46.73美元,等待价格回调至 **39.13‑38.56美元** 支撑平台企稳后分批买入，或回调至 **35.08美元** 附近出现止跌信号后参与。,,,35.08,"['1. 收盘价跌破 **35.08美元** 关键支撑且无法快速收回。', '2. 10日EMA（当前42.41美元）被放量跌破并确认失守。', '适合的场景**', '1. 能承受高波动、擅长回调布局的激进型交易者。', '2. 相信技术趋势强于短期宏观情绪、愿意等待支撑位企稳的投资者。', '不适合的场景**', '1. 无法接受单日波动可能超10%的保守投资者。', '2. 要求立即跟随趋势、不愿等待回调的追涨策略。', '证据摘要**', '1. 技术报告：长期/中期/短期均线多头排列，价格守住10日EMA；明确给出“回调至39.13‑38.56或35.08美元参与”的方案。', '2. 新闻报告：地缘风险压制情绪，但公司长期行业逻辑被第三方认可；若风险缓和，板块可能快速反弹。', '3. 基本面报告：现金充裕提供安全垫，极低估值下任何盈利边际改善可能引发修复交易。', '4. 综合结论：上涨结构未破坏，且有明确回调买入区间与失效条件，符合“趋势延续”下的“择机买入”。']",backtest\output\0421-0119-AXTI\reports\2026-0313-AXTI\2_decision\summary.md
