sequence,ticker,trade_date,team_id,llm_model,selected_analysts,trace_dir,source_report_dir,report_dir,decision_path,llm_calls,tool_calls,tokens_in,tokens_out,executive_summary
1,1347.HK,2026-03-02,lite,deepseek-chat,"market,news,fundamentals",results\analysis\1347.HK_2026_0421_0008,,backtest\output\0421-0008-1347HK\reports\2026-0302-1347HK,backtest\output\0421-0008-1347HK\reports\2026-0302-1347HK\2_decision\summary.md,4,8,27475,7600,"**分析日期**  
2026-03-02  

**分析截面**  
基于2026-03-02前一个交易日（2026-02-27）收盘后的价格、技术指标、新闻及基本面数据综合判断。  

**截面价格**  
96.75 美元  

**趋势判断**  
风险主导  

**建议行动**  
建议卖出  

**1-2周核心判断**  
短期技术面已转弱（价格跌破短期均线，MACD下穿零轴，结构呈高点下移），叠加宏观面突发重大利空（中东地缘冲突升级引发全球风险资产抛售），系统性风险主导股价走势。公司基本面虽具长期安全边际，但无法抵消短期宏观冲击与技术破位风险。  

**执行摘要**  
技术调整与宏观黑天鹅事件形成共振，短期下行风险显著占优。持仓者应优先防守，而非逆势布局。  

**关键催化因素**  
1. 宏观风险：中东冲突升级导致全球避险情绪骤升，原油暴涨，科技股估值承压。  
2. 技术破位风险：价格正测试关键中期支撑（50日SMA 93.65），若收盘有效跌破可能引发更深回调。  

**关键风险**  
1. 宏观局势不确定性极高，冲突若持续将压制风险偏好。  
2. 技术面若失守93.65支撑，下一支撑在89.53（布林下轨）及87.00（前期密集区上沿）。  

**入场方式**  
（基于已有持仓视角）  
- 减仓/止损：若收盘价有效跌破93.65美元（50日SMA），应考虑减仓或止损。  
- 反弹减仓：若股价反弹至102.8-105.0美元阻力区，可部分了结以降低风险。  

**失效条件**  
（卖出建议的失效条件，即风险缓解信号）  
1. 宏观面：中东冲突快速缓和，且全球风险资产（尤其美股半导体板块）企稳反弹。  
2. 技术面：股价在93.65美元上方强势企稳，并放量收复98.32美元（10日EMA）。  

**适合的场景**  
- 持仓者进行风险控制，降低组合波动。  
- 规避系统性风险、短期波动率较高的环境。  

**不适合的场景**  
- 无持仓者试图左侧抄底。  
- 仅基于长期基本面逻辑而忽视短期宏观与技术面风险。  

**证据摘要**  
1. 技术面：短期趋势转空（价格低于10日EMA，MACD负值），正测试关键支撑93.65；若破位则中期结构转弱。  
2. 新闻面：宏观黑天鹅事件（美伊冲突升级）主导市场情绪，半导体板块面临系统性抛压。  
3. 基本面：公司虽现金充裕，但行业周期下行、盈利承压，短期无法对冲宏观风险。  
4. 综合结论：风险因素（宏观冲击+技术破位风险）已占主导，优先考虑防守。"
2,1347.HK,2026-03-03,lite,deepseek-chat,"market,news,fundamentals",results\analysis\1347.HK_2026_0421_0008_02,,backtest\output\0421-0008-1347HK\reports\2026-0303-1347HK,backtest\output\0421-0008-1347HK\reports\2026-0303-1347HK\2_decision\summary.md,4,8,26142,7168,"**分析日期**
2026-03-03

**分析截面**
综合技术、新闻与基本面分析。

**截面价格**
92.95港元

**趋势判断**
风险主导

**建议行动**
建议卖出

**1-2周核心判断**
宏观地缘政治风险（美伊冲突升级）成为压倒性主导因素，引发全球风险资产抛售，对高贝塔的半导体板块构成直接冲击。技术面显示短期下跌趋势明确，股价已跌破50日均线关键支撑，动量指标恶化，正测试核心支撑区。基本面处于盈利低谷，无法对冲短期宏观与技术风险。整体风险显著高于潜在收益。

**执行摘要**
宏观黑天鹅事件导致市场进入避险模式，技术趋势破位，基本面缺乏短期催化剂。在不确定性消除前，应优先降低风险暴露。

**关键催化因素**
1.  地缘政治局势出现明确缓和信号，全球风险偏好修复。
2.  股价在关键支撑区（90.0-88.7港元）出现强劲企稳反转信号并放量收复50日均线（约94.06港元）。

**关键风险**
1.  地缘政治冲突升级或延长，持续压制风险偏好。
2.  股价放量跌破86.0港元支撑，技术结构进一步恶化。
3.  行业需求复苏不及预期，公司毛利率持续低迷。

**入场方式**
（基于已有持仓视角）利用任何向94.0-94.5港元（50日均线附近）的反弹减仓或离场；若股价直接跌破90.0港元，应考虑止损。

**失效条件**
股价放量强势突破并站稳100.0-101.5港元阻力区，且宏观风险情绪显著缓解，则短期下行趋势可能被逆转。

**适合的场景**
投资者需要执行止损纪律、降低组合风险暴露或进行避险操作。

**不适合的场景**
试图抄底、基于长期基本面进行逆向投资、或无法承受高波动。

**证据摘要**
1.  **宏观/新闻**：美伊军事冲突骤然升级，全球风险偏好急剧恶化，构成强烈负面宏观冲击。
2.  **技术**：股价跌破50日均线，MACD下穿零轴，RSI走弱，短期趋势明确向下，正测试90.0-88.7港元支撑区。
3.  **基本面**：公司处于经营性亏损状态，毛利率仅11.8%，缺乏短期盈利催化剂，无法抵御系统性风险。"
3,1347.HK,2026-03-04,lite,deepseek-chat,"market,news,fundamentals",results\analysis\1347.HK_2026_0421_0008_03,,backtest\output\0421-0008-1347HK\reports\2026-0304-1347HK,backtest\output\0421-0008-1347HK\reports\2026-0304-1347HK\2_decision\summary.md,4,8,26028,7709,"**分析日期**  
2026-03-04

**分析截面**  
基于2026年3月3日收盘后的技术、新闻与基本面数据综合判断。

**截面价格**  
87.8 美元

**趋势判断**  
风险主导

**建议行动**  
建议卖出

**1-2周核心判断**  
技术面已明确转空（价格跌破50日SMA，MACD零轴下方加速下行），叠加宏观地缘政治风险（美伊冲突升级）主导市场情绪，短期下行风险显著。尽管存在超卖反弹可能，但趋势破坏与风险因素已占优，应优先控制风险。

**执行摘要**  
技术趋势破坏、宏观风险冲击主导短期价格行为，基本面虽具长期价值但无法对冲即时风险。建议持仓者优先减仓或止损，降低风险敞口。

**关键催化因素**  
1. 地缘政治局势若进一步升级，将加剧全球风险资产抛售。  
2. 若价格跌破关键支撑86.5美元，可能引发新一轮技术性卖盘。

**关键风险**  
1. 技术面下跌动量强劲，任何反弹均面临94.5-95.0美元（10日EMA/50日SMA）强阻力压制。  
2. 宏观不确定性极高，市场情绪脆弱，易出现非理性下跌。

**入场方式**  
（针对已有持仓）  
1. **反弹减仓**：若股价反弹至94.5-95.0美元阻力区域，建议减仓。  
2. **直接止损**：若股价直接跌破86.5美元支撑，建议止损离场。

**失效条件**  
1. 地缘政治风险迅速缓和，且股价放量强势突破95.0美元并站稳。  
2. 价格在80.8-83.5美元关键支撑区域出现明确企稳反转信号（如长下影线、晨星形态），并伴随成交量显著放大。

**适合的场景**  
1. 持仓者需要执行风险控制、降低仓位。  
2. 风险厌恶型投资者规避短期高波动环境。

**不适合的场景**  
1. 试图在当前价位抄底或博取短线反弹。  
2. 基于长期基本面逻辑进行逆向建仓（短期时机不佳）。

**证据摘要**  
1. **技术面**：价格已跌破50日SMA，MACD零轴下方加速下行，呈现“高点下移、低点下移”的下跌结构。  
2. **宏观面**：美伊军事冲突升级推高全球风险溢价，引发科技股无差别抛售。  
3. **基本面**：公司短期盈利能见度低，虽现金充裕但无法抵消短期市场情绪冲击。  
4. **报告共识**：技术报告结论为“风险大于机会，以防御观望为主”；新闻报告结论为“短期偏空，建议谨慎观望”；基本面报告虽提示长期价值，但明确短期盈利困境。"
4,1347.HK,2026-03-05,lite,deepseek-chat,"market,news,fundamentals",results\analysis\1347.HK_2026_0421_0008_04,,backtest\output\0421-0008-1347HK\reports\2026-0305-1347HK,backtest\output\0421-0008-1347HK\reports\2026-0305-1347HK\2_decision\summary.md,4,8,26874,8191,"**分析日期**  
2026-03-05  

**分析截面**  
基于2026-03-04收盘价的技术面、新闻面与基本面综合判断  

**截面价格**  
86.25 港元  

**趋势判断**  
风险主导  

**建议行动**  
建议卖出  

**1-2周核心判断**  
技术面已明确转弱：价格跌破所有关键短期与中期均线，MACD死叉且绿柱扩大，呈现放量下跌与低点下移格局。基本面虽现金流稳健，但盈利能力严重恶化（毛利率仅11.8%，经营亏损），且缺乏短期催化剂。宏观面地缘冲突升级压制风险偏好，公司处于新闻静默期，股价受外部情绪驱动。综合来看，下行风险与趋势破坏已占主导，应优先考虑降低风险。  

**执行摘要**  
技术趋势破坏、盈利可见度低、宏观风险加剧三者叠加，当前状态已从“震荡调整”转为“风险主导”。持仓者应优先止损或减仓，不宜等待反弹。  

**关键催化因素**  
1. 地缘冲突快速缓和，带动全球风险资产反弹。  
2. 公司发布超预期业绩或重大业务进展，打破静默期。  
3. 行业需求复苏信号出现，带动毛利率预期改善。  

**关键风险**  
1. 技术面支撑位85.0港元若被放量跌破，可能引发新一轮抛售。  
2. 地缘冲突外推导致原油暴涨、外资流出港股，流动性收紧。  
3. 公司下季度毛利率继续下滑，证伪“困境反转”逻辑。  

**入场方式**  
（已有持仓视角）  
- 持仓者应于当前价格附近（86.0-87.0港元）或可能的技术性反弹中（如接近94.0-95.0港元阻力区）执行减仓或止损。  
- 严格止损参考：收盘价有效跌破85.0港元支撑位。  

**失效条件**  
1. 价格放量回升并连续三日站稳10日EMA（约93.0港元）上方，且MACD绿柱显著收敛。  
2. 公司突发重大利好公告（如毛利率显著改善、大客户订单），驱动价格强势反转。  

**适合的场景**  
- 持仓者进行风险控制，降低仓位暴露。  
- 短线交易者利用反弹阻力位减仓。  

**不适合的场景**  
- 左侧抄底或新建多头仓位。  
- 基于长期现金流价值而忽视短期趋势破坏的持仓。  

**证据摘要**  
1. 技术面：价格跌破50日/10日均线，MACD死叉且绿柱扩大，RSI弱势，布林带下轨被击穿，呈现放量下跌结构。  
2. 基本面：2025财年毛利率仅11.8%，经营亏损，盈利可见度低；虽现金流健康，但短期无法抵消趋势恶化。  
3. 新闻面：公司处于新闻静默期，无自身催化剂；宏观地缘冲突升级压制风险偏好，港股流动性承压。"
5,1347.HK,2026-03-06,lite,deepseek-chat,"market,news,fundamentals",results\analysis\1347.HK_2026_0421_0008_05,,backtest\output\0421-0008-1347HK\reports\2026-0306-1347HK,backtest\output\0421-0008-1347HK\reports\2026-0306-1347HK\2_decision\summary.md,4,8,25352,7686,"**分析日期**  
2026-03-06  

**分析截面**  
综合技术面、基本面及宏观环境分析。技术面显示短期与中期趋势已破坏，处于深度调整；基本面凸显财务稳健但盈利疲弱；宏观环境偏暖但缺乏公司具体催化剂。  

**截面价格**  
87.25 美元  

**趋势判断**  
风险主导  

**建议行动**  
建议卖出  

**1-2周核心判断**  
价格已跌破所有关键短期与中期均线，MACD与RSI同步走弱，呈现“高点下移、低点下移”的下跌结构。尽管长期趋势未破且宏观政策偏暖，但短期技术面恶化、缺乏公司层面催化剂，下行风险主导价格行为，持仓者应优先减仓控制风险。  

**执行摘要**  
技术面确认中期调整进行中，动量指标未见背离，支撑位85.15-86.25区域面临考验。基本面虽财务稳健，但盈利端承压，无短期修复催化剂。宏观暖风无法抵消个股技术破位与信息缺失风险。当前应优先防守。  

**关键催化因素**  
1. 价格在85-86区域强势企稳并形成底背离结构。  
2. 公司发布超预期的财报或重大业务进展公告。  
3. 行业需求快速回暖带动产能利用率提升预期。  

**关键风险**  
1. 技术面支撑85.15-86.25被有效跌破，可能加速下探80关口。  
2. 公司盈利修复慢于预期，费用控制不力。  
3. 行业周期复苏延迟，新增产能无法消化。  

**入场方式**  
（持仓者视角）利用向95-97阻力区域（50日SMA及前期密集区）的反弹进行减仓；若价格直接跌破85.15，应考虑止损撤离。  

**失效条件**  
1. 价格放量突破并站稳100-102.80阻力区，中期下跌结构被破坏。  
2. 公司发布重大利好公告，驱动价格强势反转并收复95.25以上。  

**适合的场景**  
1. 持仓者执行风险控制、降低仓位。  
2. 看空短期技术走势的波段交易。  
3. 等待更低位布局的长线投资者（需耐心观望）。  

**不适合的场景**  
1. 试图抄底或逆势博反弹的短线交易。  
2. 基于宏观暖风而忽视个股技术破位的买入。  
3. 期待短期盈利催化驱动的快速上涨。  

**证据摘要**  
1. 技术面：价格跌破所有短期均线，MACD死叉且绿柱扩大，RSI弱势无背离，关键支撑85.15-86.25受考验。  
2. 基本面：2025财年主营业务亏损，毛利率仅11.8%，盈利依赖政府补助等非经营收入，短期缺乏改善催化剂。  
3. 宏观与信息面：宏观政策偏暖但公司层面新闻真空，无法形成直接利好；技术破位与信息缺失叠加，风险收益比恶化。"
6,1347.HK,2026-03-09,lite,deepseek-chat,"market,news,fundamentals",results\analysis\1347.HK_2026_0421_0010,,backtest\output\0421-0008-1347HK\reports\2026-0309-1347HK,backtest\output\0421-0008-1347HK\reports\2026-0309-1347HK\2_decision\summary.md,4,8,27184,7600,"**分析日期**  
2026-03-09

**分析截面**  
综合技术面（中期调整、短期超卖）、宏观面（地缘风险主导、公司信息缺失）与基本面（盈利承压但现金流充裕、财务稳健）。

**截面价格**  
88.0 美元

**趋势判断**  
震荡等待确认

**建议行动**  
保持观望

**1-2周核心判断**  
技术面处于长期牛市中的深度中期调整，短期趋势明确转弱且空头动量强劲，价格接近超卖支撑但企稳信号未现；宏观面因地缘冲突与油价飙升导致风险偏好骤降，且公司层面信息真空，无法对冲系统性风险。多空因素仍在拉扯，方向尚未重新明确，当前不足以形成完整、可执行的交易计划。

**执行摘要**  
长期牛市结构未坏，但中期调整与宏观风险叠加，短期缺乏明确入场信号。建议空仓者耐心等待价格企稳或宏观风险缓和后的确认信号，持仓者不宜恐慌杀跌但需严守止损纪律。

**关键催化因素**  
1. 技术性反弹：价格触及布林带下轨（84.66）后出现缩量止跌K线组合。  
2. 宏观缓和：中东局势降温、油价显著回落。  
3. 公司信息：发布正面财报或业务公告，对冲宏观悲观情绪。

**关键风险**  
1. 宏观风险外溢：地缘冲突持续推高油价，引发全球风险资产进一步抛售。  
2. 技术破位：价格有效跌破84.00支撑，调整加深。  
3. 信息真空：公司层面潜在未披露的负面风险。

**入场方式**  
当前不急于参与。未来转多需观察：1）价格在84.66-86.25支撑区域出现明显缩量企稳信号（如日线收盘站稳86.25上方）；2）放量突破10日EMA（约91.37）并站稳。

**失效条件**  
（不适用于“保持观望”）

**适合的场景**  
1. 长线投资者等待更明确的行业周期拐点与公司毛利率改善信号。  
2. 短线交易者等待宏观风险缓和后的技术反弹机会。

**不适合的场景**  
1. 试图抄底博弈短期反转。  
2. 在宏观风险未缓解前基于长期逻辑进行左侧大笔建仓。

**证据摘要**  
1. 技术面：价格跌破所有中短期均线，MACD与RSI显示空头动量强劲，但接近布林带下轨支撑。  
2. 宏观面：地缘冲突导致油价暴涨，风险偏好恶化，且无公司层面利好对冲。  
3. 基本面：公司盈利承压但现金流充裕、资产负债表健康，提供长期安全边际，但短期无法抵消宏观与技术面压力。  
4. 综合结论：多空因素拉扯，缺乏可执行的入场方案，需等待企稳或风险缓和信号确认。"
7,1347.HK,2026-03-10,lite,deepseek-chat,"market,news,fundamentals",results\analysis\1347.HK_2026_0421_0010_02,,backtest\output\0421-0008-1347HK\reports\2026-0310-1347HK,backtest\output\0421-0008-1347HK\reports\2026-0310-1347HK\2_decision\summary.md,4,8,25790,7723,"分析日期：2026-03-10
分析截面：综合技术、新闻与基本面分析
截面价格：87.30 美元
趋势判断：风险主导
建议行动：建议卖出
1-2周核心判断：技术面短期与中期趋势均已明确转弱，价格跌破所有短期及中期均线，MACD位于零轴下方且无背离，下跌动能强劲。尽管长期趋势未破且基本面提供长期安全边际，但1-2周内下行风险与防守需求已占主导，应优先考虑风险控制。
执行摘要：技术面显示明确的下跌趋势与疲弱动能，关键支撑位（84.0-80.4）岌岌可危。新闻面无公司层面催化剂，宏观环境存在地缘风险扰动。基本面虽提供长期安全边际，但无法抵消短期技术破位风险。综合判断，当前风险远大于机会，操作应以防御为主。
关键催化因素：1. 价格在80.4-84.0关键支撑区域出现明确缩量企稳及底部反转形态。2. 公司发布显著利好公告（如业绩预增、重大合同）。3. 价格放量突破并站稳50日SMA（96.03美元）。
关键风险：1. 技术面下跌动量未衰竭，若有效跌破80.4前低将打开下行空间。2. 信息不对称风险，缺乏公司近期经营信息。3. 宏观地缘冲突升级压制全球风险偏好。4. 高波动率（ATR值5.69）增加持仓风险。
入场方式：已有持仓者应利用向10日EMA（约91.24美元）或96.0-97.0阻力区域的反弹机会减仓。严格止损可设置在80.40美元下方。
失效条件：价格放量突破并站稳96.0美元（50日SMA）以上，且MACD形成金叉，则短期下跌趋势可能被扭转，需重新评估。
适合的场景：1. 持仓者执行风险控制、减仓或止损。2. 风险厌恶型投资者规避短期下行风险。
不适合的场景：1. 试图在当前价位抄底或进行左侧买入。2. 基于长期基本面逻辑而忽视短期趋势破坏进行加仓。
证据摘要：1. 技术：价格（87.3）低于所有短期及中期均线（10日EMA 91.24，50日SMA 96.03）；MACD深度为负（-2.94）且无背离；RSI（43.7）处于弱势区间；关键支撑位84.0-80.4面临考验。2. 新闻：公司层面信息缺失，宏观存在地缘风险等偏空因素。3. 基本面：长期财务结构稳健，现金充裕，但短期盈利能见度低，无法对冲技术面破位风险。"
8,1347.HK,2026-03-11,lite,deepseek-chat,"market,news,fundamentals",results\analysis\1347.HK_2026_0421_0010_03,,backtest\output\0421-0008-1347HK\reports\2026-0311-1347HK,backtest\output\0421-0008-1347HK\reports\2026-0311-1347HK\2_decision\summary.md,4,8,26436,7509,"**分析日期**  
2026-03-11  

**分析截面**  
基于2026年3月10日收盘后的技术、新闻与基本面报告综合判断。  

**截面价格**  
90.65 美元  

**趋势判断**  
风险主导  

**建议行动**  
建议卖出  

**1-2周核心判断**  
技术面显示中期趋势已转弱，价格跌破所有中短期均线，MACD处于零轴下方；宏观面受美伊军事冲突升级主导，全球风险偏好骤降，港股市场承压；基本面虽财务稳健，但短期盈利能见度低，缺乏正面催化剂对冲宏观风险。当前环境由下行风险与防守需求主导，应优先控制风险。  

**执行摘要**  
技术调整、宏观风险与基本面缺乏短期催化三者叠加，形成明确的“风险主导”格局。持仓者应优先考虑减仓或止损，而非寻求买入机会。  

**关键催化因素**  
1. 美伊冲突若意外快速缓和，可能带来市场情绪修复。  
2. 公司发布超预期业绩或重大业务进展，但近期无相关迹象。  

**关键风险**  
1. 地缘政治风险溢出导致全球股市普跌，港股流动性收紧。  
2. 技术面若跌破近期低点80.40，可能打开更大下行空间。  
3. 公司信息真空，股价易受宏观情绪摆动放大波动。  

**入场方式**  
（基于已有持仓视角）  
考虑在反弹至关键阻力区96.45-97.00美元附近减仓；若价格直接跌破近期低点80.40美元且无法快速收回，应执行止损。  

**失效条件**  
1. 价格放量突破并站稳102.50-105.50美元区域，同时MACD回归零轴上方形成金叉。  
2. 美伊冲突迅速缓和，且公司发布重大利好，推动价格强势反转。  

**适合的场景**  
1. 持仓者进行风险敞口管理。  
2. 风险厌恶型投资者规避不确定性。  

**不适合的场景**  
1. 试图左侧抄底或博取反弹。  
2. 基于长期基本面布局（短期宏观风险压倒长期逻辑）。  

**证据摘要**  
1. 技术：价格低于10日EMA（91.33）及50日SMA（96.46），MACD负值，RSI中性偏弱，显示空头格局。  
2. 新闻：美伊冲突升级推升全球避险情绪，公司层面无任何正面新闻对冲。  
3. 基本面：短期盈利承压，毛利率仅约11.8%，依赖非经常性收入，缺乏1-3个月内估值修复催化剂。"
9,1347.HK,2026-03-12,lite,deepseek-chat,"market,news,fundamentals",results\analysis\1347.HK_2026_0421_0010_04,,backtest\output\0421-0008-1347HK\reports\2026-0312-1347HK,backtest\output\0421-0008-1347HK\reports\2026-0312-1347HK\2_decision\summary.md,4,8,27219,7552,"**分析日期**  
2026-03-12

**分析截面**  
综合技术面、宏观新闻与基本面分析

**截面价格**  
91.75 美元

**趋势判断**  
风险主导

**建议行动**  
建议卖出

**1-2周核心判断**  
突发的美伊军事冲突急剧升级，已主导全球风险情绪，导致宏观风险溢价飙升。技术面虽显示长期趋势完好且短期有超卖反弹迹象，但中期趋势已破坏（股价持续低于50日与10日均线），且当前宏观环境下，技术支撑的有效性面临严峻考验。基本面虽提供长期财务安全垫，但短期盈利能见度低，无法对冲系统性风险。综合判断，下行风险已占优，应优先考虑降低风险。

**执行摘要**  
地缘政治“黑天鹅”事件成为主导变量，市场进入避险模式。尽管公司长期逻辑与财务基础稳固，但短期股价受系统性抛压与流动性收紧冲击的风险极高。在局势明朗前，技术面支撑可能失效，建议持仓者优先减仓或止损以控制风险。

**关键催化因素**  
1. 美伊冲突出现缓和信号（如外交谈判、停火协议）。  
2. 公司发布显著超预期的正面经营数据或回购公告。  
3. 中国出台强力稳增长政策，对冲外部风险。

**关键风险**  
1. 地缘冲突扩大化，导致油价飙升、全球“滞胀”担忧加剧。  
2. 避险情绪持续引发资金从港股流出，市场流动性恶化。  
3. 股价跌破技术关键支撑位（87.50美元），引发新一轮下跌。

**入场方式**  
（基于已有持仓视角）利用任何向关键阻力位（96.50-97.00美元区域）的反弹进行减仓。若股价直接走弱，应考虑在收盘价有效跌破87.50美元支撑时止损撤离。

**失效条件**  
1. 美伊冲突在1-2周内出现明确、可信的缓和迹象，且全球风险资产V型反弹。  
2. 股价放量强势突破并站稳50日均线（96.50美元以上），中期趋势修复信号得到确认。

**适合的场景**  
1. 持仓者需要执行风险控制、降低仓位。  
2. 市场处于宏观风险主导的避险环境，需优先保存本金。

**不适合的场景**  
1. 试图逆势抄底或进行左侧布局。  
2. 仅基于长期基本面逻辑而忽略短期系统性风险。

**证据摘要**  
1. **宏观风险主导**：新闻报告明确指出，美伊冲突升级是“强烈负面”事件，导致全球风险溢价飙升，港股面临系统性抛压。  
2. **技术趋势破坏**：技术报告确认中期趋势已破坏（股价低于下行中的50日与10日均线），且当前更接近“中期调整”而非趋势启动点。  
3. **基本面无法对冲短期风险**：基本面报告显示公司短期盈利能见度低，虽财务稳健，但无法抵消宏观冲击。  
4. **交易建议一致指向防守**：技术报告建议持仓者在阻力位减仓；新闻报告建议“观望或谨慎偏空”，并提示在宏观风险前技术面可能失效。"
10,1347.HK,2026-03-13,lite,deepseek-chat,"market,news,fundamentals",results\analysis\1347.HK_2026_0421_0012,,backtest\output\0421-0008-1347HK\reports\2026-0313-1347HK,backtest\output\0421-0008-1347HK\reports\2026-0313-1347HK\2_decision\summary.md,4,8,27702,8245,"**分析日期**  
2026-03-13  

**分析截面**  
基于2026年3月12日收盘后的技术、新闻与基本面数据综合判断。  

**截面价格**  
95.0 美元  

**趋势判断**  
风险主导  

**建议行动**  
建议卖出  

**1-2周核心判断**  
技术面显示中期趋势已明确转弱（价格跌破50日均线，MACD处于零轴下方，反弹量能不足），叠加宏观层面美伊军事冲突升级引发全球风险资产抛售与避险情绪高涨，而公司层面处于新闻真空期，无法提供基本面缓冲。当前下行风险、趋势破坏及负面催化已占优，应优先降低风险。  

**执行摘要**  
技术调整压力、宏观风险主导与基本面信息真空形成三重压制，短期趋势破坏且缺乏立即反转的催化剂，持仓者应优先减仓或止损以控制风险。  

**关键催化因素**  
1. 美伊冲突若快速缓和，可能带来市场情绪修复。  
2. 公司发布显著超预期的正面经营数据或产能爬坡信号。  

**关键风险**  
1. 宏观地缘政治风险持续，导致全球风险偏好恶化、港股流动性收缩。  
2. 技术面若反弹无法收复99.0-101.5阻力区，可能进一步下探支撑。  
3. 公司处于信息真空期，股价完全暴露于系统性风险之下。  

**入场方式**  
（基于已有持仓视角）在股价反弹至99.0-101.5阻力区附近减仓；若价格直接下跌，收盘有效跌破91.0支撑时应考虑进一步止损离场。  

**失效条件**  
1. 价格放量强势突破并站稳101.5美元以上，同时MACD回归零轴上方形成金叉。  
2. 美伊冲突出现确定性缓和信号，且港股市场风险偏好显著修复。  

**适合的场景**  
1. 持仓者需要执行止损纪律或锁定利润以控制下行风险。  
2. 投资者认为宏观风险将持续压制市场，优先降低仓位敞口。  

**不适合的场景**  
1. 长线投资者基于公司巨额现金储备及逆周期布局逻辑，愿意忍受短期波动且无仓位调整需求。  
2. 试图左侧抄底博弈反弹的短线交易（当前属于逆势操作，需快进快出并严控仓位）。  

**证据摘要**  
1. 技术面：价格已跌破50日均线（97.24），MACD处于负值区，RSI低于50，反弹量能不足，关键阻力在99.0-101.5。  
2. 新闻面：美伊军事冲突升级引发全球风险资产抛售、油价飙升，市场避险情绪主导；公司层面无任何利好新闻对冲。  
3. 基本面：公司2025财年呈现“会计亏损但经营现金流健康”的背离状态，短期盈利承压，缺乏1-3个月内盈利显著改善的催化剂。"
