trade_date,action,label,metric_name,metric_value_pct,note,report_path
2026-03-02,sell,good_case,avg_ret_3d_pct,-9.6812,卖出信号后价格下跌。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round06\reports\2513.HK\0422-0043-2513HK\reports\2026-0302-2513HK\2_decision\summary.md
2026-03-03,hold,bad_case,avg_ret_3d_pct,-5.3333,观望错过了明显行情。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round06\reports\2513.HK\0422-0043-2513HK\reports\2026-0303-2513HK\2_decision\summary.md
2026-03-04,hold,unclear,avg_ret_3d_pct,2.7146,后续波动中等，暂不适合直接判定观望对错。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round06\reports\2513.HK\0422-0043-2513HK\reports\2026-0304-2513HK\2_decision\summary.md
2026-03-05,sell,bad_case,avg_ret_3d_pct,14.7712,卖出信号后价格上涨。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round06\reports\2513.HK\0422-0043-2513HK\reports\2026-0305-2513HK\2_decision\summary.md
2026-03-06,hold,bad_case,avg_ret_3d_pct,17.5321,观望错过了明显行情。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round06\reports\2513.HK\0422-0043-2513HK\reports\2026-0306-2513HK\2_decision\summary.md
2026-03-09,sell,bad_case,avg_ret_3d_pct,13.6591,卖出信号后价格上涨。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round06\reports\2513.HK\0422-0043-2513HK\reports\2026-0309-2513HK\2_decision\summary.md
2026-03-10,hold,good_case,avg_ret_3d_pct,-1.7391,观望与后续横盘走势匹配。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round06\reports\2513.HK\0422-0043-2513HK\reports\2026-0310-2513HK\2_decision\summary.md
2026-03-11,sell,good_case,avg_ret_3d_pct,-13.1741,卖出信号后价格下跌。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round06\reports\2513.HK\0422-0043-2513HK\reports\2026-0311-2513HK\2_decision\summary.md
2026-03-12,sell,good_case,avg_ret_3d_pct,-3.9377,卖出信号后价格下跌。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round06\reports\2513.HK\0422-0043-2513HK\reports\2026-0312-2513HK\2_decision\summary.md
2026-03-13,sell,bad_case,avg_ret_3d_pct,18.1518,卖出信号后价格上涨。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round06\reports\2513.HK\0422-0043-2513HK\reports\2026-0313-2513HK\2_decision\summary.md
2026-03-16,hold,bad_case,avg_ret_3d_pct,27.2327,观望错过了明显行情。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round06\reports\2513.HK\0422-0043-2513HK\reports\2026-0316-2513HK\2_decision\summary.md
2026-03-17,hold,bad_case,avg_ret_3d_pct,11.9559,观望错过了明显行情。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round06\reports\2513.HK\0422-0043-2513HK\reports\2026-0317-2513HK\2_decision\summary.md
2026-03-18,hold,good_case,avg_ret_3d_pct,0.8045,观望与后续横盘走势匹配。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round06\reports\2513.HK\0422-0043-2513HK\reports\2026-0318-2513HK\2_decision\summary.md
2026-03-19,hold,bad_case,avg_ret_3d_pct,-15.8025,观望错过了明显行情。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round06\reports\2513.HK\0422-0043-2513HK\reports\2026-0319-2513HK\2_decision\summary.md
2026-03-20,hold,good_case,avg_ret_3d_pct,1.4163,观望与后续横盘走势匹配。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round06\reports\2513.HK\0422-0043-2513HK\reports\2026-0320-2513HK\2_decision\summary.md
2026-03-23,hold,bad_case,avg_ret_3d_pct,10.9701,观望错过了明显行情。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round06\reports\2513.HK\0422-0043-2513HK\reports\2026-0323-2513HK\2_decision\summary.md
2026-03-24,hold,bad_case,avg_ret_3d_pct,19.322,观望错过了明显行情。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round06\reports\2513.HK\0422-0043-2513HK\reports\2026-0324-2513HK\2_decision\summary.md
2026-03-25,hold,bad_case,avg_ret_3d_pct,6.1323,观望错过了明显行情。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round06\reports\2513.HK\0422-0043-2513HK\reports\2026-0325-2513HK\2_decision\summary.md
2026-03-26,hold,bad_case,avg_ret_3d_pct,-8.114,观望错过了明显行情。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round06\reports\2513.HK\0422-0043-2513HK\reports\2026-0326-2513HK\2_decision\summary.md
2026-03-27,hold,bad_case,avg_ret_3d_pct,14.1326,观望错过了明显行情。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round06\reports\2513.HK\0422-0043-2513HK\reports\2026-0327-2513HK\2_decision\summary.md
2026-03-30,hold,bad_case,avg_ret_3d_pct,19.1367,观望错过了明显行情。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round06\reports\2513.HK\0422-0043-2513HK\reports\2026-0330-2513HK\2_decision\summary.md
2026-03-31,hold,bad_case,avg_ret_3d_pct,15.4738,观望错过了明显行情。,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round06\reports\2513.HK\0422-0043-2513HK\reports\2026-0331-2513HK\2_decision\summary.md
