Date,Open,High,Low,Close,Volume,Amount
2026-01-20,232.0,232.2,197.5,207.4,2642614.0,551035837.5
2026-01-21,208.0,217.0,200.0,204.0,1707360.0,355601344.0
2026-01-22,209.6,209.6,196.1,202.6,1208921.0,243544528.9
2026-01-23,205.0,205.0,190.7,192.0,1317505.0,255874379.1
2026-01-26,192.0,224.2,185.0,217.0,3131935.0,649593298.9
2026-01-27,223.0,244.6,214.0,233.4,3321494.0,755432151.5
2026-01-28,233.2,233.2,221.0,228.0,1284174.0,290097410.9
2026-01-29,230.6,252.0,224.0,227.0,2974195.0,714333331.6
2026-01-30,228.0,234.8,216.6,226.2,1156013.0,262045593.8
2026-02-02,226.2,246.6,219.0,224.6,1791910.0,415170249.0
2026-02-03,230.0,253.0,229.8,243.2,2544481.0,615961278.7
2026-02-04,235.0,237.0,222.2,227.2,1116794.0,254093542.4
2026-02-05,222.6,231.0,210.6,216.2,938707.0,205553131.4
2026-02-06,207.0,208.6,198.0,203.2,1177111.0,238538199.2
2026-02-09,214.0,287.8,214.0,276.8,4530724.0,1156264678.7
2026-02-10,278.0,344.0,277.4,317.8,3427046.0,1084580181.278
2026-02-11,333.0,354.0,306.8,312.4,3120272.0,1027235099.7
2026-02-12,339.8,443.0,318.8,402.0,6813071.0,2647569588.0
2026-02-13,422.0,496.0,408.0,485.0,5238296.0,2440624380.8
2026-02-16,522.0,540.0,460.0,508.0,3656614.0,1797178082.3
2026-02-20,534.0,725.0,532.5,725.0,5266887.0,3241357670.4
2026-02-23,625.0,672.5,540.0,560.0,5397566.0,3169664874.2
2026-02-24,575.5,698.0,525.0,628.0,5089620.0,3155070873.7
2026-02-25,591.0,666.0,555.5,560.5,2819983.0,1676907101.8
2026-02-26,580.5,600.0,553.0,556.5,1858203.0,1071155071.5
2026-02-27,540.0,592.0,482.0,575.0,3914912.0,2105830806.4
2026-03-02,550.5,610.0,544.0,550.0,1719691.0,982361996.5
2026-03-03,568.0,625.0,526.5,528.0,4402599.0,2531679796.5
2026-03-04,534.0,578.0,500.0,510.0,2355798.0,1265909013.0
2026-03-05,526.0,551.5,497.0,520.0,2023341.0,1045633812.9
2026-03-06,509.0,553.5,505.0,532.0,1380878.0,743317672.5
2026-03-09,513.0,583.0,481.2,575.0,4377154.0,2317754255.0
2026-03-10,648.0,697.0,587.0,649.0,7467565.0,4783106337.5
2026-03-11,629.0,708.0,600.0,609.5,4619682.0,2988728068.3
2026-03-12,625.0,633.5,545.5,555.5,3103968.0,1801864171.5
2026-03-13,551.5,582.0,519.0,530.0,3044232.0,1665429150.0
2026-03-16,545.0,615.0,543.5,605.0,3778080.0,2214881385.7
2026-03-17,609.0,639.5,593.5,621.5,2314464.0,1431967389.4
2026-03-18,625.0,765.0,624.0,742.5,4439353.0,3108176749.17
2026-03-19,710.0,738.0,646.0,659.0,2511730.0,1717849632.5
2026-03-20,683.0,690.0,615.0,630.5,1980638.0,1278106890.1
2026-03-23,600.0,633.5,571.0,590.0,1783482.0,1065006076.2
2026-03-24,618.0,655.0,595.0,655.0,1821358.0,1144328257.18
2026-03-25,685.0,760.0,663.0,760.0,3312577.0,2345635446.6
2026-03-26,780.0,790.0,683.0,684.0,1879730.0,1359011092.1
2026-03-27,684.0,696.0,641.5,668.0,1687128.0,1123012212.0
2026-03-30,650.5,750.0,642.5,733.5,1862526.0,1318398296.0
2026-03-31,720.0,755.0,672.0,693.5,1510602.0,1059920638.5
2026-04-01,797.5,938.0,797.5,915.0,5671600.0,4981476639.7
2026-04-02,891.5,900.0,764.0,779.0,3129684.0,2484312752.35
2026-04-08,895.0,925.0,837.0,868.5,2786329.0,2478758148.5
2026-04-09,897.5,999.0,862.0,929.5,2582505.0,2441152218.25
2026-04-10,958.0,970.0,918.0,936.0,1309480.0,1235766579.0
2026-04-13,945.0,1005.0,922.0,957.5,1485429.0,1431440548.0
2026-04-14,980.0,1010.0,937.0,948.0,1255461.0,1220986176.0
2026-04-15,976.0,982.0,825.0,867.0,2201225.0,1923477344.2
2026-04-16,853.0,919.0,839.0,883.0,1218511.0,1086358657.693
2026-04-17,880.0,911.0,860.0,891.0,858535.0,759672422.0
2026-04-20,896.0,1030.0,895.0,975.0,2074290.0,2013329243.11
2026-04-21,976.5,979.5,895.0,950.0,1119726.0,1037012346.05
2026-04-22,937.5,1029.0,927.5,986.0,1368849.0,1361950814.0
2026-04-23,1010.0,1078.0,984.5,1028.0,1627930.0,1672357510.18
2026-04-24,1031.0,1076.0,896.0,935.0,3082522.0,2959803426.2
