Date,Open,High,Low,Close,Volume,Amount
2026-03-02,41.73,47.03,39.3,46.32,13494415,585834414.83
2026-03-03,41.82,42.44,36.58,41.76,13429579,530675145.73
2026-03-04,44.98,45.5,37.11,39.13,11175809,440992896.94
2026-03-05,38.19,40.39,36.71,38.79,6438031,248824754.16
2026-03-06,36.5,40.0,32.26,32.37,9909692,356299071.44
2026-03-09,33.35,38.94,31.55,38.56,8660262,312593888.94
2026-03-10,39.97,46.8,39.85,44.3,14525016,650009107.22
2026-03-11,43.51,47.94,41.65,47.36,11187075,508750067.82
2026-03-12,46.58,50.97,44.38,46.73,11952930,569627636.79
2026-03-13,47.02,51.98,46.9,48.86,10703911,534880822.9
2026-03-16,51.45,52.7,44.87,48.39,11318375,550655977.9
2026-03-17,45.24,48.04,43.6,44.36,9977750,451109982.03
2026-03-18,47.0,51.48,46.27,48.76,9256375,456087486.33
2026-03-19,45.8,58.13,45.5,58.09,10757969,564480337.12
2026-03-20,59.79,60.74,52.7,54.24,10855083,598078209.44
2026-03-23,55.29,65.24,53.23,64.44,13973583,859920352.18
2026-03-24,63.77,70.69,63.51,68.44,13681934,935468005.05
2026-03-25,67.26,70.88,64.52,67.35,8415582,567992850.68
2026-03-26,65.18,67.68,58.02,58.51,10184602,632947624.09
2026-03-27,61.2,64.97,58.7,60.63,7977434,491592577.75
2026-03-30,64.8,71.49,49.31,52.73,20986235,1149852667.6
2026-03-31,54.26,57.8,50.21,56.98,15471415,844097241.69
2026-04-01,58.8,60.45,46.87,47.14,21166508,1093275538.01
2026-04-02,44.52,53.0,42.1,52.84,15938043,769066278.21
2026-04-06,49.37,49.59,39.7,41.99,21202465,916304894.47
2026-04-07,42.7,45.65,41.72,45.46,15010645,658862331.05
