ticker,trade_date,action,trend_judgment,scenario_type,primary_driver,trend_integrity,risk_state,reference_price,reference_price_text,entry_style,entry_zone_low,entry_zone_high,invalidation_price,invalidation_texts,report_path
AAOI,2026-03-02,hold,震荡等待确认,公司催化趋势型,公司催化主导,完整,风险与机会拉锯,84.23,84.23美元,当前不急于参与。若未来价格能有效回调至53-65美元关键支撑区域（对应缺口上沿及短期均线）并出现企稳迹象，可重新评估做多机会。若价格放量突破84.31美元前高并站稳，则表明强势延续，但追高风险依然很大。,53.0,65.0,42.82,['对于潜在的多头策略，失效条件是价格跌破并持续运行于50日SMA（当前约42.82美元，动态上移）下方，表明上涨动能可能衰竭。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round21\reports\AAOI\0423-1100-AAOI\reports\2026-0302-AAOI\2_decision\summary.md
AAOI,2026-03-03,hold,震荡等待确认,公司催化趋势型,公司催化主导,完整,风险与机会拉锯,102.51,102.51美元,当前保持观望。若未来价格能回调至56-70美元强支撑区域（前期平台与10日EMA），并出现企稳、波动率收敛、RSI回落至中性区域等信号，可考虑分批布局。或等待价格放量突破110美元前高并站稳，作为趋势再加速的信号。,56.0,70.0,44.0,['1. 价格放量跌破44美元（50日SMA）并无法快速收回，可能意味着中期趋势转弱。2. 若价格在未经历充分回调的情况下，于当前高位（如90美元以上）持续横盘后转而向下破位，需警惕多头动能衰竭。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round21\reports\AAOI\0423-1100-AAOI\reports\2026-0303-AAOI\2_decision\summary.md
AAOI,2026-03-04,buy_on_pullback,趋势延续,公司催化趋势型,公司催化主导,完整,风险与机会拉锯,95.34,95.34美元,等待价格回调至关键支撑区域企稳后参与。重点关注两个区间：1. 回踩10日EMA（76.1美元附近）并出现企稳信号。2. 更深度的回调至中期平台支撑56.3-58.1美元区域。,56.3,58.1,65.57,['1. 价格放量跌破2月27日跳空缺口下沿（约65.57美元）并无法快速收回。2. 50日SMA（约45.6美元）被有效跌破且无法修复。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round21\reports\AAOI\0423-1100-AAOI\reports\2026-0304-AAOI\2_decision\summary.md
AAOI,2026-03-05,hold,震荡等待确认,公司催化趋势型,公司催化主导,完整,风险与机会拉锯,99.71,99.71美元,当前不急于参与。若未来价格能放量突破并站稳110美元关键阻力，可考虑趋势延续的跟进机会；或等待价格深度回调至80-85美元（10日EMA）或65-70美元（突破启动点）区域，并出现成交量萎缩、指标修复等企稳信号后，再评估做多机会。,80.0,85.0,65.0,['对于潜在多头机会，失效条件为价格日线收盘跌破65美元（本轮暴涨的突破起点），这意味着上涨趋势可能被证伪。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round21\reports\AAOI\0423-1100-AAOI\reports\2026-0305-AAOI\2_decision\summary.md
AAOI,2026-03-06,buy_on_pullback,趋势延续,公司催化趋势型,公司催化主导,完整,风险与机会拉锯,101.14,101.14美元,等待价格回调至关键支撑区域分批参与。重点关注两个区间：1. 92.00-93.80美元（近期震荡区间下沿）；2. 83.00-85.00美元（10日EMA与突破缺口支撑）。,92.0,93.8,83.0,['日线收盘价有效跌破83.00美元（跌破10日EMA及巨量阳线起点），则短期强势结构破坏，上涨逻辑需重新评估。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round21\reports\AAOI\0423-1100-AAOI\reports\2026-0306-AAOI\2_decision\summary.md
AAOI,2026-03-09,hold,震荡等待确认,公司催化趋势型,公司催化主导,边际走弱,风险与机会拉锯,95.58,95.58美元,当前不急于参与。若未来股价能回调至80-85美元支撑区域并伴随波动率下降、成交量萎缩企稳，可重新评估做多机会。若放量突破前高114.63美元，则趋势可能重新加速，但突破前仍需观望。,80.0,85.0,80.0,['对于潜在多头而言，入场失效条件为：1. 股价放量跌破80美元关键支撑区并无法快速收回。2. 股价未能企稳于50日移动平均线（约49.52美元）之上，趋势结构破坏。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round21\reports\AAOI\0423-1100-AAOI\reports\2026-0309-AAOI\2_decision\summary.md
AAOI,2026-03-10,buy_on_pullback,趋势延续,公司催化趋势型,公司催化主导,完整,风险与机会拉锯,110.62,110.62美元,等待价格回调至84.00-95.00美元支撑区间（重点关注84.23美元突破位及94.18美元10日EMA附近），出现缩量企稳信号后分批参与。,84.0,95.0,84.0,['日线收盘价有效跌破84.00美元关键支撑位，且MACD出现高位死叉，则上涨趋势可能阶段性破坏，多头逻辑失效。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round21\reports\AAOI\0423-1100-AAOI\reports\2026-0310-AAOI\2_decision\summary.md
AAOI,2026-03-11,buy_on_pullback,趋势延续,公司催化趋势型,公司催化主导,完整,风险与机会拉锯,120.49,120.49美元,等待回调至关键支撑区域企稳后参与。重点关注两个区域：1. 强势整理区间110.00-112.00美元附近出现企稳信号。2. 更深回调至95.00-100.00美元强支撑区域（包含10日EMA及前期密集成交区），并观察是否出现缩量及指标修复（如RSI回落）。,110.0,112.0,95.0,['价格放量跌破95.00美元关键支撑区域，且无法在3个交易日内收回，同时10日EMA拐头向下。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round21\reports\AAOI\0423-1100-AAOI\reports\2026-0311-AAOI\2_decision\summary.md
AAOI,2026-03-12,buy_on_pullback,趋势延续,公司催化趋势型,公司催化主导,完整,风险与机会拉锯,127.01,127.01美元,等待价格回调至关键支撑区域分批参与。第一档：110-112美元区间（近期突破位）。第二档：95-99美元区间（强支撑与缺口区域）。入场需配合价格在支撑位企稳的信号。,110.0,112.0,95.0,['收盘价有效跌破95美元（强支撑区下沿），且10日EMA拐头向下，可能意味着本轮趋势性上涨结束，需止损。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round21\reports\AAOI\0423-1100-AAOI\reports\2026-0312-AAOI\2_decision\summary.md
AAOI,2026-03-13,hold,震荡等待确认,公司催化趋势型,多因素混合主导,完整,风险与机会拉锯,106.19,106.19美元,当前不急于建立新仓位。若未来价格能有效回调至80.00-95.00美元关键支撑区域并出现企稳信号，可重新评估做多机会。若价格放量突破128.96美元前高，则表明融资利空被完全消化，趋势可能重新加速。,80.0,95.0,55.51,['对于多头观点，失效条件是价格有效跌破50日移动平均线（当前约55.51美元）并无法快速收回，这可能意味着中期上升趋势被破坏。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round21\reports\AAOI\0423-1100-AAOI\reports\2026-0313-AAOI\2_decision\summary.md
