ticker,trade_date,action,status,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,reference_price,entry_style,entry_zone_low,entry_zone_high,invalidation_price,quantity,exit_signal_date,exit_signal_action,report_path
AXTI,2026-03-02,buy_on_pullback,triggered,2026-03-06,34.8,2026-03-09,32.0,stop_loss,3.0,-8.046,37.9,等待价格回调至34.80-32.00美元区间（10日EMA及前期平台支撑），出现缩量企稳或看涨反转K线形态时分批介入。,32.0,34.8,32.0,1,,,backtest\output\0420-1455-AXTI\reports\2026-0302-AXTI\2_decision\summary.md
AXTI,2026-03-03,buy_on_pullback,expired,,,,,entry_not_triggered,,,46.32,分批买入：,,,28.0,1,,,backtest\output\0420-1455-AXTI\reports\2026-0303-AXTI\2_decision\summary.md
AXTI,2026-03-04,hold,skipped,,,,,action_hold,,,41.76,当前不急于参与。未来若转多，需同时满足：①地缘政治风险缓和；②价格回调至33.00-37.00美元区间并出现企稳信号；③成交量配合放大。,33.0,37.0,28.0,1,,,backtest\output\0420-1455-AXTI\reports\2026-0304-AXTI\2_decision\summary.md
AXTI,2026-03-05,sell,skipped,,,,,action_sell_no_position,,,39.13,（持仓视角）逢反弹减仓：若价格反弹至41.00-42.50美元阻力区域遇阻，可分批减仓；若直接跌破37.00美元支撑，应考虑进一步止损。,41.0,42.5,,1,,,backtest\output\0420-1455-AXTI\reports\2026-0305-AXTI\2_decision\summary.md
AXTI,2026-03-06,hold,skipped,,,,,action_hold,,,38.79,当前不急于参与。未来若转多，需观察：1）价格在36-37美元区域缩量企稳并重新站稳10日EMA；2）宏观风险缓和后板块整体反弹。,36.0,37.0,36.0,1,,,backtest\output\0420-1455-AXTI\reports\2026-0306-AXTI\2_decision\summary.md
AXTI,2026-03-09,hold,skipped,,,,,action_hold,,,32.37,当前不急于参与。未来若转多，需观察：1）价格在28.50-29.70美元区域出现企稳缩量信号；或2）放量突破36.60美元并站稳。,28.5,29.7,28.4,1,,,backtest\output\0420-1455-AXTI\reports\2026-0309-AXTI\2_decision\summary.md
AXTI,2026-03-10,hold,skipped,,,,,action_hold,,,38.56,当前不急于参与。未来若转多，需满足以下条件之一：,,,,1,,,backtest\output\0420-1455-AXTI\reports\2026-0310-AXTI\2_decision\summary.md
AXTI,2026-03-11,buy_on_pullback,triggered,2026-04-06,40.0,2026-04-07,45.46,window_end,1.0,13.65,44.3,等待价格回调至 **37.00-40.00美元** 支撑区间（涵盖密集成交区与10日EMA）企稳后，分批轻仓介入。,37.0,40.0,32.0,1,,,backtest\output\0420-1455-AXTI\reports\2026-0311-AXTI\2_decision\summary.md
AXTI,2026-03-12,buy_on_pullback,expired,,,,,entry_not_triggered,,,47.36,等待价格回调至37.00-38.00美元区域（前期成交密集区）企稳后分批买入；或等待放量突破47.94美元前高后轻仓追进。,37.0,38.0,32.37,1,,,backtest\output\0420-1455-AXTI\reports\2026-0312-AXTI\2_decision\summary.md
AXTI,2026-03-13,buy_on_pullback,triggered,2026-04-02,42.41,2026-04-07,45.46,window_end,5.0,7.1917,46.73,回调至37.11-42.41美元支撑区间内企稳后分批买入。,37.11,42.41,32.26,1,,,backtest\output\0420-1455-AXTI\reports\2026-0313-AXTI\2_decision\summary.md
AXTI,2026-03-16,buy_on_pullback,expired,,,,,entry_not_triggered,,,48.86,分批买入，关注两个支撑区间：,,,36.0,1,,,backtest\output\0420-1455-AXTI\reports\2026-0316-AXTI\2_decision\summary.md
AXTI,2026-03-17,buy_on_pullback,triggered,2026-04-02,44.3,2026-04-07,45.46,window_end,5.0,2.6185,48.39,回调至 **44.30-39.13美元** 区间（重点关注44.30美元附近及38.56美元附近），出现缩量企稳信号后分批介入。,39.13,44.3,38.56,1,,,backtest\output\0420-1455-AXTI\reports\2026-0317-AXTI\2_decision\summary.md
AXTI,2026-03-18,hold,skipped,,,,,action_hold,,,44.36,当前不急于参与。未来若转多，需观察：1）价格在39-41美元或35-36美元支撑带出现企稳信号且成交量放大；或 2）价格放量突破并站稳51.98美元。,39.0,41.0,44.58,1,,,backtest\output\0420-1455-AXTI\reports\2026-0318-AXTI\2_decision\summary.md
AXTI,2026-03-19,hold,skipped,,,,,action_hold,,,48.76,当前不急于参与。未来若转多，需观察：1. 宏观情绪稳定；2. 价格有效突破52.70美元阻力，或回调至38.50-44.00美元支撑区域并出现企稳迹象。,38.5,44.0,,1,,,backtest\output\0420-1455-AXTI\reports\2026-0319-AXTI\2_decision\summary.md
AXTI,2026-03-20,buy_on_pullback,expired,,,,,pre_entry_invalidation,,,58.09,等待价格回调至支撑区间企稳后分批参与：,,,44.36,1,,,backtest\output\0420-1455-AXTI\reports\2026-0320-AXTI\2_decision\summary.md
AXTI,2026-03-23,buy_on_pullback,triggered,2026-03-30,51.27,2026-04-02,44.36,stop_loss,3.0,-13.4777,54.24,回调至48.34-51.27美元支撑区域（重点关注10日EMA 51.27美元附近），出现缩量企稳信号（如小K线、RSI回落至中性）后分批买入。若回调更深，可关注44.36美元（布林中轨）强支撑。,48.34,51.27,44.36,1,,,backtest\output\0420-1455-AXTI\reports\2026-0323-AXTI\2_decision\summary.md
AXTI,2026-03-24,buy_on_pullback,triggered,2026-03-30,54.4,2026-04-01,48.0,stop_loss,2.0,-11.7647,64.44,等待价格回调至 **48.00-54.40美元** 支撑区间企稳后分批买入。,48.0,54.4,48.0,1,,,backtest\output\0420-1455-AXTI\reports\2026-0324-AXTI\2_decision\summary.md
AXTI,2026-03-25,sell,skipped,,,,,action_sell_no_position,,,68.44,（持仓视角）,,,,1,,,backtest\output\0420-1455-AXTI\reports\2026-0325-AXTI\2_decision\summary.md
AXTI,2026-03-26,sell,skipped,,,,,action_sell_no_position,,,67.35,（基于已有持仓视角）逢反弹减仓或全部清仓锁定利润。若持仓，可将止损位设于54.24美元（3月20日低点）下方，跌破则大幅减仓。,,,,1,,,backtest\output\0420-1455-AXTI\reports\2026-0326-AXTI\2_decision\summary.md
AXTI,2026-03-27,sell,skipped,,,,,action_sell_no_position,,,58.51,（持仓视角）逢反弹减仓或现价止损。可考虑在价格反弹至65-68美元阻力区域部分止盈；若跌破54.24美元关键支撑，应剩余仓位全部撤离。,65.0,68.0,,1,,,backtest\output\0420-1455-AXTI\reports\2026-0327-AXTI\2_decision\summary.md
AXTI,2026-03-30,buy_on_pullback,expired,,,,,pre_entry_invalidation,,,60.63,分批回调买入：,,,50.0,1,,,backtest\output\0420-1455-AXTI\reports\2026-0330-AXTI\2_decision\summary.md
AXTI,2026-03-31,hold,skipped,,,,,action_hold,,,52.73,当前不急于参与。未来若转多，需观察价格在关键支撑区域（如50.00-52.00美元）出现企稳信号（例如小周期K线反转形态、成交量萎缩），或放量突破近期阻力（如57美元附近的10日EMA）。,50.0,52.0,35.64,1,,,backtest\output\0420-1455-AXTI\reports\2026-0331-AXTI\2_decision\summary.md
AXTI,2026-04-01,hold,skipped,,,,,action_hold,,,56.98,当前不急于参与。未来若转多，需观察：1) 价格在50.00-52.70美元区域企稳并伴随成交量收缩后再次放大；或 2) 放量突破65.25美元阻力。,50.0,52.7,50.0,1,,,backtest\output\0420-1455-AXTI\reports\2026-0401-AXTI\2_decision\summary.md
AXTI,2026-04-02,hold,skipped,,,,,action_hold,,,47.14,当前不急于参与。未来若转多，需满足：1）价格回调至36.00-37.00美元或42.00-43.00美元区间并出现缩量止跌、看涨K线或RSI底背离；2）放量突破54.00-55.00美元阻力区（10日EMA）。,36.0,37.0,36.0,1,,,backtest\output\0420-1455-AXTI\reports\2026-0402-AXTI\2_decision\summary.md
AXTI,2026-04-06,hold,skipped,,,,,action_hold,,,52.84,当前不急于参与。若未来转为做多，需观察：1）价格在47.00-48.50美元区域出现缩量企稳及指标底背离；或2）放量突破65.00-66.00美元阻力区并站稳。,47.0,48.5,42.0,1,,,backtest\output\0420-1455-AXTI\reports\2026-0406-AXTI\2_decision\summary.md
AXTI,2026-04-07,sell,no_data,,,,,no_future_bars,,,41.99,（基于已有持仓视角）,,,37.0,1,,,backtest\output\0420-1455-AXTI\reports\2026-0407-AXTI\2_decision\summary.md
