ticker,trade_date,action,reference_price,reference_price_text,entry_style,entry_zone_low,entry_zone_high,invalidation_price,invalidation_texts,report_path
1347.HK,2026-03-02,sell,96.75,96.75 美元,（基于已有持仓视角）,,,,"['（卖出建议的失效条件，即风险缓解信号）', '1. 宏观面：中东冲突快速缓和，且全球风险资产（尤其美股半导体板块）企稳反弹。', '2. 技术面：股价在93.65美元上方强势企稳，并放量收复98.32美元（10日EMA）。', '适合的场景**', '- 持仓者进行风险控制，降低组合波动。', '- 规避系统性风险、短期波动率较高的环境。', '不适合的场景**', '- 无持仓者试图左侧抄底。', '- 仅基于长期基本面逻辑而忽视短期宏观与技术面风险。', '证据摘要**', '1. 技术面：短期趋势转空（价格低于10日EMA，MACD负值），正测试关键支撑93.65；若破位则中期结构转弱。', '2. 新闻面：宏观黑天鹅事件（美伊冲突升级）主导市场情绪，半导体板块面临系统性抛压。', '3. 基本面：公司虽现金充裕，但行业周期下行、盈利承压，短期无法对冲宏观风险。', '4. 综合结论：风险因素（宏观冲击+技术破位风险）已占主导，优先考虑防守。']",backtest\output\0421-0008-1347HK\reports\2026-0302-1347HK\2_decision\summary.md
1347.HK,2026-03-03,sell,92.95,92.95港元,（基于已有持仓视角）利用任何向94.0-94.5港元（50日均线附近）的反弹减仓或离场；若股价直接跌破90.0港元，应考虑止损。,94.0,94.5,90.0,"['股价放量强势突破并站稳100.0-101.5港元阻力区，且宏观风险情绪显著缓解，则短期下行趋势可能被逆转。', '适合的场景**', '投资者需要执行止损纪律、降低组合风险暴露或进行避险操作。', '不适合的场景**', '试图抄底、基于长期基本面进行逆向投资、或无法承受高波动。', '证据摘要**', '1.  **宏观/新闻**：美伊军事冲突骤然升级，全球风险偏好急剧恶化，构成强烈负面宏观冲击。', '2.  **技术**：股价跌破50日均线，MACD下穿零轴，RSI走弱，短期趋势明确向下，正测试90.0-88.7港元支撑区。', '3.  **基本面**：公司处于经营性亏损状态，毛利率仅11.8%，缺乏短期盈利催化剂，无法抵御系统性风险。']",backtest\output\0421-0008-1347HK\reports\2026-0303-1347HK\2_decision\summary.md
1347.HK,2026-03-04,sell,87.8,87.8 美元,（针对已有持仓）,,,80.8,"['1. 地缘政治风险迅速缓和，且股价放量强势突破95.0美元并站稳。', '2. 价格在80.8-83.5美元关键支撑区域出现明确企稳反转信号（如长下影线、晨星形态），并伴随成交量显著放大。', '适合的场景**', '1. 持仓者需要执行风险控制、降低仓位。', '2. 风险厌恶型投资者规避短期高波动环境。', '不适合的场景**', '1. 试图在当前价位抄底或博取短线反弹。', '2. 基于长期基本面逻辑进行逆向建仓（短期时机不佳）。', '证据摘要**', '1. **技术面**：价格已跌破50日SMA，MACD零轴下方加速下行，呈现“高点下移、低点下移”的下跌结构。', '2. **宏观面**：美伊军事冲突升级推高全球风险溢价，引发科技股无差别抛售。', '3. **基本面**：公司短期盈利能见度低，虽现金充裕但无法抵消短期市场情绪冲击。', '4. **报告共识**：技术报告结论为“风险大于机会，以防御观望为主”；新闻报告结论为“短期偏空，建议谨慎观望”；基本面报告虽提示长期价值，但明确短期盈利困境。']",backtest\output\0421-0008-1347HK\reports\2026-0304-1347HK\2_decision\summary.md
1347.HK,2026-03-05,sell,86.25,86.25 港元,（已有持仓视角）,,,,"['1. 价格放量回升并连续三日站稳10日EMA（约93.0港元）上方，且MACD绿柱显著收敛。', '2. 公司突发重大利好公告（如毛利率显著改善、大客户订单），驱动价格强势反转。', '适合的场景**', '- 持仓者进行风险控制，降低仓位暴露。', '- 短线交易者利用反弹阻力位减仓。', '不适合的场景**', '- 左侧抄底或新建多头仓位。', '- 基于长期现金流价值而忽视短期趋势破坏的持仓。', '证据摘要**', '1. 技术面：价格跌破50日/10日均线，MACD死叉且绿柱扩大，RSI弱势，布林带下轨被击穿，呈现放量下跌结构。', '2. 基本面：2025财年毛利率仅11.8%，经营亏损，盈利可见度低；虽现金流健康，但短期无法抵消趋势恶化。', '3. 新闻面：公司处于新闻静默期，无自身催化剂；宏观地缘冲突升级压制风险偏好，港股流动性承压。']",backtest\output\0421-0008-1347HK\reports\2026-0305-1347HK\2_decision\summary.md
1347.HK,2026-03-06,sell,87.25,87.25 美元,（持仓者视角）利用向95-97阻力区域（50日SMA及前期密集区）的反弹进行减仓；若价格直接跌破85.15，应考虑止损撤离。,95.0,97.0,85.15,"['1. 价格放量突破并站稳100-102.80阻力区，中期下跌结构被破坏。', '2. 公司发布重大利好公告，驱动价格强势反转并收复95.25以上。', '适合的场景**', '1. 持仓者执行风险控制、降低仓位。', '2. 看空短期技术走势的波段交易。', '3. 等待更低位布局的长线投资者（需耐心观望）。', '不适合的场景**', '1. 试图抄底或逆势博反弹的短线交易。', '2. 基于宏观暖风而忽视个股技术破位的买入。', '3. 期待短期盈利催化驱动的快速上涨。', '证据摘要**', '1. 技术面：价格跌破所有短期均线，MACD死叉且绿柱扩大，RSI弱势无背离，关键支撑85.15-86.25受考验。', '2. 基本面：2025财年主营业务亏损，毛利率仅11.8%，盈利依赖政府补助等非经营收入，短期缺乏改善催化剂。', '3. 宏观与信息面：宏观政策偏暖但公司层面新闻真空，无法形成直接利好；技术破位与信息缺失叠加，风险收益比恶化。']",backtest\output\0421-0008-1347HK\reports\2026-0306-1347HK\2_decision\summary.md
1347.HK,2026-03-09,hold,88.0,88.0 美元,当前不急于参与。未来转多需观察：1）价格在84.66-86.25支撑区域出现明显缩量企稳信号（如日线收盘站稳86.25上方）；2）放量突破10日EMA（约91.37）并站稳。,84.66,86.25,,"['（不适用于“保持观望”）', '适合的场景**', '1. 长线投资者等待更明确的行业周期拐点与公司毛利率改善信号。', '2. 短线交易者等待宏观风险缓和后的技术反弹机会。', '不适合的场景**', '1. 试图抄底博弈短期反转。', '2. 在宏观风险未缓解前基于长期逻辑进行左侧大笔建仓。', '证据摘要**', '1. 技术面：价格跌破所有中短期均线，MACD与RSI显示空头动量强劲，但接近布林带下轨支撑。', '2. 宏观面：地缘冲突导致油价暴涨，风险偏好恶化，且无公司层面利好对冲。', '3. 基本面：公司盈利承压但现金流充裕、资产负债表健康，提供长期安全边际，但短期无法抵消宏观与技术面压力。', '4. 综合结论：多空因素拉扯，缺乏可执行的入场方案，需等待企稳或风险缓和信号确认。']",backtest\output\0421-0008-1347HK\reports\2026-0309-1347HK\2_decision\summary.md
1347.HK,2026-03-10,sell,87.3,87.30 美元,已有持仓者应利用向10日EMA（约91.24美元）或96.0-97.0阻力区域的反弹机会减仓。严格止损可设置在80.40美元下方。,96.0,97.0,,['价格放量突破并站稳96.0美元（50日SMA）以上，且MACD形成金叉，则短期下跌趋势可能被扭转，需重新评估。'],backtest\output\0421-0008-1347HK\reports\2026-0310-1347HK\2_decision\summary.md
1347.HK,2026-03-11,sell,90.65,90.65 美元,（基于已有持仓视角）,,,1.0,"['1. 价格放量突破并站稳102.50-105.50美元区域，同时MACD回归零轴上方形成金叉。', '2. 美伊冲突迅速缓和，且公司发布重大利好，推动价格强势反转。', '适合的场景**', '1. 持仓者进行风险敞口管理。', '2. 风险厌恶型投资者规避不确定性。', '不适合的场景**', '1. 试图左侧抄底或博取反弹。', '2. 基于长期基本面布局（短期宏观风险压倒长期逻辑）。', '证据摘要**', '1. 技术：价格低于10日EMA（91.33）及50日SMA（96.46），MACD负值，RSI中性偏弱，显示空头格局。', '2. 新闻：美伊冲突升级推升全球避险情绪，公司层面无任何正面新闻对冲。', '3. 基本面：短期盈利承压，毛利率仅约11.8%，依赖非经常性收入，缺乏1-3个月内估值修复催化剂。']",backtest\output\0421-0008-1347HK\reports\2026-0311-1347HK\2_decision\summary.md
1347.HK,2026-03-12,sell,91.75,91.75 美元,（基于已有持仓视角）利用任何向关键阻力位（96.50-97.00美元区域）的反弹进行减仓。若股价直接走弱，应考虑在收盘价有效跌破87.50美元支撑时止损撤离。,96.5,97.0,96.5,"['1. 美伊冲突在1-2周内出现明确、可信的缓和迹象，且全球风险资产V型反弹。', '2. 股价放量强势突破并站稳50日均线（96.50美元以上），中期趋势修复信号得到确认。', '适合的场景**', '1. 持仓者需要执行风险控制、降低仓位。', '2. 市场处于宏观风险主导的避险环境，需优先保存本金。', '不适合的场景**', '1. 试图逆势抄底或进行左侧布局。', '2. 仅基于长期基本面逻辑而忽略短期系统性风险。', '证据摘要**', '1. **宏观风险主导**：新闻报告明确指出，美伊冲突升级是“强烈负面”事件，导致全球风险溢价飙升，港股面临系统性抛压。', '2. **技术趋势破坏**：技术报告确认中期趋势已破坏（股价低于下行中的50日与10日均线），且当前更接近“中期调整”而非趋势启动点。', '3. **基本面无法对冲短期风险**：基本面报告显示公司短期盈利能见度低，虽财务稳健，但无法抵消宏观冲击。', '4. **交易建议一致指向防守**：技术报告建议持仓者在阻力位减仓；新闻报告建议“观望或谨慎偏空”，并提示在宏观风险前技术面可能失效。']",backtest\output\0421-0008-1347HK\reports\2026-0312-1347HK\2_decision\summary.md
1347.HK,2026-03-13,sell,95.0,95.0 美元,（基于已有持仓视角）在股价反弹至99.0-101.5阻力区附近减仓；若价格直接下跌，收盘有效跌破91.0支撑时应考虑进一步止损离场。,99.0,101.5,99.0,"['1. 价格放量强势突破并站稳101.5美元以上，同时MACD回归零轴上方形成金叉。', '2. 美伊冲突出现确定性缓和信号，且港股市场风险偏好显著修复。', '适合的场景**', '1. 持仓者需要执行止损纪律或锁定利润以控制下行风险。', '2. 投资者认为宏观风险将持续压制市场，优先降低仓位敞口。', '不适合的场景**', '1. 长线投资者基于公司巨额现金储备及逆周期布局逻辑，愿意忍受短期波动且无仓位调整需求。', '2. 试图左侧抄底博弈反弹的短线交易（当前属于逆势操作，需快进快出并严控仓位）。', '证据摘要**', '1. 技术面：价格已跌破50日均线（97.24），MACD处于负值区，RSI低于50，反弹量能不足，关键阻力在99.0-101.5。', '2. 新闻面：美伊军事冲突升级引发全球风险资产抛售、油价飙升，市场避险情绪主导；公司层面无任何利好新闻对冲。', '3. 基本面：公司2025财年呈现“会计亏损但经营现金流健康”的背离状态，短期盈利承压，缺乏1-3个月内盈利显著改善的催化剂。']",backtest\output\0421-0008-1347HK\reports\2026-0313-1347HK\2_decision\summary.md
