ticker,trade_date,action,reference_price,reference_price_text,entry_style,entry_zone_low,entry_zone_high,invalidation_price,invalidation_texts,report_path
2513.HK,2026-03-02,sell,575.0,575.0港元,（基于已有持仓视角）考虑逢反弹减仓或止损。可参考技术阻力位（如670-700港元区域）进行部分获利了结；若价格有效跌破短期关键支撑位（如480港元），应考虑进一步减仓或撤离。,670.0,700.0,1.0,"['地缘政治危机在未来1-2周内出现超预期的快速、确定性缓和，且全球风险偏好V型反转。', '价格不仅未跌破480港元支撑，反而放量强势突破725港元历史前高，并带动MACD形成二次金叉。（此情景概率极低）', '12. **适合的场景**', '已持仓、风险承受能力较强的投资者，执行风险控制、降低仓位。', '寻求利用高波动性进行对冲或反向交易的短线交易者。', '13. **不适合的场景**', '无持仓投资者新建多头仓位。', '价值投资者、收入型投资者或风险厌恶型投资者进行任何参与。', '14. **证据摘要**', '**宏观**：美伊冲突升级，原油黄金暴涨，全球进入避险模式，直接提升港股科技股风险溢价。', '**技术**：价格自历史高位725港元回落，RSI从91.44快速跌至63.23，MACD高位拐头，量价背离，短期均线走平，上涨动能衰竭。', '**基本面**：2025财年净流动资产为-88.35亿港元，股东权益为负，经营现金流-22.46亿港元，完全依赖融资输血，存在严重流动性危机。']",backtest\output\0421-1140-2513HK\reports\2026-0302-2513HK\2_decision\summary.md
2513.HK,2026-03-03,sell,550.0,550.0港元,（基于已有持仓视角）,,,480.0,"['（若卖出后需重新评估买入的条件）', '1. 宏观地缘风险显著缓和，且价格放量突破并站稳630-650港元震荡区间上沿。', '2. 公司宣布获得重大融资或衍生负债解决方案，且价格在480-520港元支撑带企稳后再度走强。', '适合的场景**', '- 已持有仓位、需要控制回撤或锁定部分利润的投资者。', '- 认为宏观风险将持续压制风险资产的避险型交易者。', '不适合的场景**', '- 试图抄底博弈反弹的短线交易者（波动率极高，左侧风险大）。', '- 基于长期基本面价值投资（公司财务现状不支撑此逻辑）。', '证据摘要**', '1. **技术证据**：价格高位回落，MACD顶背离，RSI自超买区回落，波动率（ATR）达历史峰值，显示短期上涨动能衰竭且波动风险极高。', '2. **宏观证据**：中东地缘冲突升级（3月2-3日），引发全球避险交易，港股科技股面临系统性估值压缩。', '3. **基本面证据**：公司2025财年净资产为负，经营现金流-22.46亿元，依赖融资输血，存在巨额衍生金融负债，财务生存风险突出。', '4. **状态判断逻辑**：上述风险因素（技术动量衰减、宏观冲击、财务脆弱性）已共同主导当前价格行为，且报告核心建议已转向“持仓者部分获利了结”、“潜在买入者切忌追高”、“建议观望与避险”，符合“风险主导”定义。']",backtest\output\0421-1140-2513HK\reports\2026-0303-2513HK\2_decision\summary.md
2513.HK,2026-03-04,hold,528.0,528.0港元,当前不急于参与。若未来转为“趋势延续”，需观察价格在关键支撑区域（如402-460港元）出现企稳反弹信号，或放量突破560-580港元阻力区并站稳。,402.0,460.0,1.0,"['（当前为观望状态，无具体入场计划，故不适用）', '适合的场景**', '- 投资者能接受未来1-2周方向不明，愿意等待更明确的信号。', '- 风险偏好较低，避免在高波动和宏观不确定性下强行交易。', '不适合的场景**', '- 寻求短期明确方向性交易的投资者。', '- 认为长期趋势完好即可立即买入的投资者。', '证据摘要**', '1. **技术面**：价格自高点回落超27%，MACD顶背离，短期均线走平，处于高波动修正期；但长期均线仍多头排列，关键支撑在402-460港元。', '2. **新闻面**：宏观地缘冲突升级构成重大风险压制；公司无基本面新闻，处于信息真空。', '3. **基本面**：公司处于巨额研发投入的亏损期，依赖融资，缺乏短期盈利催化，营收增长需后续财报验证。', '4. **状态判断依据**：既无法给出明确的回调买入方案（因未出现企稳信号），也未达到趋势破坏必须卖出的程度（长期结构未破），故属“震荡等待确认”。', '5. **切换信号**：若价格在402-460港元区域出现缩量企稳、收复短期均线等信号，可能切换至“趋势延续”；若放量跌破402港元，则可能切换至“风险主导”。']",backtest\output\0421-1140-2513HK\reports\2026-0304-2513HK\2_decision\summary.md
2513.HK,2026-03-05,sell,510.0,510.0港元,（基于已有持仓视角）利用任何向578-592港元阻力区域的弱势反弹进行减仓；或直接将止损位设置在500港元下方（如495港元），若跌破则执行止损撤离。,578.0,592.0,,"['1.  价格放量强势突破并站稳592港元阻力区上方，且MACD重新金叉，表明短期下跌结构被修复。', '2.  宏观地缘风险出现戏剧性且被市场广泛认可的缓和，推动港股市场风险偏好整体快速回升。', '适合的场景**', '- 已持有仓位、需要执行风险管理的投资者。', '- 认为宏观风险将持续恶化或技术破位不可避免的交易者。', '不适合的场景**', '- 试图在当前价位附近“抄底”或建立新多头仓位的投资者。', '- 风险承受能力低、无法接受高波动率和潜在大幅回撤的投资者。', '证据摘要**', '1.  **技术趋势破坏**：价格已有效跌破10日EMA（521.9港元），为2月初主升浪以来首次，短期上涨趋势结构被破坏。', '2.  **动量显著衰减**：MACD与RSI均从高位连续回落，显示上涨动能衰竭，短期内无转强迹象。', '3.  **宏观风险主导**：美伊军事冲突升级是当前最突出的宏观事件，显著推升全球避险情绪，对港股流动性及科技股估值构成直接压制。', '4.  **公司催化真空**：公司层面处于信息静默期，无积极基本面新闻可对冲宏观与技术面的负面压力。', '5.  **关键支撑临考**：500港元为近期震荡下沿，若失守将打开进一步下行空间，技术面风险加剧。']",backtest\output\0421-1140-2513HK\reports\2026-0305-2513HK\2_decision\summary.md
2513.HK,2026-03-06,hold,520.0,520.00港元,当前不急于参与。若未来转为“趋势延续”，潜在入场条件可能包括：,,,500.0,"['（当前状态无入场计划，故不适用具体失效条件。状态切换条件如下）', '- 若价格**日线收盘价跌破500港元**且随后两个交易日无法收回，则状态可能切换至“风险主导”。', '- 若价格**放量突破560港元并连续两日站稳**，且宏观情绪持续回暖，则状态可能切换至“趋势延续”。', '适合的场景**', '- 高风险偏好交易者，擅长在极端波动中观察关键位博弈，但暂不急于开仓。', '- 作为宏观beta或AI行业情绪的交易替代标的观察窗口。', '不适合的场景**', '- 寻求基本面支撑或稳定现金流的价值投资者。', '- 试图在方向不明、波动率极高的环境中进行趋势追涨或抄底交易。', '证据摘要**', '1. 技术证据：价格略低于10日EMA（523.8港元），MACD连续下降，RSI自超买区回落至60.67，显示短期动量衰减；但价格仍守在500-510港元关键支撑上方，长期均线（50/200日SMA约338.7港元）仍呈多头排列。', '2. 宏观证据：政策定调积极，但公司无特异性催化剂，驱动依赖大盘情绪。', '3. 基本面证据：资不抵债（净资产-81.1亿），经营现金流大幅净流出，生存依赖持续融资，财务风险极高。', '4. 多空拉扯点：技术支撑未破 vs. 动量衰竭；宏观托底 vs. 基本面硬伤；缺乏明确方向确认信号。']",backtest\output\0421-1140-2513HK\reports\2026-0306-2513HK\2_decision\summary.md
2513.HK,2026-03-09,sell,532.0,532.0港元,不提供新买入计划。对于已有持仓者，建议利用任何向阻力区（如580-600港元）的反弹进行减仓，或直接设定止损位离场。,580.0,600.0,,"['（此建议行动的失效条件，即“建议卖出”逻辑被破坏的条件）：1) 股价放量强势突破并站稳628-666港元关键阻力区，且MACD重新金叉向上；2) 宏观地缘政治危机出现决定性缓和，油价稳定回落，同时公司发布大规模股权融资公告解决生存危机。', '适合的场景**', '- 已有持仓，需要执行风险控制、降低整体组合风险暴露的投资者。', '- 认为宏观危机将持续恶化、或公司财务风险即将暴露的投资者。', '不适合的场景**', '- 试图抄底或进行左侧交易的投资者。', '- 风险承受能力极低或寻求财务稳健标的的投资者。', '证据摘要**', '1.  **宏观风险主导**：美伊以军事冲突直接打击，油价单周暴涨约35%至111美元以上，引发全球性Risk-off交易和滞胀担忧。', '2.  **技术动能衰竭**：价格自历史高点725.0港元回撤超26%，跌破短期均线（10日EMA），MACD出现顶背离，波动率（ATR）处于异常高位。', '3.  **基本面极度脆弱**：公司净资产-81.08亿元，资不抵债；经营现金流年净流出22.46亿元，完全依赖融资输血生存；无任何近期公司利好对冲风险。', '4.  **信息真空加剧风险**：无公司层面新闻，在宏观风暴中缺乏自身叙事支撑，易被抛售。']",backtest\output\0421-1140-2513HK\reports\2026-0309-2513HK\2_decision\summary.md
2513.HK,2026-03-10,hold,575.0,575.0 港元,当前不急于参与。若未来价格 **放量突破625港元** 或 **回调至500-510港元区间企稳（出现缩量、长下影线等止跌信号）**，可重新评估趋势延续可能性。,500.0,510.0,500.0,"['（不适用，当前状态为观望）', '适合的场景**', '1. 短线波段交易者，能在500-600港元区间严格止损操作。', '2. 高风险投资者愿意等待明确突破信号后右侧跟进。', '3. 现有持仓者需密切关注480港元支撑，不破则可持有。', '不适合的场景**', '1. 寻求稳健趋势跟随或低波动交易的投资者。', '2. 期望短期内有基本面催化驱动趋势行情的投资者。', '3. 无法承受单日波动可能超10%的极端波动风险。', '证据摘要**', '1. 技术面：价格在500-600港元震荡，10日EMA走平，MACD高位回落，RSI中性，ATR处于历史高位，显示高波动、无方向。', '2. 基本面：公司处于战略亏损期，无近期催化，信息真空。', '3. 宏观面：国内政策暖意与海外地缘风险交织，无决定性指引。', '4. 交易计划缺失：无法给出明确回调买入或突破买入的可靠执行条件，支撑位（500-510港元）仍需确认企稳，阻力位（625港元）尚未突破。']",backtest\output\0421-1140-2513HK\reports\2026-0310-2513HK\2_decision\summary.md
2513.HK,2026-03-11,sell,649.0,649.0港元,（基于已有持仓视角）,,,1.0,"['（若未卖出，观察风险判断是否失效）', '1. 价格放量突破并站稳历史前高 **725.0港元**，表明买盘完全消化宏观利空。', '2. 美伊冲突在1-2天内出现明确、可信的外交解决声明，且全球风险资产同步强势反弹。', '适合的场景**', '- 持仓者进行风险控制，保护本金与利润。', '- 风险厌恶型市场环境下的防御性操作。', '不适合的场景**', '- 试图“抄底”或进行左侧布局。', '- 基于长期技术趋势或基本面信仰而忽视短期系统性风险。', '证据摘要**', '1. **宏观风险主导**：新闻报告明确指出美伊冲突已显著升级，成为“强烈负面”主导因素，导致市场风险溢价飙升，且公司处于信息真空无法对冲。', '2. **技术风险累积**：技术报告确认价格偏离长期均线超80%，ATR高达13.1%，MACD顶背离后动量衰减，结论为“风险收益比不佳”，仅适合“回调后轻仓试探”，而非趋势追涨。', '3. **基本面脆弱**：基本面报告显示公司年亏损46.98亿元，经营现金流为-224.61亿元，完全依赖融资输血，在风险厌恶期易遭抛售。', '4. **状态判断逻辑**：当前环境已满足“风险主导”定义——下行风险与防守需求占优。尽管技术趋势未完全破坏，但核心矛盾已转向规避系统性风险，而非寻找买入时机。']",backtest\output\0421-1140-2513HK\reports\2026-0311-2513HK\2_decision\summary.md
2513.HK,2026-03-12,sell,609.5,609.5 美元,（基于已有持仓视角）,,,,"['（若已卖出/减仓，重新转多的条件）', '1. 地缘政治出现明确缓和信号（如可信的停火协议），且股价放量收复并站稳 650 美元。', '2. 价格在 560-575 美元支撑带缩量企稳后，伴随公司发布重大融资或业务利好，强势突破 708 美元前高。', '适合的场景**', '- 已持仓的投资者执行风险控制、止盈或止损。', '- 风险厌恶型投资者规避系统性风险。', '不适合的场景**', '- 试图抄底博弈反弹的新开仓行为。', '- 基于长期基本面价值投资（公司当前财务结构不支持此逻辑）。', '证据摘要**', '1. **新闻面**：美伊冲突升级至“系统性打击”阶段，全球避险情绪主导，公司无利好对冲。', '2. **技术面**：价格跌破10日EMA，MACD柱状线收缩，RSI回落，高位巨量长上影显示抛压；ATR处于历史高位，波动风险极大。', '3. **基本面**：净资产为负、经营现金流严重为负，生存依赖融资，在风险偏好下降时脆弱性极高。', '4. **状态判断**：当前核心已转向风险控制（报告明确建议持仓者减仓、设置止损），符合“风险主导”定义。']",backtest\output\0421-1140-2513HK\reports\2026-0312-2513HK\2_decision\summary.md
2513.HK,2026-03-13,sell,555.5,555.5港元,不适用（建议卖出针对已有持仓）。持仓者应考虑在反弹至短期阻力区间（610-628港元）附近减仓，或现价止损撤离。,610.0,628.0,1.0,"['若未来1-2周内出现以下信号，则风险主导判断可能失效：', '1. 价格放量强势收复并站稳610-628港元阻力区之上。', '2. 美伊冲突出现明确降温信号（如双方停火谈判），且全球风险资产同步强势反弹。', '3. 公司发布重大融资进展或超预期业绩公告，显著改善市场对其财务风险的担忧。', '适合的场景**', '- 持仓者需要严格执行风险控制、锁定利润或止损。', '- 高风险偏好投资者进行事件驱动空头交易（需配合严格止损）。', '不适合的场景**', '- 试图“抄底”或逆势博反弹的新开仓行为。', '- 基于长期技术多头格局或AI赛道信仰而忽视短期风险。', '证据摘要**', '1. **技术转弱**：价格跌破10日EMA（556.7），MACD高位死叉下行，RSI自超买区回落至中性。', '2. **宏观冲击**：美伊冲突升级引发全球避险模式，“滞胀”交易成为主导叙事。', '3. **基本面高危**：资不抵债、经营现金流巨额流出、流动比率仅0.29，财务生存风险极高。', '4. **信息真空**：公司无正面新闻对冲宏观风险，股价易受大盘拖累。', '综上，风险因素已占据主导地位，交易上应优先防守。']",backtest\output\0421-1140-2513HK\reports\2026-0313-2513HK\2_decision\summary.md
