ticker,trade_date,action,status,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,reference_price,entry_style,entry_zone_low,entry_zone_high,invalidation_price,quantity,exit_signal_date,exit_signal_action,report_path
2513.HK,2026-03-02,sell,skipped,,,,,action_sell_no_position,,,575.0,（已有持仓视角）考虑反弹减仓或现价止损。可参考：1）若价格反弹至 600-630 港元区域遇阻，进行部分减仓；2）若价格直接跌破 480 港元关键支撑，剩余仓位应考虑进一步止损撤离。,600.0,630.0,,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round14\reports\2513.HK\0423-0017-2513HK\reports\2026-0302-2513HK\2_decision\summary.md
2513.HK,2026-03-03,sell,skipped,,,,,action_sell_no_position,,,550.0,（基于已有持仓视角）考虑在价格反弹至**600-630港元**阻力区域附近部分减仓；剩余仓位可设置追踪止盈，若收盘价有效跌破**525港元**（10日EMA附近），则进一步减仓或离场。,600.0,630.0,525.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round14\reports\2513.HK\0423-0017-2513HK\reports\2026-0303-2513HK\2_decision\summary.md
2513.HK,2026-03-04,hold,skipped,,,,,action_hold,,,528.0,当前不急于建立新仓位。若未来转为偏多信号，需观察：1) 股价在460-485港元强支撑区出现企稳反弹迹象；或 2) 宏观风险缓和且价格放量重新站稳560港元阻力区上方。若转为偏空信号，则观察价格放量跌破402-408港元强支撑区域。,460.0,485.0,460.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round14\reports\2513.HK\0423-0017-2513HK\reports\2026-0304-2513HK\2_decision\summary.md
2513.HK,2026-03-05,sell,skipped,,,,,action_sell_no_position,,,510.0,（已有持仓视角）考虑在价格反弹至578-592港元阻力区域附近减仓；或设置紧密止损于495港元（即跌破500港元关键支撑后止损离场）。,578.0,592.0,1.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round14\reports\2513.HK\0423-0017-2513HK\reports\2026-0305-2513HK\2_decision\summary.md
2513.HK,2026-03-06,hold,skipped,,,,,action_hold,,,520.0,当前不急于参与。若未来价格放量突破560港元并企稳，可考虑轻仓试多；若放量跌破500港元，则可能转向防守。,,,500.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round14\reports\2513.HK\0423-0017-2513HK\reports\2026-0306-2513HK\2_decision\summary.md
2513.HK,2026-03-09,sell,skipped,,,,,action_sell_no_position,,,532.0,（已有持仓视角）以减仓或止损为主。可考虑：1）现价附近（约532港元）开始部分减仓；2）若股价反弹至580-600港元阻力区无力突破，进一步减仓；3）设置收盘价有效跌破500港元作为清仓/止损触发条件。,580.0,600.0,500.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round14\reports\2513.HK\0423-0017-2513HK\reports\2026-0309-2513HK\2_decision\summary.md
2513.HK,2026-03-10,buy_on_pullback,triggered,2026-03-13,520.0,2026-03-16,545.0,sell_signal,3.0,4.8077,575.0,回调至500-520美元支撑区间企稳后参与。可观察分时图出现长下影线、阳包阴或成交量再度放大等企稳信号。,500.0,520.0,480.0,1,2026-03-13,sell,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round14\reports\2513.HK\0423-0017-2513HK\reports\2026-0310-2513HK\2_decision\summary.md
2513.HK,2026-03-11,sell,skipped,,,,,action_sell_no_position,,,649.0,（基于已有持仓视角）考虑减仓或止损以控制风险暴露。可参考：1）反弹至近期阻力位（如697-725港元区域）减仓；2）若价格直接跌破短期生命线10日EMA（约564.2港元），视为弱势确认，进一步减仓或离场。,697.0,725.0,,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round14\reports\2513.HK\0423-0017-2513HK\reports\2026-0311-2513HK\2_decision\summary.md
2513.HK,2026-03-12,sell,skipped,,,,,action_sell_no_position,,,609.5,（基于已有持仓视角）,,,1.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round14\reports\2513.HK\0423-0017-2513HK\reports\2026-0312-2513HK\2_decision\summary.md
2513.HK,2026-03-13,sell,triggered_exit,2026-03-13,520.0,2026-03-16,545.0,closed_position_fifo,3.0,,555.5,（基于已有持仓视角）考虑减仓或止损。可参考：1）若股价反弹无法站稳10日EMA（约556.7港元）上方，视为减仓信号；2）若直接下行，可在股价跌破近期低点545.5港元后进一步减仓以控制风险。,,,610.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round14\reports\2513.HK\0423-0017-2513HK\reports\2026-0313-2513HK\2_decision\summary.md
