ticker,trade_date,action,trend_judgment,report_action,report_trend_judgment,decision_source,scenario_type,primary_driver,trend_integrity,risk_state,reference_price,reference_price_text,entry_style,entry_zone_low,entry_zone_high,invalidation_price,invalidation_texts,report_path,direction_bias,catalyst_state,extension_state,entry_posture
2513.HK,2026-01-20,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,催化后高波动整理型,多因素混合主导,完整,高,224.0,224.0港元,等待价格回落至195-210港元区间，并满足以下条件：① 日线收出止跌阳线或十字星；② RSI回落至40-50区间；③ 成交量相比回调期放大至500万手以上。届时可分批建仓，首批在205-210港元，第二批在195-200港元。,195.0,210.0,,['1) 日线收盘跌破176.0港元（1月13日盘中低点）；2) 连续3个交易日收盘于200日SMA（202港元）下方；3) 放量跌破190港元且无快速收复。若任一触发，退出所有多头仓位。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\2513.HK\0425-1919-2513HK\reports\2026-0120-2513HK\2_decision\summary.md,看多,消化中,延展,等待回调
2513.HK,2026-01-21,hold,震荡等待确认,保持观望,震荡等待确认,rule_based,公司催化趋势型,多因素混合主导,边际走弱,高,207.4,207.4 美元,不适用。当前信号为保持观望，不建立新仓位。未来若出现融资成功或收入加速且技术面放量突破215元（10日EMA上方），可重新评估。,,,,['若价格放量跌破197.5元（1月20日低点）或158.6元（前一轮突破平台），则技术结构破坏，风险主导；若公司发布融资成功公告或收入超预期，则转向偏多。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\2513.HK\0425-1919-2513HK\reports\2026-0121-2513HK\2_decision\summary.md,中性,消化中,延展,暂不参与
2513.HK,2026-01-22,buy_on_pullback,趋势延续,保持观望,震荡等待确认,rule_based,催化后高波动整理型,多因素混合主导,边际走弱,高,204.0,204.00 美元,当前不适合开新仓。未来若出现以下三种情形之一可考虑介入：1）价格回调至200-202.3支撑区并收出缩量企稳信号（如十字星、下影线），轻仓试多；2）价格放量重新站上217.0，中期回调结束确认后顺势跟进；3）公司发布超预期业绩或重大订单公告，基本面催化主导下可择机参与。,200.0,202.3,,['若价格以放量长阴线有效跌破200.0，则中期多头结构破坏，放弃所有做多计划；若金融衍生负债问题恶化或公司出现负面公告，则直接判断为风险主导，不再尝试做多。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\2513.HK\0425-1919-2513HK\reports\2026-0122-2513HK\2_decision\summary.md,中性,缺位,正常,暂不参与
2513.HK,2026-01-23,buy_on_pullback,趋势延续,保持观望,震荡等待确认,rule_based,催化后高波动整理型,多因素混合主导,完整,中,202.6,202.6 港元,不提供具体买入计划。未来若出现以下条件可考虑转多：价格放量突破225港元阻力，或缩量回调至180-185港元支撑区且RSI回到40附近出现企稳信号。,180.0,185.0,,['无多头仓位，无需设定卖出失效条件。若后期在支撑区参与，失效条件为日线收盘跌破180港元。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\2513.HK\0425-1919-2513HK\reports\2026-0123-2513HK\2_decision\summary.md,中性,消化中,延展,暂不参与
2513.HK,2026-01-26,hold,震荡等待确认,保持观望,震荡等待确认,rule_based,公司催化趋势型,多因素混合主导,边际走弱,高,192.0,192.00 美元,暂不参与。未来若出现以下任一信号可转为偏多评估：1) 价格缩量回踩176-180区间并出现RSI<30或MACD底背离；2) 放量站上208-210区域并站稳10日EMA；3) 公司发布融资公告或超预期业绩预告。,176.0,180.0,165.0,['1) 日线收盘跌破165.0美元（中期趋势转空）；2) 公司出现负面公告或业绩远低于预期；3) 1-2周内价格始终受制于10日EMA（208.28）无法收复。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\2513.HK\0425-1919-2513HK\reports\2026-0126-2513HK\2_decision\summary.md,中性,缺位,延展,暂不参与
2513.HK,2026-01-27,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,催化后高波动整理型,多因素混合主导,完整,高,217.0,217.00 港元,等待价格回踩至200-208港元区间，出现缩量止跌信号（如十字星或锤子线）后分批参与，或放量突破225.2港元并站稳后轻仓追涨。,200.0,208.0,,['价格跌破190.0港元并连续两日收于其下方；MACD在3.25附近再次拐头向下形成双顶背离；成交量连续萎缩，无法维持放量突破信号。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\2513.HK\0425-1919-2513HK\reports\2026-0127-2513HK\2_decision\summary.md,看多,消化中,延展,等待回调
2513.HK,2026-01-28,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,多因素混合主导,完整,中,233.4,233.4港元,等待价格回调至215-218港元区间（10日EMA附近）且分时图出现企稳信号（如小阳线、量缩止跌）后分批参与；或等待价格放量突破263港元（前高+布林带上轨附近）后轻仓追入。,215.0,218.0,,['价格连续3个交易日收盘低于10日EMA（约215.98港元）且未能快速收复；价格跌破50日SMA（206.38港元，即200日SMA共振支撑位）并确认失守；基本面出现重大利空，如2026Q1收入环比下滑或融资失败导致资金链断裂风险明确。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\2513.HK\0425-1919-2513HK\reports\2026-0128-2513HK\2_decision\summary.md,看多,消化中,延展,等待回调
2513.HK,2026-01-29,hold,震荡等待确认,择机买入,趋势延续,rule_based,公司催化趋势型,Beta与技术结构主导,边际走弱,中,228.0,228.00港元,回调至200-208港元区间（50日SMA/200日SMA重合区）分批建仓，首笔仓位30%，若价格继续下行至190-195港元区域可加仓至60%，止损设于185港元下方。,200.0,208.0,,['1）价格收盘跌破190.7港元；2）连续3个交易日收盘低于200日SMA（当前207.6港元）；3）公司发布配股、供股或可转债等稀释性融资公告且价格当日下跌超过5%。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\2513.HK\0425-1919-2513HK\reports\2026-0129-2513HK\2_decision\summary.md,看多,缺位,正常,等待回调
2513.HK,2026-01-30,buy_on_pullback,趋势延续,保持观望,震荡等待确认,rule_based,催化后高波动整理型,多因素混合主导,完整,高,227.0,227.0港元,当前不急于参与。未来若出现以下条件可将信号切换为偏多：①价格放量突破252.0港元并站稳；②公司发布明确债务重组或融资进展公告，实质性化解流动性危机；③“十五五”规划细则明确涉及公司细分领域。未来若出现以下条件可将信号切换为偏空：①日线收盘价跌破192.0港元；②衍生金融工具负债到期无法展期或转股，引发流动性事件；③公司发布低于预期的盈利预警或亏损扩大的公告。,,,200.0,['若价格在200-208港元区间企稳放量反弹，且同时出现基本面改善信号（如融资进展），则信号可能转向偏多；若价格快速下跌至192.0港元以下，或基本面流动性危机确认恶化，则信号转为偏空。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\2513.HK\0425-1919-2513HK\reports\2026-0130-2513HK\2_decision\summary.md,中性,消化中,延展,暂不参与
2513.HK,2026-02-02,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,公司催化趋势型,催化消化主导,完整,高,226.2,226.20港元,等待价格回调至210-220港元区间，在10日EMA（约220.5）与200日SMA（约209.6）之间，出现止跌企稳信号（如小阳线、缩量十字星或RSI回升至40以上）后，分批建仓。第一批建议在216-220港元，第二批在205-210港元。,210.0,220.0,,['1. 收盘价跌破200.0港元且持续2个交易日以上，视为中期趋势支撑失效。2. MACD形成死叉（DIF跌破DEA）且柱状值转负。3. 价格反弹至252-258港元阻力区后放量下跌，形成假突破。4. 基本面出现融资失败、重大负面公告。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\2513.HK\0425-1919-2513HK\reports\2026-0202-2513HK\2_decision\summary.md,看多,消化中,延展,等待回调
2513.HK,2026-02-03,hold,震荡等待确认,保持观望,震荡等待确认,rule_based,催化后高波动整理型,多因素混合主导,边际走弱,中,224.6,224.60 港元,当前不设定入场计划。若价格回调至211-214港元区间（50/200日SMA支撑区）企稳且成交量缩至地量，可考虑小仓位试探；或若价格放量突破250港元并连续两日收盘价站稳上方，可轻仓追涨。两者均为等待确认后的条件型触发。,211.0,214.0,224.0,['1）价格放量跌破204港元，且RSI同步跌破50，中期多头结构确认破坏，转向观望；2）价格在224-233区间连续缩量整理超过10个交易日，成交量无法回升，表明资金无意参与，信号降级。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\2513.HK\0425-1919-2513HK\reports\2026-0203-2513HK\2_decision\summary.md,中性,缺位,正常,等待确认
2513.HK,2026-02-04,buy_on_pullback,趋势延续,择机买入,趋势延续,rule_based,Beta情绪技术驱动型,多因素混合主导,完整,中,243.2,243.20美元,等待价格回调至222.0-226.0美元区间（对应10日EMA附近与前期平台支撑）并出现企稳信号后分批入场。,222.0,226.0,217.0,['1）价格收盘跌破217.0美元（S2支撑），则中期多头结构受破坏；2）价格收盘跌破212.2美元（50日/200日均线支撑带），则确认趋势转弱，应全部离场；3）公司公告融资失败或出现流动性危机信号。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\2513.HK\0425-1919-2513HK\reports\2026-0204-2513HK\2_decision\summary.md,看多,消化中,延展,等待回调
2513.HK,2026-02-05,buy_on_pullback,趋势延续,保持观望,震荡等待确认,rule_based,催化后高波动整理型,多因素混合主导,边际走弱,中,227.2,227.20美元,未来等待价格回调至210-215美元区间（50日/200日均线重合区域），配合缩量企稳K线形态确认后，再评估是否转为偏多；或等待放量突破236美元且成交量回升至日均300万股以上，确认新一轮升势后，再考虑参与。当前不给出任何既定买入计划。,210.0,215.0,208.0,['若价格跌破208美元（前期低点支撑位），中期上升趋势可能结束，偏多逻辑失效；若MACD跌破零轴确认死叉，短期动量反转信号出现；若衍生工具负债出现赎回或要求回购的消息，将引发流动性危机，偏多逻辑立即失效。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260120-20260227-daily\rounds\round01\reports\2513.HK\0425-1919-2513HK\reports\2026-0205-2513HK\2_decision\summary.md,中性,消化中,正常,等待确认
