Date,Open,High,Low,Close,Volume,Amount
2026-03-02,94.0,96.45,91.65,92.95,19076086.0,1779596238.0
2026-03-03,94.0,94.6,86.45,87.8,21242906.0,1889507814.75
2026-03-04,86.35,90.9,85.15,86.25,24527890.0,2135472256.3
2026-03-05,89.5,89.8,86.4,87.25,12675857.0,1115713638.4
2026-03-06,87.2,90.15,86.55,88.0,16426989.0,1453558389.7
2026-03-09,82.5,88.3,80.4,87.3,20682432.0,1745072745.05
2026-03-10,89.85,91.05,88.6,90.65,13569149.0,1222435848.4
2026-03-11,91.6,96.25,91.2,91.75,21482769.0,2015313361.55
2026-03-12,91.3,99.0,91.05,95.0,26947365.0,2573885535.93
2026-03-13,94.05,94.05,87.1,88.0,28883154.0,2575716557.79
2026-03-16,87.95,98.0,85.9,94.5,48361138.0,4535543427.33
2026-03-17,95.6,95.95,90.35,91.35,20461797.0,1890279873.15
2026-03-18,93.2,96.25,91.4,94.85,19505087.0,1832893195.2
2026-03-19,92.5,93.1,88.9,89.4,21603082.0,1953332984.3
2026-03-20,90.1,91.5,87.1,88.4,15824389.0,1416024324.45
2026-03-23,85.0,86.4,81.2,83.3,21497733.0,1793170438.8
2026-03-24,84.85,87.7,81.5,86.85,19364531.0,1648212946.35
2026-03-25,87.6,90.9,87.1,88.65,14905112.0,1324165956.55
2026-03-26,88.5,88.85,82.35,83.15,17558931.0,1479404038.85
2026-03-27,81.55,84.95,80.55,82.8,11900639.0,987770356.45
2026-03-30,80.55,82.1,77.75,81.5,17423558.0,1397569246.5
2026-03-31,80.0,82.7,77.4,77.65,16880799.0,1335238405.1
2026-04-01,81.55,83.9,81.0,83.65,20252913.0,1671933565.0
