ticker,trade_date,action,status,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,reference_price,entry_style,entry_zone_low,entry_zone_high,invalidation_price,quantity,exit_signal_date,exit_signal_action,report_path
MU,2026-03-02,hold,skipped,,,,,action_hold,,,412.37,当前不急于参与。若未来转多信号出现：价格放量突破436美元且MACD重新走强，可考虑轻仓跟进；或价格回调至400-405区域企稳、同时宏观风险缓和，可分批试多。若转空信号出现：价格放量跌破400美元，则考虑减仓或观望。,400.0,405.0,400.0,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round12\reports\MU\0422-2244-MU\reports\2026-0302-MU\2_decision\summary.md
MU,2026-03-03,sell,skipped,,,,,action_sell_no_position,,,379.68,（已有持仓视角）考虑在反弹至397-401阻力区域时部分减仓；若仓位较重或风险承受力低，可现价附近削减仓位，或设置止损于368美元下方。,397.0,401.0,397.0,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round12\reports\MU\0422-2244-MU\reports\2026-0303-MU\2_decision\summary.md
MU,2026-03-04,hold,skipped,,,,,action_hold,,,379.68,当前不急于参与。若未来转多，需观察价格在370-355美元支撑区企稳并反弹站上390-400美元区域。若未来转空，则关注价格收盘有效跌破350美元。,355.0,370.0,350.0,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round12\reports\MU\0422-2244-MU\reports\2026-0304-MU\2_decision\summary.md
MU,2026-03-05,hold,skipped,,,,,action_hold,,,400.77,当前不急于开仓。未来若转多，需价格在373-379区域企稳（如出现长下影线、缩量或RSI底背离）后反弹，并放量突破410-412阻力区。未来若转空，需价格放量跌破373美元支撑。,373.0,379.0,373.0,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round12\reports\MU\0422-2244-MU\reports\2026-0305-MU\2_decision\summary.md
MU,2026-03-06,hold,skipped,,,,,action_hold,,,397.05,当前不急于建立新仓位。未来若转向偏多，需观察以下条件：1) 价格在370-385美元区域出现缩量企稳、看涨K线组合或RSI底背离；2) 放量突破405-410美元阻力区并站稳。未来若转向偏空，则观察价格放量跌破370美元支撑。,370.0,385.0,363.9,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round12\reports\MU\0422-2244-MU\reports\2026-0306-MU\2_decision\summary.md
MU,2026-03-09,buy_on_pullback,triggered,2026-03-25,378.0,2026-03-26,360.0,stop_loss,1.0,-4.7619,370.3,回调至370-378美元区域（结合50日SMA及布林带下轨）出现企稳信号（如小时图缩量十字星或阳线反包）后分批买入。,370.0,378.0,360.0,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round12\reports\MU\0422-2244-MU\reports\2026-0309-MU\2_decision\summary.md
MU,2026-03-10,hold,skipped,,,,,action_hold,,,389.32,当前不急于参与。若未来转多，需满足以下条件之一：1) 股价回调至370-380美元区间并出现缩量企稳或看涨K线形态；2) 财报公布后，股价放量突破并站稳420-425美元阻力区。,370.0,380.0,357.0,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round12\reports\MU\0422-2244-MU\reports\2026-0310-MU\2_decision\summary.md
MU,2026-03-11,buy_on_pullback,triggered,2026-03-24,390.0,2026-03-26,370.02,sell_signal,2.0,-5.1231,403.11,回调至380-390美元区间时分批买入。该区间是50日SMA与布林带下轨重合的关键支撑区。,380.0,390.0,367.0,1,2026-03-25,sell,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round12\reports\MU\0422-2244-MU\reports\2026-0311-MU\2_decision\summary.md
MU,2026-03-12,buy_on_pullback,triggered,2026-03-24,400.0,2026-03-26,370.3,stop_loss,2.0,-7.425,418.69,回调至400-390美元区间（汇集前期低点、心理关口）分批买入；或等待价格在385.20美元（50日SMA）附近企稳后参与。,390.0,400.0,370.3,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round12\reports\MU\0422-2244-MU\reports\2026-0312-MU\2_decision\summary.md
MU,2026-03-13,hold,skipped,,,,,action_hold,,,405.35,当前不急于建立新仓位。未来若转向偏多，需满足以下条件之一：1) 股价放量突破418-420美元阻力区，确认升势重启；2) 宏观风险显著缓解（如油价大跌、冲突降温），且股价在387-397美元关键支撑区企稳后反弹。,418.0,420.0,377.0,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round12\reports\MU\0422-2244-MU\reports\2026-0313-MU\2_decision\summary.md
MU,2026-03-16,buy_on_pullback,triggered,2026-03-23,410.0,2026-03-24,391.0,stop_loss,1.0,-4.6341,426.13,1. 回调至410-395美元支撑区间（重点关注50日SMA 391美元附近）企稳后分批买入。,395.0,410.0,391.0,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round12\reports\MU\0422-2244-MU\reports\2026-0316-MU\2_decision\summary.md
MU,2026-03-17,hold,skipped,,,,,action_hold,,,441.8,当前不急于参与。若财报后股价带量强势突破并站稳454.86美元前高之上，可考虑转向偏多思路。若财报后股价回调至报告提及的关键支撑区（如413-426美元）并出现企稳迹象，也可视为潜在的低吸机会。需等待事件落地后的价格行为给出明确信号。,413.0,426.0,393.93,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round12\reports\MU\0422-2244-MU\reports\2026-0317-MU\2_decision\summary.md
MU,2026-03-18,buy_on_pullback,triggered,2026-03-19,437.75,2026-03-24,396.9,stop_loss,5.0,-9.3318,461.69,等待价格回调至第一支撑区437.75-441.80美元或第二支撑区413.00-418.69美元（10日EMA附近）企稳后分批介入。,437.75,441.8,396.9,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round12\reports\MU\0422-2244-MU\reports\2026-0318-MU\2_decision\summary.md
MU,2026-03-19,buy_on_pullback,expired,,,,,pre_entry_invalidation,,,461.73,回调至431.99美元（10日EMA）至441.80美元（近期平台下沿）区间，出现企稳信号（如缩量小K线）后分批介入。,,,398.93,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round12\reports\MU\0422-2244-MU\reports\2026-0319-MU\2_decision\summary.md
MU,2026-03-20,hold,skipped,,,,,action_hold,,,430.33,当前不急于参与。未来若转向偏多，需满足以下条件之一：,,,395.0,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round12\reports\MU\0422-2244-MU\reports\2026-0320-MU\2_decision\summary.md
MU,2026-03-23,buy_on_pullback,triggered,2026-03-24,401.28,2026-03-24,400.0,stop_loss,0.0,-0.319,422.9,回调至400-410美元区间（重点关注50日SMA 402.15美元附近）出现缩量企稳或放量反弹信号时参与。,400.0,410.0,400.0,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round12\reports\MU\0422-2244-MU\reports\2026-0323-MU\2_decision\summary.md
MU,2026-03-24,hold,skipped,,,,,action_hold,,,404.35,当前不急于参与。若未来价格**放量突破430-435美元阻力区**，可考虑转向偏多；若价格**回调至387-390美元区域并出现缩量企稳信号**，可考虑分批布局。,430.0,435.0,387.0,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round12\reports\MU\0422-2244-MU\reports\2026-0324-MU\2_decision\summary.md
MU,2026-03-25,sell,triggered_exit,2026-03-24,390.0,2026-03-26,370.02,closed_position_fifo,2.0,,395.53,（持仓视角）反弹至425-430美元阻力区域附近减仓；或设置止损于388美元下方（近期支撑下破）。,425.0,430.0,388.0,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round12\reports\MU\0422-2244-MU\reports\2026-0325-MU\2_decision\summary.md
MU,2026-03-26,sell,skipped,,,,,action_sell_no_position,,,382.09,（持仓者视角）反弹至404-405美元（50日SMA及缺口阻力）附近减仓；或设定止损于371美元支撑下方。,404.0,405.0,1.0,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round12\reports\MU\0422-2244-MU\reports\2026-0326-MU\2_decision\summary.md
MU,2026-03-27,sell,skipped,,,,,action_sell_no_position,,,355.46,（基于已有持仓视角）在反弹至第一阻力位404-410美元区域附近减仓；或设置止损于近期关键支撑345美元下方。,404.0,410.0,404.0,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round12\reports\MU\0422-2244-MU\reports\2026-0327-MU\2_decision\summary.md
MU,2026-03-30,sell,skipped,,,,,action_sell_no_position,,,357.22,（持仓者视角）利用股价向381美元（10日EMA）或404-410美元（50日SMA）区域的反弹，分批减仓以降低风险暴露。,404.0,410.0,1.0,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round12\reports\MU\0422-2244-MU\reports\2026-0330-MU\2_decision\summary.md
MU,2026-03-31,sell,skipped,,,,,action_sell_no_position,,,321.8,（已有持仓视角）利用股价向355-360美元阻力区域的反弹进行减仓或离场。若反弹无力，则应以当前价位附近择机止损。,355.0,360.0,373.0,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round12\reports\MU\0422-2244-MU\reports\2026-0331-MU\2_decision\summary.md
MU,2026-04-01,sell,skipped,,,,,action_sell_no_position,,,337.84,（基于已有持仓视角）在价格反弹至372-375美元阻力区域附近进行减仓或离场。若未设置止损，应考虑将止损位设置在395美元（50日均线下方）附近。,372.0,375.0,,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round12\reports\MU\0422-2244-MU\reports\2026-0401-MU\2_decision\summary.md
MU,2026-04-02,hold,skipped,,,,,action_hold,,,367.85,当前不急于参与。若未来转多，需观察价格在337-355美元支撑区间内出现企稳信号（如日线级别阳包阴、RSI底背离），或放量突破403-405美元（50日均线）阻力区。若未来转空，则观察价格收盘跌破318美元支撑。,337.0,355.0,318.0,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round12\reports\MU\0422-2244-MU\reports\2026-0402-MU\2_decision\summary.md
MU,2026-04-06,hold,skipped,,,,,action_hold,,,366.24,当前不急于参与。若未来价格**带量强势突破405美元**，可视为短期转强信号，考虑右侧轻仓跟进。若价格**再次回踩355-360美元区域并出现明确企稳组合（如长下影线、阳包阴）**，可考虑左侧分批轻仓试探。,355.0,360.0,355.0,1,,,D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round12\reports\MU\0422-2244-MU\reports\2026-0406-MU\2_decision\summary.md
