sequence,ticker,trade_date,team_id,llm_model,selected_analysts,trace_dir,source_report_dir,report_dir,decision_path,llm_calls,tool_calls,tokens_in,tokens_out,executive_summary
1,AXTI,2026-03-02,lite,deepseek-chat,"market,news,fundamentals",results\analysis\AXTI_2026_0420_1250,,backtest\output\0420-1250-AXTI\reports\2026-0302-AXTI,backtest\output\0420-1250-AXTI\reports\2026-0302-AXTI\2_decision\summary.md,4,8,24866,7439,"分析日期：2026-03-02
分析截面：综合技术、新闻与基本面报告
截面价格：37.90美元
建议行动：保持观望
1-2周核心判断：未来1-2周更接近“震荡等待确认”状态。技术面呈现极端超买与趋势惯性并存的矛盾格局，基本面短期承压而长期叙事存在，多空因素激烈拉扯，方向尚未重新明确，不足以形成完整交易计划。
执行摘要：趋势是否真正企稳尚未确认，当前不急于参与。应等待价格通过回调或整理消化超买压力，同时观察基本面出现更明确的改善信号。
关键催化因素：1. AI资本开支数据超预期；2. 公司Q1财报后管理层给出明确乐观展望；3. 地缘政治风险缓解，市场风险偏好回升。
关键风险：1. 短期业绩疲软持续，证伪AI叙事；2. 宏观风险加剧压制成长股估值；3. 技术性回调幅度可能因高波动率而放大。
入场方式：当前不建议入场。未来若转多，需要先看到价格有效回调至关键支撑区域（如32.00-33.00美元或28.50-30.00美元）并出现企稳信号，同时基本面出现订单或营收改善的确认。
失效条件：若价格放量突破41.19美元前高且基本面出现积极催化，则当前“观望”判断失效；若价格收盘有效跌破28.40美元关键平台，则风险主导格局确认。
适合的场景：风险承受能力低、等待更明确信号的投资者；短期波段交易者规避高波动区间。
不适合的场景：寻求趋势明确延续后立即跟进的趋势交易者；试图精准抄底的激进投资者。
证据摘要：1. 技术面：均线多头排列但RSI达75.33严重超买，价格高位滞涨，波动率（ATR）极高，追高风险大。2. 新闻面：Q1销售指引不及预期（利空）与AI长期叙事（支撑）博弈，宏观地缘风险增加不确定性。3. 基本面：营收同比下滑，经营现金流为负，核心业务处于“失血”状态，反转需等待后续数据验证。"
2,AXTI,2026-03-03,lite,deepseek-chat,"market,news,fundamentals",results\analysis\AXTI_2026_0420_1250_02,,backtest\output\0420-1250-AXTI\reports\2026-0303-AXTI,backtest\output\0420-1250-AXTI\reports\2026-0303-AXTI\2_decision\summary.md,4,8,24746,7767,"**分析日期**  
2026-03-03  

**分析截面**  
基于2026-03-02收盘后的技术指标、新闻面与基本面数据综合判断。  

**截面价格**  
46.32美元  

**建议行动**  
保持观望  

**1-2周核心判断**  
未来1-2周更接近“震荡等待确认”状态。技术面显示长期趋势虽强，但短期处于极端超买状态，存在巨大回调压力；新闻面完全被地缘政治风险主导，不确定性极高；基本面仍处亏损阶段，缺乏短期催化。多空因素剧烈拉扯，方向尚未重新明确，当前不足以形成完整、可执行的入场方案。  

**执行摘要**  
先观察，不急于参与。需等待技术面回调消化超买、新闻面地缘政治风险出现明确缓和信号、或基本面出现盈利改善迹象后，再重新评估是否具备参与条件。  

**关键催化因素**  
1. 技术面：价格回调至关键支撑区间（37.00-38.00美元或34.00-35.00美元）后出现企稳并再次放量上行。  
2. 新闻面：中东地缘政治局势出现明确、可持续的降温信号，霍尔木兹海峡通航风险解除。  
3. 基本面：下季度财报显示营收企稳或费用率得到有效控制，扭亏预期升温。  

**关键风险**  
1. 技术面：短期获利了结压力巨大，价格可能快速回调至支撑区以下。  
2. 新闻面：地缘政治冲突升级或长期化，持续压制半导体板块风险偏好。  
3. 基本面：营收继续下滑或费用控制不力，亏损持续，反转逻辑被证伪。  

**入场方式**  
当前不建议入场。未来若转多，需要先看到：1) 价格有效回调至上述支撑区间并出现缩量止跌或再次放量回升信号；2) 地缘政治主导风险出现明确缓解；3) 市场风险偏好整体修复。  

**失效条件**  
1. 若价格放量跌破28.50美元（50日均线及前期密集区），可能意味中期趋势破坏，观望状态转为风险主导。  
2. 若地缘政治风险突然显著缓和，且价格伴随放量强势突破47.03美元历史高点，则当前观望判断失效，需重新评估趋势延续可能性。  

**适合的场景**  
1. 风险厌恶型或短期交易者，避免在高波动、高不确定性环境下操作。  
2. 等待更优风险回报比的投资者，需要明确的技术支撑与宏观风险缓解信号。  

**不适合的场景**  
1. 试图博弈短期反弹的追高交易。  
2. 基于长期基本面价值而忽视短期技术风险与宏观冲击的立即建仓。  

**证据摘要**  
1. **技术面**：价格突破布林带上轨，RSI自超买区回落，短期乖离率极大；报告明确建议“切忌追高”，只适合“回调参与”。  
2. **新闻面**：股价走势已与公司基本面脱钩，完全被中东地缘政治风险主导，市场情绪脆弱，不确定性极高。  
3. **基本面**：公司处于经营性亏损，经营现金流为负，扭亏时点不确定，当前逻辑仅为高赔率的困境反转博弈。  
综合三方报告，均未提供可直接行动的明确多头信号，反而强调短期风险与等待必要性。"
3,AXTI,2026-03-04,lite,deepseek-chat,"market,news,fundamentals",results\analysis\AXTI_2026_0420_1250_03,,backtest\output\0420-1250-AXTI\reports\2026-0304-AXTI,backtest\output\0420-1250-AXTI\reports\2026-0304-AXTI\2_decision\summary.md,4,8,24417,7530,"**分析日期**  
2026-03-04  

**分析截面**  
技术面长期趋势完好但短期超买回调压力显著，基本面处于营收下滑、亏损扩大、现金流为负的困境，新闻面完全被地缘政治风险主导，半导体板块整体承压。  

**截面价格**  
41.76美元（2026-03-03收盘价）  

**建议行动**  
保持观望  

**1-2周核心判断**  
未来1-2周更接近“震荡等待确认”状态。技术面虽有长期支撑，但短期放量回调、波动率飙升显示多空分歧剧烈；基本面未提供支撑；宏观地缘风险主导板块情绪，方向尚未重新明确，当前不足以形成完整、可执行的交易计划。  

**执行摘要**  
先观察，不急于参与。需等待技术面回调企稳、宏观风险缓解或板块情绪修复的确认信号后，再重新评估是否具备参与条件。  

**关键催化因素**  
1. 地缘政治局势出现明确缓和信号（如停火协议、航道安全保证），驱动半导体板块情绪修复。  
2. 油价持续下行，缓解通胀与增长担忧。  
3. 价格回调至关键支撑区域（如36.50-37.00美元或30.80-29.68美元）后出现企稳且成交量配合。  

**关键风险**  
1. 地缘政治升级导致油价飙升、供应链恐慌加剧，板块进一步抛售。  
2. 技术面放量跌破关键支撑（如36.50美元），可能加速滑向下一支撑。  
3. 基本面持续恶化，现金消耗加速，削弱长期持有逻辑。  

**入场方式**  
当前不建议入场。未来若转多，需要先看到：1) 价格在关键支撑区域（如36.50-37.00美元或30.80-29.68美元）止跌企稳，且RSI、成交量等动能指标修复；2) 地缘风险明显缓解，半导体板块指数放量突破短期均线压制。  

**失效条件**  
1. 价格放量跌破29.50美元（50日均线及关键平台），中期上升趋势可能破坏。  
2. 地缘政治风险显著升级，导致板块系统性下跌趋势延续。  
3. 若风险事件缓解且价格重新放量走强，当前“观望”判断失效。  

**适合的场景**  
1. 高风险偏好交易者等待宏观风险释放后，博弈技术性反弹。  
2. 长期投资者等待基本面出现费用控制或营收拐点信号后再考虑布局。  

**不适合的场景**  
1. 短线追涨或左侧抄底。  
2. 寻求稳定现金流或低波动投资的投资者。  

**证据摘要**  
1. 技术面：长期均线多头排列，但价格自47.03美元高点放量回调，RSI自超买区回落，ATR急剧扩张至4.85美元，显示短期动能衰减、波动风险高。  
2. 新闻面：中东地缘冲突主导，半导体板块因能源供应担忧普跌，公司自身无正面催化，交易逻辑完全由宏观风险偏好驱动。  
3. 基本面：2025Q4营收同比下滑11.1%，毛利率仅12.7%，经营现金流为负，处于“营收下滑、亏损扩大、现金消耗”困境，仅靠现金储备支撑。"
4,AXTI,2026-03-05,lite,deepseek-chat,"market,news,fundamentals",results\analysis\AXTI_2026_0420_1250_04,,backtest\output\0420-1250-AXTI\reports\2026-0305-AXTI,backtest\output\0420-1250-AXTI\reports\2026-0305-AXTI\2_decision\summary.md,4,8,24208,7112,"**分析日期**  
2026-03-05  

**分析截面**  
综合技术面、新闻面与基本面分析，当前市场状态由宏观风险主导，技术面短期趋势转弱，基本面缺乏短期改善信号。  

**截面价格**  
39.13美元  

**建议行动**  
保持观望  

**1-2周核心判断**  
未来1-2周更接近“震荡等待确认”状态。技术面显示价格自高位回落，进入高波动整理格局；新闻面完全被地缘政治风险主导，缺乏公司层面催化剂；基本面未提供短期反转证据。多空因素仍在拉扯，方向尚未重新明确，不足以形成完整交易计划。  

**执行摘要**  
当前不宜入场。技术面虽长期趋势未坏，但短期动能减弱且波动极高；宏观风险压制板块情绪；基本面无改善信号。应等待价格企稳、宏观风险缓解或公司层面出现明确催化剂后再评估。  

**关键催化因素**  
1. 地缘政治局势迅速缓和（如可持续停火协议），推动风险偏好回升。  
2. 油价趋势性下跌，缓解通胀与利率压力。  
3. 公司发布下一季度财报（预计4月下旬或5月），显示营收增长或费用管控改善。  

**关键风险**  
1. 中东冲突升级，导致能源价格飙升、供应链中断风险上升。  
2. 技术面若收盘跌破30.80美元（中期分水岭），可能破坏上升结构。  
3. 公司经营现金流持续为负，现金储备加速消耗。  

**入场方式**  
当前不建议入场。未来若转多，需先看到：价格在关键支撑区（如35.08-37.00美元）缩量企稳，且宏观风险（如地缘冲突、油价波动）明显缓解，或公司财报出现积极指引。  

**失效条件**  
1. 价格收盘有效跌破30.80美元，技术面趋势破坏。  
2. 地缘风险显著升级，导致板块系统性下跌。  
3. 公司下季度财报显示亏损扩大或现金流恶化。  

**适合的场景**  
1. 擅长等待明确信号、不急于左侧布局的投资者。  
2. 能紧密跟踪地缘政治新闻与油价波动的交易者。  
3. 计划在财报后根据基本面变化再决策的投资者。  

**不适合的场景**  
1. 寻求短期趋势追涨或反转博弈的交易。  
2. 无法承受高波动、希望立即获得方向性信号的投资者。  
3. 依赖单一技术指标或忽视宏观风险的策略。  

**证据摘要**  
1. **技术面**：价格自47.03美元高点回落，短期EMA（37.01美元）支撑受考验；MACD顶背离，RSI自超买区回落；ATR高达4.77，波动剧烈；结论为“回调参与，非追涨”。  
2. **新闻面**：核心叙事转向地缘政治风险（中东冲突），板块受宏观情绪压制；公司无实质性催化剂；结论为“短期偏空，谨慎观望”。  
3. **基本面**：单季度营收8833万美元，毛利率12.7%，净亏损2320万美元，经营现金流为负；结论为“缺乏短期改善信号，不支持估值修复”。"
5,AXTI,2026-03-06,lite,deepseek-chat,"market,news,fundamentals",results\analysis\AXTI_2026_0420_1250_05,,backtest\output\0420-1250-AXTI\reports\2026-0306-AXTI,backtest\output\0420-1250-AXTI\reports\2026-0306-AXTI\2_decision\summary.md,4,8,24888,7725,"**分析日期**  
2026-03-06  

**分析截面**  
综合技术、新闻与基本面报告  

**截面价格**  
38.79美元  

**建议行动**  
保持观望  

**1-2周核心判断**  
未来1-2周更接近“震荡等待确认”状态。技术面显示长期趋势未破但短期动能衰减、波动剧烈；新闻面被地缘政治与监管不确定性主导，缺乏明确方向；基本面处于困境期，反转信号尚未出现。多空因素仍在拉扯，当前不足以形成完整、可执行的交易计划。  

**执行摘要**  
先观察，不急于参与。需等待技术面回调企稳、宏观风险边际缓解或基本面费用削减出现明确信号后，再重新评估是否具备参与条件。  

**关键催化因素**  
1. 技术面：价格在34.20-36.17美元关键支撑区间缩量企稳，并放量突破42.44美元阻力。  
2. 新闻面：美伊局势显著缓和或美国芯片出口新规细则较预期温和。  
3. 基本面：下一份财报显示SG&A费用率出现实质性环比下降，营收企稳。  

**关键风险**  
1. 技术面：日线收盘价有效跌破34.20美元，短期头部形态确立。  
2. 新闻面：地缘冲突升级或出口管制超预期收紧，持续压制板块风险偏好。  
3. 基本面：费用率保持刚性，亏损持续，现金消耗加速。  

**入场方式**  
当前不建议入场。未来若转多，需要先看到：1）价格在34.20-36.17美元支撑区间内出现缩量止跌的企稳信号；2）宏观负面催化明显缓解（如油价稳定、半导体板块情绪修复）；3）公司基本面出现费用削减的初步证据。届时再重新评估是否具备入场条件。  

**失效条件**  
1. 价格继续走弱，日线收盘价有效跌破34.20美元关键支撑。  
2. 地缘政治或监管风险进一步恶化，导致市场避险情绪大幅升温。  
3. 公司下一份财报显示费用控制无改善，亏损扩大。  

**适合的场景**  
1. 能够紧密跟踪技术面关键支撑、宏观新闻头条与公司财报事件的主动交易者。  
2. 擅长等待多重信号共振的耐心型投资者。  

**不适合的场景**  
1. 寻求趋势明确、可直接跟随的动量交易者。  
2. 无法承受高波动与事件不确定性的短期投资者。  
3. 希望立即获得明确入场指令的机械交易系统。  

**证据摘要**  
1. **技术面**：长期均线多头排列，但价格自47.03美元高点回调，MACD高位回落，RSI自超买区快速下降至中性，ATR处于高位显示波动剧烈。报告明确建议“回调参与”，不支持追高。  
2. **新闻面**：股价近期受地缘政治（美伊冲突）与行业监管不确定性主导，属于外部情绪驱动，报告建议“谨慎观望”与“事件后确认”。  
3. **基本面**：2025年Q4营收同比下滑11.1%，毛利率仅12.7%，SG&A费用率畸高导致深度亏损，经营现金流为负。报告结论为“现有持仓者持有观望/新投资者暂不建仓”，反转需等待费用削减信号。  
综合三方报告，当前状态为多空拉扯、方向未明，不符合“趋势延续”或“风险主导”的明确条件。"
6,AXTI,2026-03-09,lite,deepseek-chat,"market,news,fundamentals",results\analysis\AXTI_2026_0420_1252,,backtest\output\0420-1250-AXTI\reports\2026-0309-AXTI,backtest\output\0420-1250-AXTI\reports\2026-0309-AXTI\2_decision\summary.md,4,8,24837,7459,"**分析日期**  
2026-03-09  

**分析截面**  
综合技术、新闻与基本面报告，当前处于宏观风险压制与长期产业逻辑的冲突期。技术面显示长期趋势未破但短期调整未结束，新闻面受地缘政治风险主导，基本面处于盈利困境但现金充裕。  

**截面价格**  
32.37 美元  

**建议行动**  
保持观望  

**1-2周核心判断**  
未来1-2周更接近“震荡等待确认”状态。技术面短期动能疲软、价格处于关键支撑区域附近但企稳信号未现；新闻面被地缘政治风险主导，方向受不可预测的宏观事件拉扯；基本面缺乏短期改善催化剂。多空因素仍在激烈博弈，当前不足以形成完整、可执行的交易计划。  

**执行摘要**  
先观察，不急于参与。需等待价格在关键支撑区出现明确企稳信号，或宏观风险出现实质性缓解后，再重新评估是否具备参与条件。  

**关键催化因素**  
1. 地缘政治局势缓和（如中东冲突降温、油价稳定），带动半导体板块风险偏好回升。  
2. 价格在29.68-32.26美元支撑区间出现缩量企稳、RSI在50附近获得支撑等技术确认信号。  
3. 公司下一季度财报出现毛利率边际改善等基本面触底迹象。  

**关键风险**  
1. 地缘政治风险持续或升级，引发避险情绪加剧及板块资金外流。  
2. 价格有效跌破29.50美元关键支撑，技术面趋势中断，可能深度回调至50日均线（24.58美元）区域。  
3. 公司基本面持续恶化，毛利率无法提升，亏损扩大。  

**入场方式**  
当前不建议入场。未来若转多，需要先看到：1）价格在29.68-32.50美元区间出现明确的缩量企稳或放量反弹K线组合；2）RSI在50中轴上方重新拐头向上；3）半导体板块整体情绪回暖，且地缘政治负面催化明显缓解。  

**失效条件**  
1. 价格收盘有效跌破29.50美元，宣告调整加深，观望状态失效并转向风险主导。  
2. 地缘政治风险显著缓解且价格放量收复10日EMA（约36.60美元），则当前观望判断失效，可重新评估趋势延续可能。  

**适合的场景**  
1. 空仓者，正在等待更明确的技术企稳与宏观风险出清信号。  
2. 能接受未来1-2周可能继续宽幅震荡、方向不明的观察期。  

**不适合的场景**  
1. 寻求短期明确方向进行追涨杀跌的交易者。  
2. 已持仓且成本较高、无法承受价格进一步跌破关键支撑的投资者（此类投资者应单独评估持仓风险）。  

**证据摘要**  
1. **技术面**：长期与中期均线仍呈多头排列，但价格已跌破10日EMA，短期动能转弱；RSI回落至中性区，波动率高企；价格正处于29.68-32.26美元关键支撑区域上方，但尚未出现企稳信号。  
2. **新闻面**：中东地缘政治风险主导市场避险情绪，半导体板块承压；公司长期产业叙事未改，但短期受宏观情绪压制。  
3. **基本面**：公司处于盈利困境（毛利率仅12.7%，经营现金流为负），但现金储备充裕（1.20亿美元），提供安全垫；缺乏短期盈利改善催化剂。  
综合判断，当前状态属于多空拉扯、方向未明的“震荡等待确认”。"
7,AXTI,2026-03-10,lite,deepseek-chat,"market,news,fundamentals",results\analysis\AXTI_2026_0420_1252_02,,backtest\output\0420-1250-AXTI\reports\2026-0310-AXTI,backtest\output\0420-1250-AXTI\reports\2026-0310-AXTI\2_decision\summary.md,4,8,25478,7882,"**分析日期**  
2026-03-10

**分析截面**  
基于2026-03-09收盘后的技术、新闻与基本面数据综合判断。

**截面价格**  
38.56美元

**建议行动**  
保持观望

**1-2周核心判断**  
未来1-2周更接近“震荡等待确认”状态。技术面处于高位剧烈震荡，方向未明；新闻面被行业宏观逆风主导，缺乏公司特有催化剂；基本面仍处深度亏损，尚未出现明确改善信号。多空因素激烈拉扯，当前不足以形成完整、可执行的交易计划。

**执行摘要**  
先观察，不急于参与。需等待技术面整理出明确方向、宏观风险偏好回暖或公司基本面出现边际改善信号后，再重新评估是否具备参与条件。

**关键催化因素**  
1. 技术面放量突破47.03美元历史高点，可能开启新上涨波段。  
2. 中东地缘政治局势显著缓和，油价稳定，科技股风险偏好系统性回升。  
3. 公司下一季报（预计4月底或5月）显示毛利率改善或费用有效控制。

**关键风险**  
1. 行业系统性风险：半导体板块受地缘政治、潜在出口管制升级拖累继续下跌。  
2. 技术面破位风险：价格跌破29.68美元关键中期支撑，趋势中断。  
3. 基本面恶化风险：下季报显示亏损扩大、现金消耗加速。

**入场方式**  
当前不建议入场。未来若转多，需要先看到：1) 价格在32.26-42.44美元区间内选择向上突破并站稳；2) 行业宏观压制因素（地缘政治、政策风险）明显缓解；3) 公司出现基本面边际改善信号。届时再重新评估具体入场条件。

**失效条件**  
1. 价格收盘有效跌破29.68美元关键支撑，说明风险进一步占优，当前观望判断失效并转向防守。  
2. 若价格放量突破47.03美元且宏观风险缓解，则当前观望判断失效，可重新评估趋势延续可能。

**适合的场景**  
1. 风险承受能力较低、厌恶高波动不确定性的投资者。  
2. 等待技术面与宏观面形成共振信号的趋势交易者。  
3. 希望看到基本面扭亏信号再行动的价值投资者。

**不适合的场景**  
1. 试图在宽幅震荡（32-42美元）中高频高抛低吸的短线交易者（波动率极高，风险大）。  
2. 期待立即出现趋势性行情并追涨的交易者。

**证据摘要**  
1. **技术面**：长期趋势虽强，但短期处于高位震荡（10日EMA走平），波动率（ATR）极高，价格在32.26-42.44美元区间内未选择方向。报告明确建议“避免追高”、“等待回调”。  
2. **新闻面**：股价受半导体板块整体情绪拖累，地缘政治与政策风险主导短期波动，公司自身缺乏积极催化剂。报告结论为“短期中性偏空，等待催化”。  
3. **基本面**：公司处于深度亏损（毛利率仅12.7%，经营现金流为负），扭亏尚需时间验证。报告定性为“阶段性交易机会”，关键看下季报能否改善。  
综合三方报告，当前状态属于多空拉扯、方向未明，不符合“趋势延续”或“风险主导”的明确条件，故应保持观望。"
8,AXTI,2026-03-11,lite,deepseek-chat,"market,news,fundamentals",results\analysis\AXTI_2026_0420_1252_03,,backtest\output\0420-1250-AXTI\reports\2026-0311-AXTI,backtest\output\0420-1250-AXTI\reports\2026-0311-AXTI\2_decision\summary.md,4,8,25134,7678,"**分析日期**  
2026-03-11  

**分析截面**  
综合技术面、新闻面与基本面报告，基于2026-03-10收盘数据及当日新闻环境。  

**截面价格**  
44.30美元  

**建议行动**  
保持观望  

**1-2周核心判断**  
未来1-2周更接近“震荡等待确认”状态。技术面显示长期趋势虽强，但短期涨幅过大、波动剧烈且动量出现背离雏形，追高风险高；新闻面被宏观地缘政治与行业政策不确定性主导，压制风险偏好；基本面持续亏损且缺乏短期改善催化剂。多空因素激烈拉扯，方向未明，当前不足以形成完整、可执行的交易计划。  

**执行摘要**  
先观察，不急于参与。需等待价格在关键支撑区域有效企稳，同时宏观风险出现明确缓和信号后，再重新评估是否具备参与条件。  

**关键催化因素**  
1. 技术面：价格回调至39.70-38.00美元或37.00美元附近支撑区并出现企稳信号。  
2. 新闻面：美伊地缘政治局势出现确定性缓和；美国芯片新规细节公布且不如预期严厉。  
3. 基本面：公司公布费用大幅削减或新增大额订单等盈利改善信号。  

**关键风险**  
1. 宏观情绪恶化：地缘政治冲突升级导致风险资产普跌。  
2. 行业政策风险：半导体出口限制加码，打击板块情绪。  
3. 技术面破位：价格跌破32.37美元关键支撑，上升结构破坏。  
4. 基本面恶化：下季度现金流继续大幅净流出，亏损扩大。  

**入场方式**  
当前不建议入场。未来若转多，需要同时满足：1) 价格在37.00-39.70美元支撑区域有效企稳并伴随动能修复；2) 宏观地缘政治或行业政策风险出现明确缓解信号。届时再评估是否具备“择机买入”条件。  

**失效条件**  
1. 价格收盘有效跌破32.37美元，技术面上升结构破坏，转为风险主导。  
2. 宏观风险事件（如美伊冲突、芯片限制）显著升级，导致市场避险情绪加剧。  
3. 公司发布下季度业绩预告，显示亏损大幅扩大或现金加速消耗。  

**适合的场景**  
1. 擅长等待并观察多重条件共振的谨慎型交易者。  
2. 能紧密跟踪地缘政治、行业政策与公司财报事件的投资者。  
3. 目前空仓，不急于建仓，愿意放弃不确定性高的波动机会。  

**不适合的场景**  
1. 希望立即获得明确买入或卖出指令的短线交易者。  
2. 试图博弈短期超跌反弹或追涨的激进策略。  
3. 已持仓且无法承受高波动和下行风险的投资者。  

**证据摘要**  
1. **技术面**：价格偏离均线过大，RSI自超买区回落，MACD顶背离雏形，ATR显示波动率极高，报告明确建议“回调参与”而非追涨。  
2. **新闻面**：评级报告给出“持有”并提示估值已高；宏观地缘政治紧张与行业政策不确定性压制风险偏好；结论指出短期股价与基本面脱钩，由情绪主导。  
3. **基本面**：季度经营现金流为负，持续亏损，SG&A费用率高企，缺乏短期盈利改善催化剂，报告明确建议“等待更清晰的基本面改善信号”。  
4. **综合**：三份报告均未提供可直接行动的强支撑证据，反而强调风险、不确定性、等待回调或观察，符合“震荡等待确认”状态。"
9,AXTI,2026-03-12,lite,deepseek-chat,"market,news,fundamentals",results\analysis\AXTI_2026_0420_1252_04,,backtest\output\0420-1250-AXTI\reports\2026-0312-AXTI,backtest\output\0420-1250-AXTI\reports\2026-0312-AXTI\2_decision\summary.md,4,8,25213,7750,"**分析日期**  
2026-03-12  

**分析截面**  
基于2026-03-11收盘后的技术、新闻与基本面数据综合判断。  

**截面价格**  
47.36美元  

**建议行动**  
保持观望  

**1-2周核心判断**  
未来1-2周更接近“震荡等待确认”状态。技术面显示长期趋势虽向上，但短期涨幅过大、波动率激增，价格已触及超买区域并面临高位阻力；新闻面呈现宏观地缘风险（美伊局势、芯片出口管制传闻）与板块情绪压制；基本面仍处亏损困境，缺乏即时改善信号。多空因素激烈拉扯，方向尚未重新明确，当前不足以形成完整、可执行的入场方案。  

**执行摘要**  
先观察，不急于参与。价格处于高风险区域，宏观不确定性高，基本面未提供支撑，应等待市场情绪稳定、技术面回调企稳或宏观风险缓解后再评估。  

**关键催化因素**  
1. 技术面：价格带量突破48-50美元阻力区，且MACD高位再次金叉向上。  
2. 新闻面：美伊局势显著缓和或美国芯片出口政策明朗化，提振科技股风险偏好。  
3. 基本面：下季度财报显示毛利率企稳回升或营业费用得到有效控制。  

**关键风险**  
1. 宏观情绪恶化：地缘冲突升级或原油价格飙升引发科技股深度调整。  
2. 技术面回调：价格向37-41美元支撑区间回调过程中跌破32美元关键支撑。  
3. 基本面证伪：下季度毛利率持续低于15%且费用率未降，反转逻辑破灭。  

**入场方式**  
当前不建议入场。未来若转多，需要先看到：1）价格回调至37-41美元区间并出现缩量企稳信号（如下影线、RSI在50附近获支撑）；2）宏观风险（原油、地缘政治）明显缓解，半导体板块指数（SOXX）止跌回升；3）公司基本面出现毛利率改善或费用控制的初步迹象。  

**失效条件**  
1. 若价格放量跌破32美元支撑，并导致50日均线拐头向下，则技术面趋势破坏。  
2. 若宏观风险持续升级（如美伊冲突扩大），压制科技股整体估值。  
3. 若下季度财报显示毛利率进一步恶化或经营现金流继续大幅净流出。  

**适合的场景**  
1. 作为空仓者，在方向明确前保持耐心，等待上述入场条件逐一确认。  
2. 作为高风险偏好交易者，仅用小仓位在37-41美元区间博弈技术性反弹，并严格止损。  

**不适合的场景**  
1. 在当前高位（47美元附近）追涨建仓。  
2. 基于长期持有逻辑进行大仓位配置。  
3. 在宏观风险未缓解前，仅凭技术面超买回落即左侧买入。  

**证据摘要**  
1. 技术面：价格远离均线（偏离50日SMA 79%），RSI自超买回落，布林带上轨形成阻力，ATR高达5.52显示波动剧烈，报告明确建议“切忌追高”。  
2. 新闻面：宏观地缘风险主导，半导体板块受政策传闻压制，结论指出“宏观情绪是压制股价的主要矛盾”。  
3. 基本面：2025Q4营收同比下滑11%，毛利率仅12.7%，经营现金流为负，结论定义为“困境反转”博弈，缺乏即时支撑。  
综合三方报告，当前状态属于多空拉扯、尚未明确的“震荡等待确认”。"
10,AXTI,2026-03-13,lite,deepseek-chat,"market,news,fundamentals",results\analysis\AXTI_2026_0420_1252_05,,backtest\output\0420-1250-AXTI\reports\2026-0313-AXTI,backtest\output\0420-1250-AXTI\reports\2026-0313-AXTI\2_decision\summary.md,4,8,25338,7767,"**分析日期**  
2026-03-13  

**分析截面**  
综合技术、新闻与基本面报告，技术趋势强劲但短期超买，宏观风险压制情绪，基本面仍处困境。  

**截面价格**  
46.73 美元  

**建议行动**  
保持观望  

**1-2周核心判断**  
未来1-2周更接近“震荡等待确认”状态。技术面虽呈多头排列，但短期涨幅过大、波动率激增，且宏观地缘风险与基本面亏损形成压制，多空因素仍在拉扯，当前不足以形成完整、可执行的入场方案。  

**执行摘要**  
先观察，不急于参与。需等待技术面回调企稳、宏观风险情绪缓解或基本面出现明确改善信号后，再重新评估。  

**关键催化因素**  
1. 价格回调至38.50–42.50美元支撑区间后出现企稳信号（如缩量、下影线）。  
2. 中东地缘局势显著缓和，全球风险偏好回升。  
3. 公司下季度财报显示营收环比企稳、费用控制见效。  

**关键风险**  
1. 宏观风险持续：中东紧张局势或油价波动压制风险资产。  
2. 技术回调风险：ATR已处高位，价格远离均线，短期存在技术性回调压力。  
3. 基本面恶化：下季报营收继续下滑、亏损扩大、现金消耗加速。  

**入场方式**  
当前不建议入场。未来若转多，需先看到：1) 价格有效回调至38.50–42.50美元区间并出现企稳信号；或 2) 宏观风险明显缓解且价格放量突破50.97美元前高。  

**失效条件**  
1. 价格放量跌破32.26美元关键支撑，破坏上升结构。  
2. 宏观风险事件升级导致系统性避险，股价跟随科技板块破位下行。  

**适合的场景**  
1. 作为观察指标，用于监控半导体材料板块情绪与宏观风险关联性。  
2. 擅长左侧布局的深度价值投资者，愿意以小仓位博弈未来1-3个季度的困境反转信号。  

**不适合的场景**  
1. 趋势跟踪或动量交易者寻求明确上涨趋势参与。  
2. 风险厌恶型投资者无法承受高波动与基本面亏损。  
3. 短期交易者期待清晰方向与催化。  

**证据摘要**  
1. 技术面：均线多头排列，但RSI已从超买回落，ATR高达5.5，价格接近前高后震荡，报告明确建议“不追高，等待回调”。  
2. 新闻面：宏观地缘风险（中东局势、油价波动）主导市场情绪，压制科技股风险偏好；公司层面虽有好赛道叙事，但短期估值已受质疑。  
3. 基本面：营收同比下滑11%，毛利率仅12.7%，经营现金流为负，处于亏损状态，报告建议“等待下季报改善信号”。"
