ticker,trade_date,action,status,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,reference_price,entry_style,entry_zone_low,entry_zone_high,invalidation_price,report_path
AXTI,2026-03-02,hold,skipped,,,,,action_hold,,,37.9,当前不急于参与。未来转多需观察：价格在32.00-34.80美元支撑区域出现企稳回升信号（如日线收盘站稳34.80美元且伴随成交量放大），或收盘价强势突破41.19美元前高。,32.0,34.8,28.4,backtest\output\0420-1422-AXTI\reports\2026-0302-AXTI\2_decision\summary.md
AXTI,2026-03-03,hold,skipped,,,,,action_hold,,,46.32,当前不急于参与。未来转多需同时满足：1) 宏观地缘风险显著缓和；2) 价格回调至37.00-38.50美元或28.40-30.00美元区域并出现止跌企稳K线形态；3) 成交量在企稳后再次放大。,37.0,38.5,28.4,backtest\output\0420-1422-AXTI\reports\2026-0303-AXTI\2_decision\summary.md
AXTI,2026-03-04,hold,skipped,,,,,action_hold,,,41.76,当前不急于参与。未来若转为做多，需同时满足：1) 宏观避险情绪缓和（如油价趋势性回落、SOX指数企稳反弹）；2) 价格在36.60-37.90美元区域出现缩量企稳K线组合或放量突破46.04美元阻力。,36.6,37.9,,backtest\output\0420-1422-AXTI\reports\2026-0304-AXTI\2_decision\summary.md
AXTI,2026-03-05,hold,skipped,,,,,action_hold,,,39.13,当前不急于参与。未来若转多，需观察价格在35.00-37.50美元区间出现企稳信号（如小时图级别底分型、RSI在50附近获得支撑），并等待宏观情绪稳定。,35.0,37.5,37.01,backtest\output\0420-1422-AXTI\reports\2026-0305-AXTI\2_decision\summary.md
AXTI,2026-03-06,hold,skipped,,,,,action_hold,,,38.79,当前不急于参与。未来若转多，需同时满足：①价格在35-37美元支撑区间缩量企稳（如出现下影线、RSI在40-50走平）；②地缘政治风险出现明确缓和迹象（如油价稳定、冲突降级）。,35.0,37.0,34.0,backtest\output\0420-1422-AXTI\reports\2026-0306-AXTI\2_decision\summary.md
AXTI,2026-03-09,hold,skipped,,,,,action_hold,,,32.37,当前不急于参与。未来转多需同时满足：①价格在29.70-32.30美元区间出现放量企稳信号（如单日反转阳线）；②半导体板块指数（如SOXX）止跌回升；③地缘政治紧张局势出现明确缓和迹象。,29.7,32.3,32.26,backtest\output\0420-1422-AXTI\reports\2026-0309-AXTI\2_decision\summary.md
AXTI,2026-03-10,hold,skipped,,,,,action_hold,,,38.56,当前不急于参与。未来转多需观察：1）价格在32-36美元支撑带企稳并出现明确反弹信号；或2）放量突破42.44美元阻力位，同时MACD形成金叉。,32.0,36.0,32.0,backtest\output\0420-1422-AXTI\reports\2026-0310-AXTI\2_decision\summary.md
AXTI,2026-03-11,buy_on_pullback,triggered,2026-04-06,40.5,2026-04-07,45.46,window_end,1.0,12.2469,44.3,回调至 **37.50-40.50美元** 区间分批买入。优先关注：,37.5,40.5,32.26,backtest\output\0420-1422-AXTI\reports\2026-0311-AXTI\2_decision\summary.md
AXTI,2026-03-12,hold,skipped,,,,,action_hold,,,47.36,当前不急于参与。未来若转多，需同时满足：①价格回调至41.65-40.00美元或38.00-37.00美元支撑区并出现缩量企稳信号（如看涨吞没）；②半导体板块情绪回暖（如SOXX止跌回升）。,40.0,41.65,37.0,backtest\output\0420-1422-AXTI\reports\2026-0312-AXTI\2_decision\summary.md
AXTI,2026-03-13,hold,skipped,,,,,action_hold,,,46.73,当前不急于参与。未来若转多需同时满足：1）宏观地缘风险出现明确缓和迹象；2）价格回调至38-42美元支撑区间并出现企稳放量信号。,38.0,42.0,,backtest\output\0420-1422-AXTI\reports\2026-0313-AXTI\2_decision\summary.md
