ticker,trade_date,action,trend_judgment,scenario_type,primary_driver,trend_integrity,risk_state,reference_price,reference_price_text,entry_style,entry_zone_low,entry_zone_high,invalidation_price,invalidation_texts,report_path
MU,2026-03-02,buy_on_pullback,趋势延续,公司催化趋势型,多因素混合主导,完整,风险与机会拉锯,412.37,412.37美元,等待回调至关键支撑区域企稳后参与。优先关注400-405美元区间（近期盘整下沿），更佳位置在373-380美元区域（布林带下轨及前期低点附近）。,400.0,405.0,365.0,['价格周线收盘有效跌破50日移动平均线（当前约365美元，动态上升），这将破坏中期上升趋势。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\MU\0423-1227-MU\reports\2026-0302-MU\2_decision\summary.md
MU,2026-03-03,hold,震荡等待确认,催化后高波动整理型,多因素混合主导,边际走弱,风险与机会拉锯,412.67,412.67美元,当前不急于参与。若未来地缘风险缓和且股价在368-373美元或397-401美元关键支撑区出现企稳反弹信号，可考虑转为择机买入。若股价放量突破430-436美元阻力区且宏观环境改善，也可视为趋势修复信号。,368.0,373.0,363.0,['1. 对于潜在多头，失效条件为日线收盘价有效跌破363美元（前期重要底部）。2. 对于当前观望立场，若宏观风险持续恶化且股价无法守住397-401美元支撑，则可能转向风险主导。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\MU\0423-1227-MU\reports\2026-0303-MU\2_decision\summary.md
MU,2026-03-04,hold,震荡等待确认,催化后高波动整理型,多因素混合主导,边际走弱,风险与机会拉锯,379.68,379.68美元,当前不急于建立新仓位。若未来价格放量突破并站稳410-415美元阻力区，且MACD出现转强信号，可考虑转向偏多。若价格在370-355美元区域出现明确日线级别企稳组合（如锤头线、晨星），并伴随RSI底背离，也可评估做多机会。,410.0,415.0,350.0,['1. 收盘价有效跌破350美元（50日均线下方），意味着中期趋势结构破坏，观望立场应转为更谨慎。2. 突破410-415美元后未能站稳并快速跌回，视为假突破。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\MU\0423-1227-MU\reports\2026-0304-MU\2_decision\summary.md
MU,2026-03-05,buy_on_pullback,趋势延续,公司催化趋势型,多因素混合主导,边际走弱,风险与机会拉锯,400.77,400.77美元,等待价格回调至373-379美元支撑区域，出现企稳信号（如缩量、长下影线、或RSI底背离）后分批介入。,373.0,379.0,373.0,['收盘价有效跌破关键支撑区域下沿（例如，连续两日收盘价低于373美元，或单日放量长阴跌破）。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\MU\0423-1227-MU\reports\2026-0305-MU\2_decision\summary.md
MU,2026-03-06,buy_on_pullback,趋势延续,公司催化趋势型,多因素混合主导,完整,风险与机会拉锯,397.05,397.05美元,等待回调至370-385美元区间出现企稳信号后参与，或日线收盘价重新站上405-410美元阻力区后跟随。,370.0,385.0,363.9,['日线收盘价有效跌破363.90美元（2月低点）。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\MU\0423-1227-MU\reports\2026-0306-MU\2_decision\summary.md
MU,2026-03-09,hold,震荡等待确认,催化后高波动整理型,多因素混合主导,边际走弱,风险与机会拉锯,370.3,370.30美元,当前保持观望。若未来价格放量突破415-420美元阻力区并伴随MACD转强，可考虑转向做多。若价格在375-370美元关键支撑区出现明确缩量企稳的K线信号，也可视为潜在做多机会。,415.0,420.0,360.0,['若价格周线收盘价有效跌破360美元（前期重要平台），则中期上升趋势可能破坏，观望立场应转向防御。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\MU\0423-1227-MU\reports\2026-0309-MU\2_decision\summary.md
MU,2026-03-10,buy_on_pullback,趋势延续,公司催化趋势型,公司催化主导,边际走弱,风险与机会拉锯,389.32,389.32美元,回调至370-380美元区间（测试50日均线及前期低点支撑），出现缩量企稳或看涨反转K线形态后参与。,370.0,380.0,357.0,['日线收盘价有效跌破357美元（近期闪崩低点），意味着短期调整深化，上涨结构破坏。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\MU\0423-1227-MU\reports\2026-0310-MU\2_decision\summary.md
MU,2026-03-11,buy_on_pullback,趋势延续,公司催化趋势型,多因素混合主导,边际走弱,风险与机会拉锯,403.11,403.11美元,耐心等待价格回调至380-390美元区间时分批买入。,380.0,390.0,367.0,['收盘价有效跌破367美元（近期闪跌低点），意味着中期上升结构可能破坏。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\MU\0423-1227-MU\reports\2026-0311-MU\2_decision\summary.md
MU,2026-03-12,buy_on_pullback,趋势延续,公司催化趋势型,多因素混合主导,完整,风险与机会拉锯,418.69,418.69美元,等待价格回调至400-390美元支撑区间或385美元（50日SMA）附近企稳后分批介入。,390.0,400.0,370.3,['收盘价有效跌破370.30美元（近期强支撑），或50日SMA拐头向下。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\MU\0423-1227-MU\reports\2026-0312-MU\2_decision\summary.md
MU,2026-03-13,buy_on_pullback,趋势延续,公司催化趋势型,多因素混合主导,完整,风险与机会拉锯,405.35,405.35美元,回调至387.00-397.00美元区间（50日SMA附近）企稳后参与。,387.0,397.0,377.0,['收盘价有效跌破377.00美元（布林带下轨及近期关键低点支撑）。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\MU\0423-1227-MU\reports\2026-0313-MU\2_decision\summary.md
MU,2026-03-16,buy_on_pullback,趋势延续,公司催化趋势型,公司催化主导,完整,风险未主导,426.13,426.13美元,等待价格回调至410-395美元支撑区间企稳后分批买入；或等待价格明确放量突破430美元并站稳后，在回踩425-420美元区域时介入。,395.0,410.0,391.0,['收盘价有效跌破391美元（50日SMA）并无法快速收回，尤其是若进一步跌破370美元前低，则中期上涨结构破坏，多头逻辑失效。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\MU\0423-1227-MU\reports\2026-0316-MU\2_decision\summary.md
MU,2026-03-17,buy_on_pullback,趋势延续,公司催化趋势型,公司催化主导,完整,风险未主导,441.8,441.80美元,等待价格回调至413-426美元支撑区间（重点关注10日EMA附近）企稳后分批参与。,413.0,426.0,393.93,['收盘价有效跌破393.93美元（50日SMA）关键中期趋势支撑。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\MU\0423-1227-MU\reports\2026-0317-MU\2_decision\summary.md
MU,2026-03-18,buy_on_pullback,趋势延续,公司催化趋势型,公司催化主导,完整,风险未主导,461.69,461.69美元,等待价格回调至437.75-441.80美元（近期突破位支撑）或413.00-418.69美元（10日EMA及中期平台支撑）区间企稳后分批介入。,437.75,441.8,396.9,['收盘价有效跌破50日SMA（当前约396.90美元）关键支撑，破坏中期上涨结构。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\MU\0423-1227-MU\reports\2026-0318-MU\2_decision\summary.md
MU,2026-03-19,buy_on_pullback,趋势延续,公司催化趋势型,多因素混合主导,完整,风险与机会拉锯,461.73,461.73美元,等待价格回调至431.99美元（10日EMA）至418.69美元（前期突破平台）区间，出现缩量企稳信号后分批买入。,,,398.93,['价格跌破关键中期趋势支撑50日SMA（当前约398.93美元）并无法快速收回。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\MU\0423-1227-MU\reports\2026-0319-MU\2_decision\summary.md
MU,2026-03-20,buy_on_pullback,趋势延续,公司催化趋势型,多因素混合主导,完整,风险与机会拉锯,430.33,430.33美元,等待价格回调至400-420美元支撑区间（重点关注400-405美元50日SMA附近）出现缩量企稳或看涨反转信号后，分批建立多头仓位。,400.0,420.0,395.0,['日线收盘价有效跌破395-400美元区域（即50日SMA及平台支撑下方），意味着中期上升趋势被破坏，多头逻辑失效。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\MU\0423-1227-MU\reports\2026-0320-MU\2_decision\summary.md
MU,2026-03-23,hold,震荡等待确认,催化后高波动整理型,多因素混合主导,边际走弱,风险与机会拉锯,422.9,422.90美元,当前不急于参与。若转多，需等待价格在400-410美元支撑区缩量企稳并反弹，或宏观风险出现明确缓和信号后右侧跟进。若转空，需观察价格放量跌破400美元支撑。,400.0,410.0,400.0,['（观望状态，无具体入场计划失效条件。信号切换条件：向上需收复并站稳10日EMA且宏观情绪改善；向下需放量跌破400美元支撑区。）'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\MU\0423-1227-MU\reports\2026-0323-MU\2_decision\summary.md
MU,2026-03-24,buy_on_pullback,趋势延续,公司催化趋势型,多因素混合主导,边际走弱,风险与机会拉锯,404.35,404.35美元,等待回调至关键支撑区间企稳后分批参与。首要关注400-405美元（50日SMA重合区域），次一级关注387-390美元区间。入场需伴随价格在支撑位附近缩量企稳或出现反弹信号。,400.0,405.0,365.0,['价格放量跌破365美元（布林带下轨及重要中期支撑），并导致50日SMA趋势拐头向下。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\MU\0423-1227-MU\reports\2026-0324-MU\2_decision\summary.md
MU,2026-03-25,hold,震荡等待确认,催化后高波动整理型,催化消化主导,边际走弱,风险与机会拉锯,395.53,395.53美元,当前不急于参与。若未来价格放量回升并站稳410-415美元（50日SMA与10日EMA区域）之上，可考虑趋势转强信号。若价格回调至370-380美元关键支撑区域并出现明确的日线级别企稳信号（如锤头线、RSI底背离），可评估做多机会。,410.0,415.0,360.0,['对于潜在的做多机会，失效条件为价格日线收盘价跌破360美元（布林带下轨下方），且短期内无法收回。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\MU\0423-1227-MU\reports\2026-0325-MU\2_decision\summary.md
MU,2026-03-26,sell,风险主导,催化后高波动整理型,催化消化主导,已破坏,风险主导,382.09,382.09美元,（持仓者视角）将反弹至404-405美元（50日SMA及缺口阻力）附近视为减仓或止损上移的参考点。若价格直接下跌，考虑在跌破371美元关键支撑后部分止损。,404.0,405.0,422.0,['1. 价格放量强势收复并站稳422-426美元阻力区上方，且MACD出现金叉。2. 出现明确的行业正面数据或公司消息，证伪当前的悲观叙事，推动股价重回短期均线之上。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\MU\0423-1227-MU\reports\2026-0326-MU\2_decision\summary.md
MU,2026-03-27,sell,风险主导,催化后高波动整理型,多因素混合主导,已破坏,风险主导,355.46,355.46美元,已有持仓者考虑在反弹至第一阻力位404-410美元区域附近减仓，或设置移动止损于近期低点350美元下方。,404.0,410.0,404.7,['若股价在未来1-2周内强势反弹并放量收复50日SMA（约404.70美元），且宏观风险显著消退，则下跌风险缓解，但当前非基准情形。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\MU\0423-1227-MU\reports\2026-0327-MU\2_decision\summary.md
MU,2026-03-30,sell,风险主导,催化后高波动整理型,多因素混合主导,已破坏,风险主导,357.22,357.22美元,对于已有持仓，利用向404-410美元（50日均线）区域的反弹进行减仓，以控制风险、锁定部分利润。,404.0,410.0,,['价格放量突破并站稳425-430美元区域（前期平台及10日均线压制区），且MACD重回零轴上方，则下跌趋势可能被扭转，需重新评估。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\MU\0423-1227-MU\reports\2026-0330-MU\2_decision\summary.md
MU,2026-03-31,sell,风险主导,催化后高波动整理型,催化消化主导,已破坏,风险主导,321.8,321.80美元,已有持仓者应利用股价向355-360美元或380-400美元区域的反弹机会减仓或离场。,355.0,360.0,373.0,['若股价收盘价强势收复并站稳10日EMA（约373美元）之上，则短期下跌趋势失效，需重新评估。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\MU\0423-1227-MU\reports\2026-0331-MU\2_decision\summary.md
MU,2026-04-01,sell,风险主导,催化后高波动整理型,多因素混合主导,已破坏,风险主导,337.84,337.84美元,对于已有持仓，建议在价格反弹至372-375美元（10日EMA及前期平台）阻力区域附近减仓或离场。,372.0,375.0,,['若价格放量强势突破并站稳395-405美元区域（50日SMA及前期平台），可能意味着下跌趋势逆转，此看跌判断失效。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\MU\0423-1227-MU\reports\2026-0401-MU\2_decision\summary.md
MU,2026-04-02,hold,震荡等待确认,催化后高波动整理型,多因素混合主导,已破坏,风险与机会拉锯,367.85,367.85美元,当前不急于开仓。若未来价格能放量突破并站稳403-405美元（50日均线）阻力区，可考虑转为偏多思路。或等待价格再次回踩337-355美元支撑区间并出现企稳信号。,403.0,405.0,318.0,['对于潜在的多头思路，失效条件是收盘价有效跌破318美元。对于当前的观望立场，失效条件是上述入场条件被触发。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\MU\0423-1227-MU\reports\2026-0402-MU\2_decision\summary.md
MU,2026-04-06,hold,震荡等待确认,公司催化趋势型,多因素混合主导,边际走弱,风险与机会拉锯,366.24,366.24美元,当前不急于参与。若未来价格带量强势突破405美元（50日均线）阻力，可视为调整可能结束的转多信号。若价格再次回踩355-360美元支撑区域并出现明确企稳信号，可考虑作为潜在的转多介入点。,355.0,360.0,321.8,['若收盘价有效跌破321.80美元前低支撑，则意味着调整深度扩大，长期趋势受到挑战，应避免任何做多尝试。'],D:\CodeBase\InsightTrader\backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round25\reports\MU\0423-1227-MU\reports\2026-0406-MU\2_decision\summary.md
