ticker,trade_date,action,status,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,reference_price,entry_style,entry_zone_low,entry_zone_high,invalidation_price,quantity,exit_signal_date,exit_signal_action,report_path
1347.HK,2026-03-02,hold,skipped,,,,,action_hold,,,96.75,当前不急于参与。未来若转向“趋势延续”，潜在的入场方式需观察：价格在**94.1-95.1美元**或**89.5-90.7美元**支撑区间出现明确的缩量企稳、下影线或阳线反包等止跌信号后，方可考虑分批布局。,94.1,95.1,89.5,1,,,backtest\output\0421-0119-1347HK\reports\2026-0302-1347HK\2_decision\summary.md
1347.HK,2026-03-03,sell,skipped,,,,,action_sell_no_position,,,92.95,（基于已有持仓视角）,,,1.0,1,,,backtest\output\0421-0119-1347HK\reports\2026-0303-1347HK\2_decision\summary.md
1347.HK,2026-03-04,sell,skipped,,,,,action_sell_no_position,,,87.8,（针对已有持仓者）利用股价向94.5-95.0港元区域（10日EMA/50日SMA阻力）的反弹进行减仓或止损。,94.5,95.0,,1,,,backtest\output\0421-0119-1347HK\reports\2026-0304-1347HK\2_decision\summary.md
1347.HK,2026-03-05,sell,skipped,,,,,action_sell_no_position,,,86.25,（基于已有持仓视角）利用向94-95港元（50日SMA阻力区）的反弹进行减仓；若价格直接跌破85港元支撑，应考虑止损撤离。,94.0,95.0,1.0,1,,,backtest\output\0421-0119-1347HK\reports\2026-0305-1347HK\2_decision\summary.md
1347.HK,2026-03-06,sell,skipped,,,,,action_sell_no_position,,,87.25,（针对已有持仓）在价格反弹至95.25-96.75阻力区域时减仓；或设定止损于85.15下方，收盘跌破即离场。,95.25,96.75,95.25,1,,,backtest\output\0421-0119-1347HK\reports\2026-0306-1347HK\2_decision\summary.md
1347.HK,2026-03-09,sell,skipped,,,,,action_sell_no_position,,,88.0,（基于已有持仓视角）利用任何向短期均线（如91.37美元附近）的反弹进行减仓。若仓位较重或成本高于95.65美元，应考虑优先降低风险敞口。,,,95.65,1,,,backtest\output\0421-0119-1347HK\reports\2026-0309-1347HK\2_decision\summary.md
1347.HK,2026-03-10,hold,skipped,,,,,action_hold,,,87.3,当前不急于参与。若未来转为趋势延续，需等待：,,,80.4,1,,,backtest\output\0421-0119-1347HK\reports\2026-0310-1347HK\2_decision\summary.md
1347.HK,2026-03-11,hold,skipped,,,,,action_hold,,,90.65,当前不急于参与。若未来转为“趋势延续”，需满足：价格在86.25-87.80港元区间出现缩量止跌或放量反弹，且日线收盘重新站上10日EMA并维持。,86.25,87.8,1.0,1,,,backtest\output\0421-0119-1347HK\reports\2026-0311-1347HK\2_decision\summary.md
1347.HK,2026-03-12,hold,skipped,,,,,action_hold,,,91.75,当前不急于参与。若未来转为“趋势延续”，潜在入场条件需观察：,,,87.8,1,,,backtest\output\0421-0119-1347HK\reports\2026-0312-1347HK\2_decision\summary.md
1347.HK,2026-03-13,hold,skipped,,,,,action_hold,,,95.0,当前不急于参与。若未来转为“趋势延续”，需满足以下条件之一：,,,87.0,1,,,backtest\output\0421-0119-1347HK\reports\2026-0313-1347HK\2_decision\summary.md
1347.HK,2026-03-16,hold,skipped,,,,,action_hold,,,91.86,当前不提供入场计划。若未来转为“趋势延续”，潜在参与方式可能是：价格在86.0-88.0区间内出现缩量企稳或假跌破后收回，可考虑分批轻仓介入；或等待价格放量突破97.6-98.0阻力区并回踩确认后右侧跟进。,86.0,88.0,1.0,1,,,backtest\output\0421-0119-1347HK\reports\2026-0316-1347HK\2_decision\summary.md
1347.HK,2026-03-17,hold,skipped,,,,,action_hold,,,94.5,当前不提供入场计划。若未来转为趋势延续，需观察：1）价格回调至91.6-92.0区域能否出现缩量企稳；或2）放量突破98.0后回踩确认。若转为风险主导，则需观察87.0支撑确认失守。,91.6,92.0,87.0,1,,,backtest\output\0421-0119-1347HK\reports\2026-0317-1347HK\2_decision\summary.md
1347.HK,2026-03-18,hold,skipped,,,,,action_hold,,,91.35,当前不急于参与。若未来转为“趋势延续”，潜在参与方式为：,,,83.0,1,,,backtest\output\0421-0119-1347HK\reports\2026-0318-1347HK\2_decision\summary.md
1347.HK,2026-03-19,hold,skipped,,,,,action_hold,,,94.85,当前不急于参与。若未来价格进入87.80-91.80支撑区间并出现缩量企稳、RSI底背离或小时图结构转强，可考虑分批布局；若放量突破98.35-99.0阻力区，可考虑顺势跟进。目前两者均未触发。,87.8,91.8,98.35,1,,,backtest\output\0421-0119-1347HK\reports\2026-0319-1347HK\2_decision\summary.md
1347.HK,2026-03-20,hold,skipped,,,,,action_hold,,,89.4,当前不急于参与。未来若转多，需满足以下条件之一：,,,1.0,1,,,backtest\output\0421-0119-1347HK\reports\2026-0320-1347HK\2_decision\summary.md
1347.HK,2026-03-23,hold,skipped,,,,,action_hold,,,88.4,当前不急于参与。若未来状态切换为“趋势延续”，潜在入场条件为：价格在85.9-81.4港元区间内出现日线级别企稳信号后分批轻仓介入。,81.4,85.9,1.0,1,,,backtest\output\0421-0119-1347HK\reports\2026-0323-1347HK\2_decision\summary.md
1347.HK,2026-03-24,hold,skipped,,,,,action_hold,,,83.3,当前不急于参与。若未来转为“趋势延续”，潜在入场条件需观察：价格在81.2-83.3港元区域出现缩量企稳或放量反弹，并确认收复86.4港元（近期高点）后，可考虑右侧跟进。,81.2,83.3,1.0,1,,,backtest\output\0421-0119-1347HK\reports\2026-0324-1347HK\2_decision\summary.md
1347.HK,2026-03-25,hold,skipped,,,,,action_hold,,,86.85,当前不急于参与。若未来价格出现以下信号之一，可重新评估：,,,1.0,1,,,backtest\output\0421-0119-1347HK\reports\2026-0325-1347HK\2_decision\summary.md
1347.HK,2026-03-26,hold,skipped,,,,,action_hold,,,88.65,当前不提供入场计划。若未来状态切换，转多需满足以下条件之一：,,,1.0,1,,,backtest\output\0421-0119-1347HK\reports\2026-0326-1347HK\2_decision\summary.md
1347.HK,2026-03-27,sell,skipped,,,,,action_sell_no_position,,,83.15,（已有持仓视角）利用股价向88.0-90.0阻力区域的任何反弹进行减仓或止损。,88.0,90.0,88.0,1,,,backtest\output\0421-0119-1347HK\reports\2026-0327-1347HK\2_decision\summary.md
1347.HK,2026-03-30,sell,skipped,,,,,action_sell_no_position,,,82.8,不提供新买入计划。持仓者应在股价反弹至88.0-90.0阻力区域遇阻时减仓，或设置止损于80.0美元下方。,88.0,90.0,88.0,1,,,backtest\output\0421-0119-1347HK\reports\2026-0330-1347HK\2_decision\summary.md
1347.HK,2026-03-31,hold,skipped,,,,,action_hold,,,81.5,当前不急于参与。若未来价格在78.0-80.0美元区域出现以下信号之一，可考虑转为“择机买入”：,78.0,80.0,77.75,1,,,backtest\output\0421-0119-1347HK\reports\2026-0331-1347HK\2_decision\summary.md
1347.HK,2026-04-01,sell,no_data,,,,,no_future_bars,,,77.65,（基于已有持仓视角）考虑在价格向短期阻力区域（84-87.70港元）反弹时减仓；若价格直接下行，可在收盘价确认跌破77.40港元近期低点后部分止损。,84.0,87.7,,1,,,backtest\output\0421-0119-1347HK\reports\2026-0401-1347HK\2_decision\summary.md
