ticker,trade_date,action,status,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,reference_price,entry_style,entry_zone_low,entry_zone_high,invalidation_price,quantity,exit_signal_date,exit_signal_action,report_path
AAOI,2026-03-02,hold,skipped,,,,,action_hold,,,84.23,当前保持观望，不建立新仓位。未来若转向偏多，需观察价格是否回调至关键技术支撑区（如65美元附近的10日EMA或53-56美元缺口平台）并出现企稳信号（如成交量收缩、RSI从超买区回落）。未来若转向偏空，触发条件为价格放量跌破关键支撑平台下沿。,53.0,56.0,53.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round10\reports\AAOI\0422-2215-AAOI\reports\2026-0302-AAOI\2_decision\summary.md
AAOI,2026-03-03,buy_on_pullback,expired,,,,,entry_not_triggered,,,102.51,回调至56.27-70.88美元区间（前期平台与10日EMA区域）企稳后分批买入。优先关注70美元（10日EMA）附近支撑反应。,56.27,70.88,44.18,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round10\reports\AAOI\0422-2215-AAOI\reports\2026-0303-AAOI\2_decision\summary.md
AAOI,2026-03-04,buy_on_pullback,expired,,,,,entry_not_triggered,,,95.34,等待价格回调至关键支撑区域企稳后参与：,,,65.57,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round10\reports\AAOI\0422-2215-AAOI\reports\2026-0304-AAOI\2_decision\summary.md
AAOI,2026-03-05,sell,skipped,,,,,action_sell_no_position,,,99.71,（基于已有持仓视角）逢高减仓，将大部分仓位获利了结。剩余仓位将止损位紧急上移至关键支撑92.22美元下方，或设置跟踪止盈（例如以10日EMA 80.67美元为参考）。,,,92.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round10\reports\AAOI\0422-2215-AAOI\reports\2026-0305-AAOI\2_decision\summary.md
AAOI,2026-03-06,buy_on_pullback,triggered,2026-03-09,93.8,2026-03-10,112.1,sell_signal,1.0,19.5096,101.14,等待回调至关键支撑区域分批参与。重点关注两个区域：1) 92.00-93.80美元（近期震荡区间下沿）；2) 83.00-85.00美元（10日EMA与巨量阳线起点重合区域）。在上述区域出现企稳迹象时考虑介入。,92.0,93.8,83.0,1,2026-03-09,sell,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round10\reports\AAOI\0422-2215-AAOI\reports\2026-0306-AAOI\2_decision\summary.md
AAOI,2026-03-09,sell,triggered_exit,2026-03-09,93.8,2026-03-10,112.1,closed_position_fifo,1.0,,95.58,以现有持仓视角，建议分批止盈或设置紧密跟踪止损，例如将止损位设置在近期关键支撑88.34美元（10日EMA）下方。,,,,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round10\reports\AAOI\0422-2215-AAOI\reports\2026-0309-AAOI\2_decision\summary.md
AAOI,2026-03-10,buy_on_pullback,triggered,2026-03-13,95.0,2026-03-30,84.0,stop_loss,17.0,-11.5789,110.62,回调至84.00-95.00美元支撑区间（重点关注84.23美元突破位及10日EMA动态支撑）企稳后分批参与。绝对避免在110美元上方追高。,84.0,95.0,84.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round10\reports\AAOI\0422-2215-AAOI\reports\2026-0310-AAOI\2_decision\summary.md
AAOI,2026-03-11,buy_on_pullback,triggered,2026-03-13,100.0,2026-03-13,95.0,stop_loss,0.0,-5.0,120.49,回调至95.00-100.00美元支撑区域（包含10日EMA及前期密集成交区）出现企稳信号（如缩量、分时图企稳）后分批轻仓介入。若价格在110.00-112.00美元区域强势整理后再度放量上攻，也可视为二次入场信号。,95.0,100.0,95.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round10\reports\AAOI\0422-2215-AAOI\reports\2026-0311-AAOI\2_decision\summary.md
AAOI,2026-03-12,buy_on_pullback,expired,,,,,pre_entry_invalidation,,,127.01,耐心等待价格回调至关键支撑区域分批参与。第一参与区间：**110-112美元**（近期突破位支撑）。第二参与区间：**95-99美元**（强支撑与缺口区域）。需观察在支撑位出现企稳信号（如缩量、下影线、分时逆转）后介入。,110.0,112.0,101.25,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round10\reports\AAOI\0422-2215-AAOI\reports\2026-0312-AAOI\2_decision\summary.md
AAOI,2026-03-13,hold,skipped,,,,,action_hold,,,106.19,当前不急于建立新仓位。若未来价格能**有效企稳于80-95美元核心支撑区域**并出现缩量、止跌信号，可考虑将信号转为“择机买入”。若价格**放量突破并站稳120.50-127.00美元阻力区**，则可能意味着调整结束、趋势重启，也可转为偏多信号。,80.0,95.0,80.0,1,,,backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round10\reports\AAOI\0422-2215-AAOI\reports\2026-0313-AAOI\2_decision\summary.md
