ticker,trade_date,action,status,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,reference_price,entry_style,entry_zone_low,entry_zone_high,invalidation_price,quantity,exit_signal_date,exit_signal_action,report_path
2513.HK,2026-03-02,sell,skipped,,,,,action_sell_no_position,,,575.0,（基于已有持仓视角）考虑逢反弹减仓或止损。可参考技术阻力位（如670-700港元区域）进行部分获利了结；若价格有效跌破短期关键支撑位（如480港元），应考虑进一步减仓或撤离。,670.0,700.0,1.0,1,,,backtest\output\0421-1140-2513HK\reports\2026-0302-2513HK\2_decision\summary.md
2513.HK,2026-03-03,sell,skipped,,,,,action_sell_no_position,,,550.0,（基于已有持仓视角）,,,480.0,1,,,backtest\output\0421-1140-2513HK\reports\2026-0303-2513HK\2_decision\summary.md
2513.HK,2026-03-04,hold,skipped,,,,,action_hold,,,528.0,当前不急于参与。若未来转为“趋势延续”，需观察价格在关键支撑区域（如402-460港元）出现企稳反弹信号，或放量突破560-580港元阻力区并站稳。,402.0,460.0,1.0,1,,,backtest\output\0421-1140-2513HK\reports\2026-0304-2513HK\2_decision\summary.md
2513.HK,2026-03-05,sell,skipped,,,,,action_sell_no_position,,,510.0,（基于已有持仓视角）利用任何向578-592港元阻力区域的弱势反弹进行减仓；或直接将止损位设置在500港元下方（如495港元），若跌破则执行止损撤离。,578.0,592.0,,1,,,backtest\output\0421-1140-2513HK\reports\2026-0305-2513HK\2_decision\summary.md
2513.HK,2026-03-06,hold,skipped,,,,,action_hold,,,520.0,当前不急于参与。若未来转为“趋势延续”，潜在入场条件可能包括：,,,500.0,1,,,backtest\output\0421-1140-2513HK\reports\2026-0306-2513HK\2_decision\summary.md
2513.HK,2026-03-09,sell,skipped,,,,,action_sell_no_position,,,532.0,不提供新买入计划。对于已有持仓者，建议利用任何向阻力区（如580-600港元）的反弹进行减仓，或直接设定止损位离场。,580.0,600.0,,1,,,backtest\output\0421-1140-2513HK\reports\2026-0309-2513HK\2_decision\summary.md
2513.HK,2026-03-10,hold,skipped,,,,,action_hold,,,575.0,当前不急于参与。若未来价格 **放量突破625港元** 或 **回调至500-510港元区间企稳（出现缩量、长下影线等止跌信号）**，可重新评估趋势延续可能性。,500.0,510.0,500.0,1,,,backtest\output\0421-1140-2513HK\reports\2026-0310-2513HK\2_decision\summary.md
2513.HK,2026-03-11,sell,skipped,,,,,action_sell_no_position,,,649.0,（基于已有持仓视角）,,,1.0,1,,,backtest\output\0421-1140-2513HK\reports\2026-0311-2513HK\2_decision\summary.md
2513.HK,2026-03-12,sell,skipped,,,,,action_sell_no_position,,,609.5,（基于已有持仓视角）,,,,1,,,backtest\output\0421-1140-2513HK\reports\2026-0312-2513HK\2_decision\summary.md
2513.HK,2026-03-13,sell,skipped,,,,,action_sell_no_position,,,555.5,不适用（建议卖出针对已有持仓）。持仓者应考虑在反弹至短期阻力区间（610-628港元）附近减仓，或现价止损撤离。,610.0,628.0,1.0,1,,,backtest\output\0421-1140-2513HK\reports\2026-0313-2513HK\2_decision\summary.md
2513.HK,2026-03-16,hold,skipped,,,,,action_hold,,,530.0,当前不急于参与。若未来转为“趋势延续”，潜在入场条件需满足：价格在500-510区间获得支撑并出现明确企稳K线（如单针探底后阳线收复），且伴随成交量温和放大。,500.0,510.0,1.0,1,,,backtest\output\0421-1140-2513HK\reports\2026-0316-2513HK\2_decision\summary.md
2513.HK,2026-03-17,hold,skipped,,,,,action_hold,,,605.0,当前不急于参与。若未来价格 **放量突破725港元** 或 **回调至560-575港元区间并出现30分钟以上级别企稳形态（如缩量十字星、阳线吞噬）**，可考虑轻仓试多。,560.0,575.0,560.0,1,,,backtest\output\0421-1140-2513HK\reports\2026-0317-2513HK\2_decision\summary.md
2513.HK,2026-03-18,buy_on_pullback,expired,,,,,entry_not_triggered,,,621.5,回调至 **550.0-560.0 美元** 区间出现企稳信号（如小时图pin bar、晨星形态、成交量萎缩后再次放大）时分批买入。,550.0,560.0,550.0,1,,,backtest\output\0421-1140-2513HK\reports\2026-0318-2513HK\2_decision\summary.md
