trade_date,action,label,metric_name,metric_value_pct,note,report_path
2026-03-02,sell,good_case,ret_3d_pct,-9.8191,Price fell after sell signal.,backtest\output\0421-0008-1347HK\reports\2026-0302-1347HK\2_decision\summary.md
2026-03-03,sell,good_case,ret_3d_pct,-5.3254,Price fell after sell signal.,backtest\output\0421-0008-1347HK\reports\2026-0303-1347HK\2_decision\summary.md
2026-03-04,sell,unclear,ret_3d_pct,-0.5695,Post-signal move was too small to judge.,backtest\output\0421-0008-1347HK\reports\2026-0304-1347HK\2_decision\summary.md
2026-03-05,sell,bad_case,ret_3d_pct,5.1014,Price rose after sell signal.,backtest\output\0421-0008-1347HK\reports\2026-0305-1347HK\2_decision\summary.md
2026-03-06,sell,bad_case,ret_3d_pct,5.1576,Price rose after sell signal.,backtest\output\0421-0008-1347HK\reports\2026-0306-1347HK\2_decision\summary.md
2026-03-09,hold,bad_case,ret_3d_pct,7.9545,Hold missed a meaningful move.,backtest\output\0421-0008-1347HK\reports\2026-0309-1347HK\2_decision\summary.md
2026-03-10,sell,unclear,ret_3d_pct,0.8018,Post-signal move was too small to judge.,backtest\output\0421-0008-1347HK\reports\2026-0310-1347HK\2_decision\summary.md
2026-03-11,sell,bad_case,ret_3d_pct,4.2471,Price rose after sell signal.,backtest\output\0421-0008-1347HK\reports\2026-0311-1347HK\2_decision\summary.md
2026-03-12,sell,unclear,ret_3d_pct,-0.436,Post-signal move was too small to judge.,backtest\output\0421-0008-1347HK\reports\2026-0312-1347HK\2_decision\summary.md
2026-03-13,sell,unclear,ret_3d_pct,-0.1579,Post-signal move was too small to judge.,backtest\output\0421-0008-1347HK\reports\2026-0313-1347HK\2_decision\summary.md
2026-03-16,hold,good_case,ret_3d_pct,1.5909,Hold matched sideways price action.,backtest\output\0421-0008-1347HK\reports\2026-0316-1347HK\2_decision\summary.md
2026-03-17,buy_on_pullback,good_case,realized_return_pct,0.8724,Triggered and exited profitable.,backtest\output\0421-0008-1347HK\reports\2026-0317-1347HK\2_decision\summary.md
2026-03-18,sell,good_case,ret_3d_pct,-8.8123,Price fell after sell signal.,backtest\output\0421-0008-1347HK\reports\2026-0318-1347HK\2_decision\summary.md
2026-03-19,hold,bad_case,ret_3d_pct,-8.4344,Hold missed a meaningful move.,backtest\output\0421-0008-1347HK\reports\2026-0319-1347HK\2_decision\summary.md
2026-03-20,hold,unclear,ret_3d_pct,-2.7747,Move was moderate; not a clear hold success/failure.,backtest\output\0421-0008-1347HK\reports\2026-0320-1347HK\2_decision\summary.md
2026-03-23,hold,bad_case,ret_3d_pct,-5.9389,Hold missed a meaningful move.,backtest\output\0421-0008-1347HK\reports\2026-0323-1347HK\2_decision\summary.md
2026-03-24,sell,unclear,ret_3d_pct,-0.6002,Post-signal move was too small to judge.,backtest\output\0421-0008-1347HK\reports\2026-0324-1347HK\2_decision\summary.md
2026-03-25,hold,bad_case,ret_3d_pct,-6.16,Hold missed a meaningful move.,backtest\output\0421-0008-1347HK\reports\2026-0325-1347HK\2_decision\summary.md
2026-03-26,sell,good_case,ret_3d_pct,-12.4083,Price fell after sell signal.,backtest\output\0421-0008-1347HK\reports\2026-0326-1347HK\2_decision\summary.md
2026-03-27,sell,unclear,ret_3d_pct,0.6013,Post-signal move was too small to judge.,backtest\output\0421-0008-1347HK\reports\2026-0327-1347HK\2_decision\summary.md
2026-03-30,sell,unclear,ret_3d_pct,1.0266,Post-signal move was too small to judge.,backtest\output\0421-0008-1347HK\reports\2026-0330-1347HK\2_decision\summary.md
2026-03-31,sell,bad_case,ret_3d_pct,2.638,Price rose after sell signal.,backtest\output\0421-0008-1347HK\reports\2026-0331-1347HK\2_decision\summary.md
2026-04-01,sell,unclear,,,No future bars in test window.,backtest\output\0421-0008-1347HK\reports\2026-0401-1347HK\2_decision\summary.md
