ticker,trade_date,action,reference_price,reference_price_text,entry_style,entry_zone_low,entry_zone_high,invalidation_price,invalidation_texts,report_path
2513.HK,2026-03-02,sell,575.0,575.0港元,（已有持仓视角）考虑反弹至阻力区（如670-700港元）时进行部分获利了结或减仓。剩余仓位可将短期关键支撑位（如480港元）作为最终止损参考，若有效跌破应进一步撤离。,670.0,700.0,,"['1.  地缘政治局势在未来一周内出现超预期快速缓和，且全球风险资产V型反弹。', '2.  价格不仅拒绝下跌，反而放量强势突破前高725港元，使技术结构重回单边上涨。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round16\reports\2513.HK\0423-0034-2513HK\reports\2026-0302-2513HK\2_decision\summary.md
2513.HK,2026-03-03,hold,550.0,550.0港元,当前不急于参与。未来若转多，需满足以下条件之一：,,,470.0,"['（当前观望状态下，失效条件指“观望状态结束、信号转向的条件”）', '1. **转向“择机买入”的条件**：上述入场方式中的任一条件达成。', '2. **转向“建议卖出”的条件**：价格收盘有效跌破470-480港元支撑区，或宏观地缘风险显著恶化导致港股科技板块整体破位下行。', '适合的场景**', '1. 能够严格空仓等待、不急于交易的投资者。', '2. 将当前标的视为宏观风险与板块情绪交易工具的短线交易者，愿意在明确边界突破后跟进。', '3. 已持仓者通过减仓降低风险敞口后，等待更清晰信号决定下一步操作。', '不适合的场景**', '1. 试图基于“长期趋势未坏”或“支撑位存在”而进行左侧抄底的投资者。', '2. 寻求基本面价值支撑或稳定现金流的投资者。', '3. 无法承受极高波动（单日波动可能超过10%）的交易者。', '证据摘要**', '1. **技术结构**：长期与中期均线仍向上，但价格自历史高位725港元回落，进入525-600港元高位震荡区间。MACD顶背离、RSI自超买回落，显示短期动能衰减。ATR达83.17，波动率处于极端水平。', '2. **新闻/宏观**：中东地缘政治风险（美以伊冲突）急剧升级，主导全球避险情绪，对港股科技股构成系统性压力。公司自身无近期催化，仅存滞后性新闻。', '3. **基本面**：公司处于早期高投入阶段，2025财年营收7.24亿元，但研发费用率达439%，净亏损47亿元，净资产为负，经营现金流大幅净流出，生存依赖融资。未来1-2周无基本面改善催化剂。', '4. **报告整体语气**：技术报告建议“回调参与或突破后介入”，但强调“切忌追高”和“波动风险极高”；新闻报告结论为“中性偏空”，建议“观望和避险”；基本面报告指出“财务存在生存风险”，不建议新建仓。三份报告共同指向“短期方向不明，等待更明确信号”。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round16\reports\2513.HK\0423-0034-2513HK\reports\2026-0303-2513HK\2_decision\summary.md
2513.HK,2026-03-04,hold,528.0,528.0港元,当前不急于参与。若未来转多，需观察：1) 宏观风险缓和；且 2) 价格在460-485港元或402-430港元支撑区域出现企稳反弹信号（如日线收阳、成交量配合）。若未来转空，触发条件为价格放量跌破402港元强支撑。,460.0,485.0,,['此“观望”状态的失效条件即上述转多或转空的观察条件被触发。'],backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round16\reports\2513.HK\0423-0034-2513HK\reports\2026-0304-2513HK\2_decision\summary.md
2513.HK,2026-03-05,sell,510.0,510.0港元,（已有持仓视角）利用股价向578-592港元阻力区域反弹的机会减仓；或设置止损于495港元（即跌破500港元关口）下方执行止损。,578.0,592.0,,"['1.  股价放量强势收复并站稳10日EMA（当前约522港元）之上，且短期结构重新转强。', '2.  宏观地缘政治风险出现明确且持续的缓和信号，全球风险偏好显著回升。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round16\reports\2513.HK\0423-0034-2513HK\reports\2026-0305-2513HK\2_decision\summary.md
2513.HK,2026-03-06,hold,520.0,520.0港元,当前不急于参与。若未来转多，需满足以下任一条件：1) 价格在500-510港元区间缩量企稳后出现阳线反弹确认；2) 价格放量突破并站稳560港元。若未来转空，触发条件为日线收盘价跌破500港元。,500.0,510.0,500.0,"['- **观望转多失效条件**：价格未能守住500港元支撑或无法突破560港元阻力，持续在500-560港元区间无方向震荡超过2周。', '- **整体判断失效条件**：公司突发重大利好或利空公告，打破当前多空平衡。', '12. 适合的场景**', '- 擅长区间交易、能承受极高波动的短线交易者。', '- 作为宏观beta配置的一部分，小仓位博弈政策利好向港股扩散。', '- 已持仓者利用震荡区间进行仓位管理（如反弹减仓、跌破止损）。', '13. 不适合的场景**', '- 寻求趋势明确、基本面稳健的投资者。', '- 风险承受能力较低或无法密切监控头寸的投资者。', '- 期望短期追涨获取超额收益的交易。', '14. 证据摘要**', '- **技术面**：长期均线多头排列，但价格略低于10日EMA，MACD连续下降，RSI自超买区回落，ATR达78.19显示极端波动，关键支撑500-510港元。', '- **新闻/宏观**：宏观政策定调积极，但公司层面新闻真空，缺乏特异性催化。', '- **基本面**：资不抵债（净资产-81.1亿），经营现金流大幅净流出，完全依赖融资输血，财务风险极高。', '- **整体语气**：技术报告建议“回调参与”但强调“切忌追涨”；新闻报告结论为“中性偏积极”但指出缺乏公司催化；基本面报告明确提示“资产负债表危机”并建议高风险投资者仅小仓位交易。三份报告均未提供未来1-2周明确上涨或下跌的强信号。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round16\reports\2513.HK\0423-0034-2513HK\reports\2026-0306-2513HK\2_decision\summary.md
2513.HK,2026-03-09,sell,532.0,532.0港元,（基于已有持仓视角）考虑逢反弹减仓或设定止损撤离。可关注股价向580-600港元区域反弹时的减仓机会，或直接以关键支撑失守作为止损信号。,580.0,600.0,,"['1.  收盘价连续站稳于580港元上方，并伴随成交量显著放大。', '2.  中东地缘政治局势出现明确、快速的缓和信号，且国际油价大幅回落至100美元/桶以下。', '3.  （此条件为信号反转条件）若上述失效条件触发，且公司层面出现重大融资或业务突破性利好，则“风险主导”的判断可能失效。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round16\reports\2513.HK\0423-0034-2513HK\reports\2026-0309-2513HK\2_decision\summary.md
2513.HK,2026-03-10,buy_on_pullback,575.0,575.0 美元,回调至500-520美元区间企稳（例如出现长下影线、阳包阴等信号）后轻仓试多。或右侧等待放量突破625美元后跟进。,500.0,520.0,480.0,"['收盘价有效跌破480美元支撑位（例如连续30分钟或日收盘低于475美元），且无法快速收回。', '12. 适合的场景**', '- 高风险偏好、能承受极高波动的交易者。', '- 相信AI长期趋势，并认可当前技术整理为趋势中继的投资者。', '- 采用分批建仓、严格止损纪律的波段策略。', '13. 不适合的场景**', '- 低风险承受能力、厌恶亏损的投资者。', '- 要求财务报表稳健、盈利路径清晰的价值投资者。', '- 期望短期追高获取快速收益的交易者。', '14. 证据摘要**', '- 技术面：长期与中期均线多头排列，价格远离均线；关键支撑500-510、480-482多次测试有效；高位整理呈现旗形/矩形结构，属趋势中整固。', '- 新闻面：公司新闻真空，宏观多空交织（国内政策暖意 vs. 地缘风险），未提供明确方向但亦未破坏上涨逻辑。', '- 基本面：巨额亏损且现金流为负，但23.68亿短期存款提供充裕现金安全垫，支撑其持续研发与竞争，符合高成长赛道早期阶段特征。', '- 整体判断：趋势结构未坏，回调参与是报告核心建议，符合“趋势延续 -> 择机买入”信号定义。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round16\reports\2513.HK\0423-0034-2513HK\reports\2026-0310-2513HK\2_decision\summary.md
2513.HK,2026-03-11,sell,649.0,649.0港元,（基于已有持仓视角）考虑减仓或止损以控制风险暴露。可参考技术报告建议，将止损位设置在近期关键支撑平台下沿，如**490-500港元**以下。,490.0,500.0,,"['1.  股价不仅未下跌，反而放量突破并站稳历史前高**725.0港元**，且宏观地缘政治风险出现明确、可持续的缓和信号。', '2.  公司发布颠覆性的重大利好，完全对冲并逆转当前宏观风险主导的逻辑。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round16\reports\2513.HK\0423-0034-2513HK\reports\2026-0311-2513HK\2_decision\summary.md
2513.HK,2026-03-12,sell,609.5,609.5美元,（基于已有持仓视角）利用任何向阻力区的反弹进行减仓。可考虑在价格反弹至650-670美元区域时执行减仓。若价格直接弱势下行，应果断执行止损纪律。,650.0,670.0,,"['1.  美伊冲突出现明确、可信的快速缓和信号（如达成停火协议），且全球风险偏好V型反弹。', '2.  公司发布重大特异性利好（如远超预期的订单、融资进展或盈利改善），足以独立对冲宏观风险。', '3.  价格不仅守住560-575美元第一支撑带，更放量强势突破并站稳708-725美元历史高点区域。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round16\reports\2513.HK\0423-0034-2513HK\reports\2026-0312-2513HK\2_decision\summary.md
2513.HK,2026-03-13,sell,555.5,555.5港元,（基于已有持仓视角）考虑反弹减仓或现价止损。可利用任何向10日EMA（约556.7港元）或更高阻力（610-628港元）的反弹机会，分批降低仓位。,610.0,628.0,1.0,"['1.  价格在未来1-2周内放量强势收复并站稳10日EMA（约556.7港元）之上，且宏观冲突出现明确缓和迹象。', '2.  公司在此期间发布重大利好公告，完全扭转市场悲观预期。', '适合的场景**', '- 高风险持仓者执行止损或风险敞口管理。', '- 宏观事件驱动型交易者进行避险操作。', '不适合的场景**', '- 试图抄底或博取反弹的新开多头仓位。', '- 基于长期成长逻辑的买入持有策略。', '证据摘要**', '1.  **技术结构转弱**：价格跌破短期生命线10日EMA，MACD高位死叉下行，RSI自超买区回落，显示上涨动能衰竭，进入高波动调整。', '2.  **宏观主导定价**：美伊军事冲突骤然升级，引发全球风险资产抛售和“滞胀”交易，此系统性风险在缺乏公司新闻的真空期成为唯一主导变量。', '3.  **基本面无法提供支撑**：公司处于资不抵债、经营现金流巨额净流出的高风险状态，无法为股价提供基本面安全垫，反而放大下行风险。', '4.  **报告建议一致偏防守**：技术报告建议“潜在买入者不建议追涨”、“等待回调”；新闻报告结论为“宏观主导的强烈负面”、“强烈建议观望或避险”；基本面报告指出“财务生存风险是最大风险点”。三份报告均无在未来1-2周内鼓励积极做多的核心建议。']",backtest\experiments\theme-mu-aaoi-2513hk-20260302-20260407-daily\rounds\round16\reports\2513.HK\0423-0034-2513HK\reports\2026-0313-2513HK\2_decision\summary.md
